Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode longSmall,0,5.000,200.000,187.000,-6.500,19.130,19.110,130.000,322.000,0.187,0.004,0.012,0.062,0.199,0.175,0.196,0.179,-6.500,0.000,100.000,22.000,1.000
mode longSmall,0,6.000,200.000,187.000,-6.300,18.010,18.030,130.000,303.000,0.187,0.014,0.042,0.223,0.229,0.146,0.223,0.159,-6.300,1.000,100.000,26.000,1.000
mode longSmall,0,8.000,200.000,190.000,-4.900,17.200,17.220,130.000,275.000,0.190,0.019,0.057,0.299,0.247,0.133,0.231,0.140,-4.900,7.000,100.000,34.000,0.000
mode longSmall,1,5.000,200.000,194.000,-2.900,19.120,19.110,130.000,322.000,0.194,0.003,0.010,0.051,0.204,0.184,0.203,0.186,-2.900,0.000,100.000,22.000,0.000
mode longSmall,1,6.000,200.000,189.000,-5.700,18.030,18.030,130.000,303.000,0.189,0.007,0.020,0.107,0.209,0.168,0.210,0.172,-5.700,0.000,100.000,26.000,1.000
mode longSmall,1,8.000,200.000,195.000,-2.700,17.200,17.220,130.000,275.000,0.195,0.016,0.049,0.250,0.243,0.146,0.240,0.170,-2.700,1.000,100.000,34.000,0.000
mode longSmall,2,5.000,200.000,207.000,3.300,19.060,19.110,130.000,322.000,0.207,0.005,0.015,0.074,0.222,0.191,0.218,0.195,3.300,0.000,100.000,22.000,0.000
mode longSmall,2,6.000,200.000,212.000,5.800,18.050,18.030,130.000,303.000,0.212,0.008,0.023,0.110,0.235,0.188,0.228,0.190,5.800,0.000,100.000,26.000,1.000
mode longSmall,2,8.000,200.000,203.000,1.600,17.150,17.220,130.000,275.000,0.203,0.021,0.063,0.309,0.266,0.140,0.271,0.169,1.600,8.000,100.000,33.000,0.000
mode longSmall,3,5.000,200.000,208.000,3.800,19.090,19.110,130.000,322.000,0.208,0.002,0.007,0.036,0.215,0.200,0.214,0.201,3.800,0.000,100.000,22.000,0.000
