Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode small,0,5.000,200.000,187.000,-6.300,19.330,19.400,130.000,287.000,0.187,0.006,0.017,0.090,0.204,0.170,0.199,0.177,-6.300,0.000,100.000,22.000,1.000
mode small,0,6.000,200.000,181.000,-9.400,18.460,18.500,130.000,271.000,0.181,0.011,0.032,0.176,0.213,0.149,0.204,0.152,-9.400,3.000,100.000,26.000,1.000
mode small,0,8.000,200.000,194.000,-3.100,17.490,17.580,130.000,247.000,0.194,0.026,0.077,0.397,0.271,0.117,0.260,0.144,-3.100,11.000,100.000,34.000,0.000
mode small,1,5.000,200.000,194.000,-3.200,19.280,19.400,130.000,287.000,0.194,0.003,0.010,0.054,0.204,0.183,0.203,0.187,-3.200,0.000,100.000,22.000,0.000
mode small,1,6.000,200.000,193.000,-3.300,18.590,18.500,130.000,271.000,0.193,0.013,0.039,0.202,0.233,0.154,0.223,0.166,-3.300,0.000,100.000,26.000,0.000
