Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode highEnergy,0,5.000,1000.000,962.000,-3.800,16.550,16.610,130.000,571.000,0.962,0.040,0.121,0.125,1.082,0.841,1.069,0.868,-3.800,0.000,100.000,22.000,0.000
mode highEnergy,1,5.000,1000.000,985.000,-1.500,16.550,16.610,130.000,571.000,0.985,0.025,0.076,0.077,1.061,0.909,1.039,0.910,-1.500,0.000,100.000,22.000,0.000
mode highEnergy,2,5.000,1000.000,1014.000,1.400,16.560,16.610,130.000,571.000,1.014,0.019,0.058,0.057,1.071,0.956,1.071,0.972,1.400,0.000,100.000,22.000,0.000
mode highEnergy,3,5.000,1000.000,1019.000,1.900,16.560,16.610,130.000,571.000,1.019,0.028,0.083,0.082,1.102,0.935,1.081,0.950,1.900,0.000,100.000,22.000,0.000
mode highEnergy,0,10.000,1000.000,958.000,-4.200,16.540,16.610,130.000,571.000,0.958,0.038,0.113,0.117,1.071,0.846,1.036,0.853,-4.200,0.000,100.000,42.000,0.000
mode highEnergy,3,10.000,1000.000,1000.000,0.000,16.560,16.610,130.000,571.000,1.000,0.024,0.073,0.072,1.073,0.928,1.056,0.947,0.000,0.000,100.000,42.000,0.000
mode highEnergy,0,15.000,1000.000,973.000,-2.700,16.570,16.610,130.000,571.000,0.973,0.037,0.112,0.115,1.085,0.861,1.049,0.870,-2.700,0.000,100.000,61.000,0.000
mode highEnergy,3,15.000,1000.000,992.000,-0.800,16.590,16.610,130.000,571.000,0.992,0.029,0.087,0.088,1.079,0.904,1.054,0.930,-0.800,0.000,100.000,62.000,0.000
mode highEnergy,0,20.000,1000.000,986.000,-1.400,16.570,16.610,130.000,571.000,0.986,0.038,0.113,0.114,1.099,0.873,1.054,0.893,-1.400,0.000,100.000,77.000,0.000
mode highEnergy,0,5.000,2000.000,1894.000,-5.300,30.950,30.950,130.000,621.000,1.894,0.028,0.084,0.044,1.978,1.810,1.956,1.822,-5.300,0.000,100.000,22.000,1.000
mode highEnergy,1,5.000,2000.000,1880.000,-6.000,30.930,30.950,130.000,621.000,1.880,0.025,0.075,0.040,1.955,1.804,1.954,1.802,-6.000,0.000,100.000,22.000,1.000
mode highEnergy,2,5.000,2000.000,1914.000,-4.300,30.910,30.950,130.000,621.000,1.914,0.019,0.058,0.030,1.972,1.856,1.966,1.867,-4.300,0.000,100.000,22.000,0.000
mode highEnergy,3,5.000,2000.000,1942.000,-2.900,30.920,30.950,130.000,621.000,1.942,0.030,0.091,0.047,2.033,1.851,2.003,1.850,-2.900,0.000,100.000,22.000,0.000
mode highEnergy,0,10.000,2000.000,1889.000,-5.600,30.870,30.950,130.000,621.000,1.889,0.024,0.072,0.038,1.961,1.817,1.941,1.825,-5.600,0.000,100.000,42.000,1.000
mode highEnergy,3,10.000,2000.000,1926.000,-3.700,30.930,30.950,130.000,621.000,1.926,0.023,0.068,0.035,1.994,1.858,1.993,1.874,-3.700,0.000,100.000,42.000,0.000
mode highEnergy,0,15.000,2000.000,1880.000,-6.000,30.940,30.950,130.000,621.000,1.880,0.030,0.091,0.048,1.971,1.789,1.951,1.805,-6.000,0.000,100.000,61.000,1.000
mode highEnergy,3,15.000,2000.000,1901.000,-5.000,30.990,30.950,130.000,621.000,1.901,0.036,0.107,0.056,2.008,1.794,1.993,1.807,-5.000,0.000,100.000,56.000,0.000
mode highEnergy,0,20.000,2000.000,1886.000,-5.700,30.950,30.950,130.000,621.000,1.886,0.029,0.087,0.046,1.973,1.799,1.959,1.820,-5.700,0.000,100.000,81.000,1.000
mode highEnergy,0,5.000,3000.000,2953.000,-1.600,45.670,45.700,130.000,648.000,2.953,0.027,0.081,0.027,3.034,2.872,3.005,2.901,-1.600,0.000,100.000,22.000,0.000
mode highEnergy,1,5.000,3000.000,3022.000,0.700,45.650,45.700,130.000,648.000,3.022,0.026,0.077,0.025,3.099,2.945,3.097,2.960,0.700,0.000,100.000,22.000,0.000
mode highEnergy,2,5.000,3000.000,3079.000,2.600,45.650,45.700,130.000,648.000,3.079,0.022,0.067,0.022,3.146,3.012,3.136,3.010,2.600,0.000,100.000,22.000,0.000
mode highEnergy,3,5.000,3000.000,3043.000,1.400,45.660,45.700,130.000,648.000,3.043,0.016,0.047,0.016,3.090,2.996,3.087,3.007,1.400,0.000,100.000,22.000,0.000
mode highEnergy,0,10.000,3000.000,2954.000,-1.500,45.630,45.700,130.000,648.000,2.954,0.037,0.110,0.037,3.064,2.844,3.025,2.888,-1.500,0.000,100.000,41.000,0.000
mode highEnergy,3,10.000,3000.000,3038.000,1.300,45.670,45.700,130.000,648.000,3.038,0.020,0.060,0.020,3.098,2.978,3.082,2.992,1.300,0.000,100.000,42.000,0.000
mode highEnergy,0,15.000,3000.000,2959.000,-1.400,45.610,45.700,130.000,648.000,2.959,0.060,0.181,0.061,3.140,2.779,3.072,2.854,-1.400,0.000,100.000,57.000,0.000
mode highEnergy,3,15.000,3000.000,2991.000,-0.300,45.670,45.700,130.000,648.000,2.991,0.034,0.101,0.034,3.092,2.891,3.074,2.908,-0.300,0.000,100.000,57.000,0.000
mode highEnergy,0,20.000,3000.000,2937.000,-2.100,45.740,45.700,130.000,648.000,2.937,0.054,0.163,0.055,3.099,2.774,3.035,2.824,-2.100,0.000,100.000,81.000,0.000
mode highEnergy,0,5.000,3500.000,3453.000,-1.400,52.520,52.560,130.000,676.000,3.453,0.029,0.088,0.026,3.541,3.365,3.521,3.377,-1.400,0.000,100.000,22.000,0.000
mode highEnergy,1,5.000,3500.000,3520.000,0.600,52.510,52.560,130.000,676.000,3.520,0.028,0.084,0.024,3.605,3.436,3.587,3.461,0.600,0.000,100.000,22.000,0.000
mode highEnergy,2,5.000,3500.000,3625.000,3.600,52.530,52.560,130.000,676.000,3.625,0.020,0.061,0.017,3.686,3.565,3.677,3.573,3.600,0.000,100.000,22.000,0.000
mode highEnergy,3,5.000,3500.000,3607.000,3.100,52.510,52.560,130.000,676.000,3.607,0.020,0.060,0.017,3.667,3.547,3.659,3.558,3.100,0.000,100.000,22.000,0.000
mode highEnergy,0,10.000,3500.000,3433.000,-1.900,52.530,52.560,130.000,676.000,3.433,0.033,0.098,0.029,3.531,3.335,3.511,3.362,-1.900,0.000,100.000,42.000,0.000
mode highEnergy,3,10.000,3500.000,3548.000,1.400,52.520,52.560,130.000,676.000,3.548,0.019,0.057,0.016,3.605,3.491,3.600,3.501,1.400,0.000,100.000,42.000,0.000
mode highEnergy,0,15.000,3500.000,3454.000,-1.300,52.550,52.560,130.000,676.000,3.454,0.069,0.207,0.060,3.661,3.247,3.622,3.337,-1.300,0.000,100.000,62.000,0.000
mode highEnergy,3,15.000,3500.000,3491.000,-0.300,52.570,52.560,130.000,676.000,3.491,0.055,0.164,0.047,3.655,3.327,3.590,3.377,-0.300,0.000,100.000,61.000,0.000
mode highEnergy,0,20.000,3500.000,3428.000,-2.100,52.550,52.560,130.000,676.000,3.428,0.070,0.210,0.061,3.637,3.218,3.540,3.295,-2.100,0.000,100.000,81.000,0.000
