Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode longLarge,0,5.000,2500.000,2443.000,-2.300,45.660,45.700,130.000,564.000,2.443,0.037,0.112,0.046,2.555,2.331,2.551,2.350,-2.300,0.000,100.000,22.000,0.000
mode longLarge,0,6.000,2500.000,2446.000,-2.200,45.930,45.950,130.000,524.000,2.446,0.027,0.082,0.034,2.528,2.364,2.531,2.368,-2.200,0.000,100.000,26.000,0.000
mode longLarge,0,8.000,2500.000,2460.000,-1.600,47.110,47.170,130.000,484.000,2.460,0.034,0.101,0.041,2.561,2.358,2.544,2.375,-1.600,0.000,100.000,34.000,0.000
mode longLarge,1,5.000,2500.000,2475.000,-1.000,45.700,45.700,130.000,564.000,2.475,0.027,0.081,0.033,2.555,2.394,2.541,2.400,-1.000,0.000,100.000,22.000,0.000
mode longLarge,1,6.000,2500.000,2491.000,-0.400,45.970,45.950,130.000,524.000,2.491,0.025,0.075,0.030,2.566,2.416,2.544,2.422,-0.400,0.000,100.000,26.000,0.000
mode longLarge,1,8.000,2500.000,2511.000,0.400,47.140,47.170,130.000,484.000,2.511,0.015,0.044,0.018,2.555,2.467,2.544,2.472,0.400,0.000,100.000,34.000,0.000
mode longLarge,2,5.000,2500.000,2534.000,1.300,45.690,45.700,130.000,564.000,2.534,0.024,0.072,0.028,2.605,2.462,2.603,2.477,1.300,0.000,100.000,22.000,0.000
mode longLarge,2,6.000,2500.000,2574.000,3.000,45.960,45.950,130.000,524.000,2.574,0.019,0.057,0.022,2.631,2.517,2.621,2.529,3.000,0.000,100.000,26.000,0.000
mode longLarge,2,8.000,2500.000,2603.000,4.100,47.150,47.170,130.000,484.000,2.603,0.016,0.049,0.019,2.652,2.553,2.653,2.546,4.100,0.000,100.000,34.000,0.000
mode longLarge,3,5.000,2500.000,2542.000,1.700,45.670,45.700,130.000,564.000,2.542,0.033,0.100,0.039,2.642,2.442,2.631,2.457,1.700,0.000,100.000,22.000,0.000
mode longLarge,3,6.000,2500.000,2535.000,1.400,45.920,45.950,130.000,524.000,2.535,0.015,0.044,0.017,2.580,2.491,2.571,2.489,1.400,0.000,100.000,26.000,0.000
mode longLarge,3,8.000,2500.000,2582.000,3.300,47.140,47.170,130.000,484.000,2.582,0.016,0.048,0.019,2.630,2.534,2.623,2.546,3.300,0.000,100.000,34.000,0.000
mode longLarge,0,10.000,2500.000,2459.000,-1.600,45.690,45.700,130.000,564.000,2.459,0.037,0.111,0.045,2.571,2.348,2.536,2.345,-1.600,0.000,100.000,42.000,0.000
mode longLarge,3,10.000,2500.000,2529.000,1.100,45.700,45.700,130.000,564.000,2.529,0.025,0.076,0.030,2.605,2.452,2.586,2.469,1.100,0.000,100.000,42.000,0.000
mode longLarge,0,15.000,2500.000,2456.000,-1.800,45.680,45.700,130.000,564.000,2.456,0.046,0.139,0.057,2.595,2.317,2.541,2.323,-1.800,0.000,100.000,61.000,0.000
mode longLarge,3,15.000,2500.000,2481.000,-0.700,45.730,45.700,130.000,564.000,2.481,0.035,0.106,0.043,2.587,2.375,2.561,2.397,-0.700,0.000,100.000,58.000,0.000
mode longLarge,0,20.000,2500.000,2458.000,-1.700,45.770,45.700,130.000,564.000,2.458,0.044,0.131,0.053,2.589,2.327,2.549,2.348,-1.700,0.000,100.000,71.000,0.000
mode longLarge,0,25.000,2500.000,2449.000,-2.100,46.060,46.050,130.000,516.000,2.449,0.047,0.141,0.058,2.590,2.308,2.531,2.355,-2.100,0.000,100.000,93.000,0.000
mode longLarge,0,30.000,2500.000,2463.000,-1.500,46.760,46.780,130.000,489.000,2.463,0.061,0.182,0.074,2.645,2.282,2.561,2.335,-1.500,0.000,100.000,121.000,0.000
mode longLarge,0,35.000,2500.000,2512.000,0.500,48.080,47.880,130.000,483.000,2.512,0.073,0.220,0.088,2.732,2.292,2.663,2.365,0.500,0.000,100.000,137.000,0.000
mode longLarge,0,40.000,2500.000,2575.000,3.000,49.600,49.350,130.000,498.000,2.575,0.069,0.207,0.080,2.783,2.368,2.688,2.420,3.000,0.000,100.000,148.000,0.000
mode longLarge,0,5.000,3000.000,2956.000,-1.500,54.070,54.100,130.000,584.000,2.956,0.047,0.141,0.048,3.098,2.815,3.059,2.816,-1.500,0.000,100.000,22.000,0.000
