Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode longSmall,0,5.000,200.000,187.000,-6.300,19.150,19.190,130.000,322.000,0.187,0.004,0.011,0.056,0.198,0.177,0.197,0.178,-6.300,0.000,100.000,22.000,1.000
mode longSmall,0,6.000,200.000,192.000,-4.200,18.300,18.310,130.000,303.000,0.192,0.014,0.043,0.226,0.235,0.148,0.222,0.160,-4.200,0.000,100.000,26.000,0.000
mode longSmall,0,8.000,200.000,194.000,-2.800,17.480,17.470,130.000,275.000,0.194,0.019,0.057,0.293,0.251,0.138,0.238,0.148,-2.800,3.000,100.000,34.000,0.000
mode longSmall,1,5.000,200.000,193.000,-3.400,19.080,19.190,130.000,322.000,0.193,0.003,0.009,0.046,0.202,0.184,0.200,0.186,-3.400,0.000,100.000,22.000,0.000
mode longSmall,1,6.000,200.000,193.000,-3.400,18.340,18.310,130.000,303.000,0.193,0.008,0.023,0.122,0.217,0.170,0.213,0.172,-3.400,0.000,100.000,26.000,0.000
mode longSmall,1,8.000,200.000,198.000,-0.800,17.440,17.470,130.000,275.000,0.198,0.017,0.050,0.254,0.249,0.148,0.243,0.174,-0.800,2.000,100.000,34.000,0.000
mode longSmall,2,5.000,200.000,207.000,3.700,19.130,19.190,130.000,322.000,0.207,0.005,0.016,0.075,0.223,0.192,0.222,0.197,3.700,0.000,100.000,22.000,0.000
mode longSmall,2,6.000,200.000,216.000,8.100,18.310,18.310,130.000,303.000,0.216,0.008,0.025,0.118,0.242,0.191,0.241,0.199,8.100,1.000,100.000,26.000,1.000
mode longSmall,2,8.000,200.000,206.000,3.200,17.380,17.470,130.000,275.000,0.206,0.019,0.058,0.280,0.264,0.149,0.281,0.176,3.200,7.000,100.000,32.000,0.000
mode longSmall,3,5.000,200.000,207.000,3.600,19.090,19.190,130.000,322.000,0.207,0.002,0.006,0.028,0.213,0.202,0.213,0.202,3.600,0.000,100.000,22.000,0.000
mode longSmall,3,6.000,200.000,202.000,1.100,18.310,18.310,130.000,303.000,0.202,0.008,0.023,0.112,0.225,0.180,0.227,0.185,1.100,0.000,100.000,26.000,0.000
mode longSmall,3,8.000,200.000,202.000,0.900,17.460,17.470,130.000,275.000,0.202,0.013,0.039,0.195,0.241,0.162,0.226,0.162,0.900,0.000,100.000,34.000,0.000
mode longSmall,0,10.000,200.000,192.000,-4.200,18.930,19.080,130.000,322.000,0.192,0.005,0.014,0.071,0.205,0.178,0.209,0.182,-4.200,0.000,100.000,35.000,0.000
mode longSmall,3,10.000,200.000,206.000,3.000,19.010,19.080,130.000,322.000,0.206,0.005,0.014,0.066,0.220,0.192,0.219,0.194,3.000,0.000,100.000,41.000,0.000
mode longSmall,0,15.000,200.000,197.000,-1.500,19.010,19.080,130.000,322.000,0.197,0.009,0.026,0.134,0.223,0.171,0.214,0.174,-1.500,0.000,100.000,60.000,0.000
mode longSmall,3,15.000,200.000,201.000,0.700,19.050,19.080,130.000,322.000,0.201,0.007,0.021,0.104,0.222,0.180,0.215,0.186,0.700,0.000,100.000,62.000,0.000
mode longSmall,0,20.000,200.000,199.000,-0.500,19.080,19.150,130.000,322.000,0.199,0.009,0.026,0.133,0.225,0.173,0.218,0.178,-0.500,0.000,100.000,79.000,0.000
mode longSmall,0,25.000,200.000,199.000,-0.300,18.090,18.120,130.000,299.000,0.199,0.011,0.032,0.161,0.232,0.167,0.224,0.179,-0.300,0.000,100.000,91.000,0.000
mode longSmall,0,30.000,200.000,199.000,-0.400,17.280,17.420,130.000,281.000,0.199,0.026,0.079,0.396,0.278,0.120,0.282,0.144,-0.400,10.000,100.000,110.000,0.000
mode longSmall,0,35.000,200.000,200.000,-0.100,17.250,17.290,130.000,267.000,0.200,0.026,0.077,0.388,0.277,0.122,0.264,0.124,-0.100,13.000,100.000,136.000,0.000
mode longSmall,0,40.000,200.000,199.000,-0.400,17.870,17.900,130.000,256.000,0.199,0.011,0.033,0.167,0.232,0.166,0.226,0.164,-0.400,0.000,100.000,158.000,0.000
mode longSmall,0,50.000,200.000,200.000,0.200,17.910,17.910,130.000,242.000,0.200,0.005,0.016,0.080,0.216,0.184,0.212,0.187,0.200,0.000,100.000,197.000,0.000
mode longSmall,0,60.000,200.000,199.000,-0.300,18.050,18.060,130.000,237.000,0.199,0.008,0.023,0.114,0.222,0.177,0.213,0.174,-0.300,0.000,100.000,230.000,0.000
mode longSmall,0,70.000,200.000,200.000,-0.000,18.120,18.140,130.000,237.000,0.200,0.012,0.035,0.177,0.235,0.165,0.223,0.165,-0.000,0.000,100.000,279.000,0.000
mode longSmall,0,80.000,200.000,199.000,-0.300,18.210,18.260,130.000,240.000,0.199,0.013,0.040,0.199,0.239,0.160,0.220,0.159,-0.300,2.000,100.000,325.000,0.000
mode longSmall,0,5.000,300.000,288.000,-4.000,27.590,27.600,130.000,337.000,0.288,0.009,0.028,0.096,0.316,0.261,0.316,0.272,-4.000,0.000,100.000,22.000,0.000
mode longSmall,0,6.000,300.000,284.000,-5.200,25.820,25.840,130.000,316.000,0.284,0.015,0.046,0.161,0.330,0.239,0.339,0.252,-5.200,0.000,100.000,26.000,1.000
mode longSmall,0,8.000,300.000,286.000,-4.700,24.380,24.410,130.000,283.000,0.286,0.033,0.100,0.350,0.386,0.186,0.384,0.218,-4.700,9.000,100.000,34.000,0.000
mode longSmall,1,5.000,300.000,289.000,-3.600,27.580,27.600,130.000,337.000,0.289,0.009,0.026,0.091,0.315,0.263,0.313,0.265,-3.600,0.000,100.000,22.000,0.000
mode longSmall,1,6.000,300.000,298.000,-0.700,25.860,25.840,130.000,316.000,0.298,0.012,0.035,0.118,0.333,0.263,0.345,0.276,-0.700,0.000,100.000,26.000,0.000
mode longSmall,1,8.000,300.000,303.000,1.200,24.480,24.410,130.000,283.000,0.303,0.032,0.095,0.313,0.398,0.208,0.368,0.238,1.200,4.000,100.000,34.000,0.000
mode longSmall,2,5.000,300.000,306.000,2.100,27.570,27.600,130.000,337.000,0.306,0.004,0.013,0.042,0.319,0.293,0.317,0.294,2.100,0.000,100.000,22.000,0.000
mode longSmall,2,6.000,300.000,317.000,5.700,25.860,25.840,130.000,316.000,0.317,0.007,0.020,0.062,0.337,0.297,0.339,0.305,5.700,0.000,100.000,26.000,1.000
mode longSmall,2,8.000,300.000,314.000,4.800,24.460,24.410,130.000,283.000,0.314,0.037,0.110,0.351,0.425,0.204,0.413,0.229,4.800,14.000,100.000,33.000,0.000
mode longSmall,3,5.000,300.000,315.000,4.900,27.560,27.600,130.000,337.000,0.315,0.006,0.017,0.053,0.331,0.298,0.329,0.303,4.900,0.000,100.000,22.000,0.000
mode longSmall,3,6.000,300.000,302.000,0.700,25.850,25.840,130.000,316.000,0.302,0.007,0.020,0.067,0.322,0.282,0.317,0.289,0.700,0.000,100.000,26.000,0.000
mode longSmall,3,8.000,300.000,296.000,-1.200,24.370,24.410,130.000,283.000,0.296,0.014,0.042,0.140,0.338,0.255,0.333,0.265,-1.200,0.000,100.000,34.000,0.000
mode longSmall,0,10.000,300.000,296.000,-1.200,27.180,27.230,130.000,337.000,0.296,0.011,0.034,0.114,0.330,0.263,0.318,0.278,-1.200,0.000,100.000,40.000,0.000
mode longSmall,3,10.000,300.000,304.000,1.400,27.190,27.230,130.000,337.000,0.304,0.007,0.020,0.066,0.324,0.284,0.324,0.291,1.400,0.000,100.000,42.000,0.000
mode longSmall,0,15.000,300.000,300.000,-0.000,27.470,27.500,130.000,337.000,0.300,0.011,0.033,0.110,0.333,0.267,0.321,0.277,-0.000,0.000,100.000,56.000,0.000
mode longSmall,3,15.000,300.000,300.000,-0.100,27.440,27.500,130.000,337.000,0.300,0.012,0.036,0.120,0.336,0.264,0.327,0.275,-0.100,0.000,100.000,51.000,0.000
mode longSmall,0,20.000,300.000,300.000,0.100,27.390,27.390,130.000,337.000,0.300,0.013,0.038,0.125,0.338,0.263,0.323,0.267,0.100,0.000,100.000,75.000,0.000
mode longSmall,0,25.000,300.000,300.000,0.100,25.730,25.720,130.000,311.000,0.300,0.019,0.057,0.190,0.357,0.243,0.339,0.239,0.100,1.000,100.000,101.000,0.000
mode longSmall,0,30.000,300.000,297.000,-1.000,24.740,24.690,130.000,290.000,0.297,0.032,0.096,0.322,0.393,0.201,0.424,0.222,-1.000,6.000,100.000,120.000,0.000
mode longSmall,0,35.000,300.000,299.000,-0.200,25.100,25.130,130.000,274.000,0.299,0.023,0.069,0.230,0.368,0.230,0.369,0.242,-0.200,1.000,100.000,137.000,0.000
mode longSmall,0,40.000,300.000,299.000,-0.200,25.660,25.650,130.000,262.000,0.299,0.012,0.035,0.118,0.335,0.264,0.334,0.267,-0.200,0.000,100.000,159.000,0.000
mode longSmall,0,50.000,300.000,298.000,-0.700,25.610,25.640,130.000,248.000,0.298,0.008,0.024,0.082,0.322,0.273,0.321,0.281,-0.700,0.000,100.000,194.000,0.000
mode longSmall,0,60.000,300.000,299.000,-0.200,25.950,25.930,130.000,244.000,0.299,0.010,0.030,0.102,0.330,0.269,0.326,0.274,-0.200,0.000,100.000,230.000,0.000
mode longSmall,0,70.000,300.000,298.000,-0.800,26.100,26.200,130.000,245.000,0.298,0.014,0.043,0.145,0.341,0.254,0.324,0.257,-0.800,0.000,100.000,279.000,0.000
mode longSmall,0,80.000,300.000,299.000,-0.500,26.040,26.120,130.000,248.000,0.299,0.017,0.051,0.169,0.349,0.248,0.332,0.258,-0.500,0.000,100.000,323.000,0.000
mode longSmall,0,5.000,400.000,390.000,-2.600,34.640,34.660,130.000,351.000,0.390,0.012,0.035,0.090,0.425,0.355,0.419,0.362,-2.600,0.000,100.000,22.000,0.000
mode longSmall,0,6.000,400.000,381.000,-4.800,32.670,32.670,130.000,326.000,0.381,0.019,0.058,0.152,0.439,0.323,0.429,0.335,-4.800,0.000,100.000,26.000,0.000
mode longSmall,0,8.000,400.000,385.000,-3.700,31.400,31.130,130.000,290.000,0.385,0.044,0.131,0.340,0.516,0.254,0.511,0.295,-3.700,9.000,100.000,34.000,0.000
mode longSmall,1,5.000,400.000,381.000,-4.800,34.670,34.660,130.000,351.000,0.381,0.013,0.039,0.102,0.419,0.342,0.412,0.342,-4.800,0.000,100.000,22.000,0.000
mode longSmall,1,6.000,400.000,392.000,-2.000,32.780,32.670,130.000,326.000,0.392,0.028,0.084,0.214,0.476,0.308,0.461,0.335,-2.000,0.000,100.000,26.000,0.000
mode longSmall,1,8.000,400.000,402.000,0.600,31.330,31.130,130.000,290.000,0.402,0.039,0.117,0.290,0.519,0.286,0.476,0.308,0.600,2.000,100.000,34.000,0.000
mode longSmall,2,5.000,400.000,415.000,3.800,34.550,34.660,130.000,351.000,0.415,0.006,0.018,0.044,0.433,0.397,0.429,0.394,3.800,0.000,100.000,22.000,0.000
mode longSmall,2,6.000,400.000,423.000,5.600,32.660,32.670,130.000,326.000,0.423,0.017,0.052,0.124,0.475,0.370,0.469,0.384,5.600,0.000,100.000,26.000,1.000
mode longSmall,2,8.000,400.000,417.000,4.100,31.320,31.130,130.000,290.000,0.417,0.039,0.116,0.280,0.533,0.300,0.501,0.310,4.100,7.000,100.000,34.000,0.000
mode longSmall,3,5.000,400.000,416.000,3.900,34.650,34.660,130.000,351.000,0.416,0.008,0.024,0.057,0.439,0.392,0.436,0.392,3.900,0.000,100.000,22.000,0.000
mode longSmall,3,6.000,400.000,413.000,3.400,32.680,32.670,130.000,326.000,0.413,0.016,0.048,0.116,0.461,0.365,0.454,0.382,3.400,0.000,100.000,26.000,0.000
