Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode longMedium,0,5.000,800.000,715.000,-10.600,16.350,16.300,130.000,428.000,0.715,0.028,0.083,0.117,0.798,0.632,0.776,0.650,-10.600,0.000,100.000,22.000,1.000
mode longMedium,0,6.000,800.000,741.000,-7.400,16.380,16.410,130.000,389.000,0.741,0.051,0.154,0.208,0.895,0.587,0.846,0.622,-7.400,4.000,100.000,26.000,1.000
mode longMedium,0,8.000,800.000,779.000,-2.600,17.030,17.060,130.000,338.000,0.779,0.056,0.168,0.216,0.947,0.611,0.905,0.630,-2.600,1.000,100.000,34.000,0.000
mode longMedium,1,5.000,800.000,727.000,-9.100,16.280,16.300,130.000,428.000,0.727,0.021,0.063,0.087,0.790,0.664,0.784,0.694,-9.100,0.000,100.000,22.000,1.000
mode longMedium,1,6.000,800.000,752.000,-5.900,16.400,16.410,130.000,389.000,0.752,0.046,0.138,0.183,0.890,0.614,0.893,0.655,-5.900,0.000,100.000,26.000,1.000
mode longMedium,1,8.000,800.000,801.000,0.100,17.080,17.060,130.000,338.000,0.801,0.021,0.062,0.077,0.863,0.739,0.843,0.744,0.100,0.000,100.000,34.000,0.000
mode longMedium,2,5.000,800.000,782.000,-2.200,16.250,16.300,130.000,428.000,0.782,0.018,0.055,0.071,0.838,0.727,0.836,0.724,-2.200,0.000,100.000,22.000,0.000
mode longMedium,2,6.000,800.000,784.000,-2.000,16.400,16.410,130.000,389.000,0.784,0.028,0.083,0.106,0.867,0.701,0.848,0.724,-2.000,0.000,100.000,26.000,0.000
mode longMedium,2,8.000,800.000,823.000,2.900,17.050,17.060,130.000,338.000,0.823,0.017,0.050,0.061,0.873,0.773,0.860,0.776,2.900,0.000,100.000,34.000,0.000
mode longMedium,3,5.000,800.000,769.000,-3.900,16.290,16.300,130.000,428.000,0.769,0.015,0.046,0.060,0.814,0.723,0.806,0.736,-3.900,0.000,100.000,22.000,0.000
mode longMedium,3,6.000,800.000,799.000,-0.200,16.420,16.410,130.000,389.000,0.799,0.024,0.072,0.090,0.871,0.727,0.865,0.734,-0.200,0.000,100.000,26.000,0.000
mode longMedium,3,8.000,800.000,801.000,0.200,17.050,17.060,130.000,338.000,0.801,0.013,0.038,0.047,0.839,0.763,0.833,0.769,0.200,0.000,100.000,34.000,0.000
mode longMedium,0,10.000,800.000,734.000,-8.200,16.410,16.460,130.000,428.000,0.734,0.020,0.060,0.081,0.794,0.675,0.779,0.687,-8.200,0.000,100.000,42.000,1.000
mode longMedium,3,10.000,800.000,778.000,-2.800,16.450,16.460,130.000,428.000,0.778,0.016,0.049,0.064,0.827,0.728,0.860,0.736,-2.800,0.000,100.000,42.000,0.000
mode longMedium,0,15.000,800.000,762.000,-4.700,16.690,16.680,130.000,428.000,0.762,0.030,0.091,0.119,0.853,0.671,0.828,0.712,-4.700,0.000,100.000,62.000,0.000
mode longMedium,3,15.000,800.000,772.000,-3.400,16.720,16.680,130.000,428.000,0.772,0.030,0.090,0.116,0.862,0.683,0.851,0.717,-3.400,0.000,100.000,62.000,0.000
mode longMedium,0,20.000,800.000,769.000,-3.900,16.810,16.810,130.000,428.000,0.769,0.032,0.097,0.126,0.866,0.672,0.860,0.712,-3.900,0.000,100.000,81.000,0.000
mode longMedium,0,25.000,800.000,788.000,-1.500,16.740,16.750,130.000,381.000,0.788,0.063,0.189,0.239,0.977,0.600,0.932,0.632,-1.500,3.000,100.000,88.000,0.000
mode longMedium,0,30.000,800.000,804.000,0.500,17.180,17.180,130.000,348.000,0.804,0.025,0.075,0.093,0.879,0.730,0.870,0.732,0.500,0.000,100.000,120.000,0.000
