Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode highEnergy,0,5.000,1000.000,961.000,-3.900,16.620,16.630,130.000,571.000,0.961,0.042,0.126,0.131,1.087,0.835,1.051,0.846,-3.900,0.000,100.000,22.000,0.000
mode highEnergy,1,5.000,1000.000,969.000,-3.100,16.590,16.630,130.000,571.000,0.969,0.034,0.101,0.104,1.070,0.869,1.046,0.898,-3.100,0.000,100.000,22.000,0.000
mode highEnergy,2,5.000,1000.000,1005.000,0.500,16.580,16.630,130.000,571.000,1.005,0.023,0.068,0.067,1.073,0.938,1.064,0.945,0.500,0.000,100.000,22.000,0.000
mode highEnergy,3,5.000,1000.000,1007.000,0.700,16.560,16.630,130.000,571.000,1.007,0.023,0.068,0.068,1.076,0.939,1.059,0.942,0.700,0.000,100.000,22.000,0.000
mode highEnergy,0,10.000,1000.000,978.000,-2.200,16.800,16.890,130.000,571.000,0.978,0.032,0.097,0.099,1.075,0.881,1.091,0.875,-2.200,0.000,100.000,42.000,0.000
mode highEnergy,3,10.000,1000.000,1021.000,2.100,16.840,16.890,130.000,571.000,1.021,0.023,0.070,0.069,1.091,0.951,1.081,0.970,2.100,0.000,100.000,41.000,0.000
mode highEnergy,0,15.000,1000.000,987.000,-1.300,16.800,16.860,130.000,571.000,0.987,0.034,0.101,0.103,1.089,0.886,1.081,0.870,-1.300,0.000,100.000,59.000,0.000
mode highEnergy,3,15.000,1000.000,1007.000,0.700,16.810,16.860,130.000,571.000,1.007,0.027,0.080,0.079,1.086,0.927,1.064,0.915,0.700,0.000,100.000,61.000,0.000
mode highEnergy,0,20.000,1000.000,993.000,-0.700,16.760,16.790,130.000,571.000,0.993,0.037,0.111,0.112,1.105,0.882,1.064,0.858,-0.700,0.000,100.000,75.000,0.000
mode highEnergy,0,5.000,2000.000,1988.000,-0.600,32.350,32.410,130.000,621.000,1.988,0.026,0.079,0.040,2.067,1.909,2.043,1.929,-0.600,0.000,100.000,22.000,0.000
mode highEnergy,1,5.000,2000.000,1992.000,-0.400,32.360,32.410,130.000,621.000,1.992,0.025,0.074,0.037,2.066,1.917,2.040,1.917,-0.400,0.000,100.000,22.000,0.000
mode highEnergy,2,5.000,2000.000,2009.000,0.500,32.340,32.410,130.000,621.000,2.009,0.021,0.062,0.031,2.072,1.947,2.070,1.956,0.500,0.000,100.000,21.000,0.000
mode highEnergy,3,5.000,2000.000,2043.000,2.100,32.350,32.410,130.000,621.000,2.043,0.024,0.071,0.035,2.113,1.972,2.098,1.961,2.100,0.000,100.000,22.000,0.000
mode highEnergy,0,10.000,2000.000,1997.000,-0.100,32.260,32.380,130.000,621.000,1.997,0.027,0.080,0.040,2.077,1.917,2.065,1.931,-0.100,0.000,100.000,39.000,0.000
mode highEnergy,3,10.000,2000.000,2027.000,1.400,32.290,32.380,130.000,621.000,2.027,0.024,0.071,0.035,2.098,1.956,2.095,1.971,1.400,0.000,100.000,41.000,0.000
mode highEnergy,0,15.000,2000.000,2017.000,0.900,32.730,32.720,130.000,621.000,2.017,0.030,0.090,0.044,2.107,1.928,2.107,1.946,0.900,0.000,100.000,61.000,0.000
mode highEnergy,3,15.000,2000.000,2031.000,1.500,32.750,32.720,130.000,621.000,2.031,0.029,0.088,0.043,2.119,1.942,2.117,1.961,1.500,0.000,100.000,58.000,0.000
mode highEnergy,0,20.000,2000.000,2013.000,0.600,32.760,32.770,130.000,621.000,2.013,0.029,0.088,0.044,2.101,1.925,2.088,1.939,0.600,0.000,100.000,82.000,0.000
mode highEnergy,0,5.000,3000.000,2928.000,-2.400,45.250,45.270,130.000,648.000,2.928,0.026,0.079,0.027,3.007,2.849,2.980,2.866,-2.400,0.000,100.000,22.000,0.000
mode highEnergy,1,5.000,3000.000,2993.000,-0.200,45.230,45.270,130.000,648.000,2.993,0.023,0.068,0.023,3.061,2.924,3.047,2.938,-0.200,0.000,100.000,22.000,0.000
mode highEnergy,2,5.000,3000.000,3046.000,1.500,45.240,45.270,130.000,648.000,3.046,0.022,0.067,0.022,3.113,2.979,3.087,2.997,1.500,0.000,100.000,22.000,0.000
mode highEnergy,3,5.000,3000.000,3006.000,0.200,45.240,45.270,130.000,648.000,3.006,0.017,0.052,0.017,3.058,2.954,3.047,2.965,0.200,0.000,100.000,22.000,0.000
mode highEnergy,0,10.000,3000.000,2959.000,-1.400,45.690,45.710,130.000,648.000,2.959,0.038,0.114,0.039,3.073,2.845,3.037,2.896,-1.400,0.000,100.000,42.000,0.000
mode highEnergy,3,10.000,3000.000,3037.000,1.200,45.710,45.710,130.000,648.000,3.037,0.022,0.067,0.022,3.104,2.970,3.107,2.988,1.200,0.000,100.000,42.000,0.000
mode highEnergy,0,15.000,3000.000,2994.000,-0.200,45.990,46.040,130.000,648.000,2.994,0.060,0.181,0.060,3.175,2.813,3.094,2.873,-0.200,0.000,100.000,59.000,0.000
mode highEnergy,3,15.000,3000.000,3021.000,0.700,46.040,46.040,130.000,648.000,3.021,0.034,0.103,0.034,3.124,2.919,3.111,2.950,0.700,0.000,100.000,59.000,0.000
