Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode small,0,5.000,200.000,188.000,-6.200,19.350,19.340,130.000,287.000,0.188,0.006,0.017,0.089,0.204,0.171,0.202,0.177,-6.200,0.000,100.000,21.000,1.000
mode small,0,6.000,200.000,186.000,-7.200,18.400,18.420,130.000,271.000,0.186,0.011,0.033,0.180,0.219,0.152,0.220,0.164,-7.200,0.000,100.000,26.000,1.000
mode small,0,8.000,200.000,194.000,-3.100,17.590,17.620,130.000,247.000,0.194,0.018,0.053,0.275,0.247,0.141,0.232,0.140,-3.100,2.000,100.000,32.000,0.000
mode small,1,5.000,200.000,193.000,-3.500,19.200,19.340,130.000,287.000,0.193,0.002,0.006,0.033,0.199,0.187,0.198,0.188,-3.500,0.000,100.000,22.000,0.000
mode small,1,6.000,200.000,195.000,-2.600,18.420,18.420,130.000,271.000,0.195,0.008,0.025,0.130,0.220,0.169,0.220,0.179,-2.600,0.000,100.000,26.000,0.000
mode small,1,8.000,200.000,195.000,-2.500,17.620,17.620,130.000,247.000,0.195,0.012,0.036,0.186,0.231,0.159,0.243,0.178,-2.500,1.000,100.000,32.000,0.000
mode small,2,5.000,200.000,209.000,4.300,19.340,19.340,130.000,287.000,0.209,0.005,0.014,0.067,0.223,0.195,0.221,0.196,4.300,0.000,100.000,22.000,0.000
mode small,2,6.000,200.000,216.000,7.800,18.430,18.420,130.000,271.000,0.216,0.007,0.021,0.096,0.236,0.195,0.233,0.198,7.800,0.000,100.000,25.000,1.000
mode small,2,8.000,200.000,208.000,3.900,17.540,17.620,130.000,247.000,0.208,0.017,0.051,0.246,0.259,0.157,0.261,0.159,3.900,4.000,100.000,33.000,0.000
mode small,3,5.000,200.000,210.000,4.800,19.230,19.340,130.000,287.000,0.210,0.002,0.006,0.030,0.216,0.203,0.216,0.205,4.800,0.000,100.000,22.000,0.000
mode small,3,6.000,200.000,206.000,2.800,18.460,18.420,130.000,271.000,0.206,0.011,0.034,0.166,0.240,0.171,0.231,0.184,2.800,0.000,100.000,26.000,0.000
