Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode longSmall,0,5.000,200.000,208.000,3.800,20.560,20.490,130.000,322.000,0.208,0.006,0.018,0.086,0.225,0.190,0.229,0.197,3.800,0.000,100.000,22.000,0.000
mode longSmall,0,6.000,200.000,205.000,2.300,19.450,19.480,130.000,303.000,0.205,0.006,0.019,0.092,0.223,0.186,0.220,0.176,2.300,0.000,100.000,25.000,0.000
mode longSmall,0,8.000,200.000,204.000,2.000,18.050,18.100,130.000,275.000,0.204,0.030,0.089,0.434,0.293,0.115,0.294,0.114,2.000,14.000,100.000,33.000,0.000
mode longSmall,1,5.000,200.000,210.000,5.100,20.470,20.490,130.000,322.000,0.210,0.004,0.013,0.061,0.223,0.197,0.219,0.201,5.100,0.000,100.000,22.000,1.000
mode longSmall,1,6.000,200.000,212.000,5.900,19.530,19.480,130.000,303.000,0.212,0.011,0.032,0.153,0.244,0.179,0.239,0.190,5.900,0.000,100.000,26.000,1.000
mode longSmall,1,8.000,200.000,210.000,5.000,18.150,18.100,130.000,275.000,0.210,0.019,0.057,0.269,0.266,0.153,0.279,0.174,5.000,6.000,100.000,32.000,0.000
mode longSmall,2,5.000,200.000,222.000,11.200,20.440,20.490,130.000,322.000,0.222,0.005,0.016,0.073,0.239,0.206,0.235,0.212,11.200,0.000,100.000,22.000,1.000
mode longSmall,2,6.000,200.000,231.000,15.300,19.470,19.480,130.000,303.000,0.231,0.008,0.025,0.110,0.256,0.205,0.259,0.214,15.300,13.000,100.000,26.000,1.000
mode longSmall,2,8.000,200.000,216.000,8.000,18.060,18.100,130.000,275.000,0.216,0.025,0.076,0.352,0.292,0.140,0.283,0.171,8.000,18.000,100.000,34.000,1.000
mode longSmall,3,5.000,200.000,221.000,10.400,20.330,20.490,130.000,322.000,0.221,0.004,0.012,0.053,0.233,0.209,0.228,0.205,10.400,0.000,100.000,22.000,1.000
