Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode longSmall,0,5.000,200.000,188.000,-6.100,19.230,19.240,130.000,322.000,0.188,0.004,0.012,0.065,0.200,0.176,0.200,0.180,-6.100,0.000,100.000,22.000,1.000
mode longSmall,0,6.000,200.000,190.000,-5.100,18.210,18.250,130.000,303.000,0.190,0.014,0.042,0.224,0.232,0.147,0.224,0.158,-5.100,1.000,100.000,26.000,1.000
mode longSmall,0,8.000,200.000,193.000,-3.300,17.460,17.440,130.000,275.000,0.193,0.023,0.069,0.356,0.262,0.125,0.253,0.140,-3.300,10.000,100.000,34.000,0.000
mode longSmall,1,5.000,200.000,195.000,-2.600,19.170,19.240,130.000,322.000,0.195,0.003,0.009,0.046,0.204,0.186,0.201,0.186,-2.600,0.000,100.000,22.000,0.000
mode longSmall,1,6.000,200.000,191.000,-4.400,18.240,18.250,130.000,303.000,0.191,0.008,0.023,0.121,0.214,0.168,0.224,0.173,-4.400,0.000,100.000,26.000,0.000
mode longSmall,1,8.000,200.000,199.000,-0.700,17.460,17.440,130.000,275.000,0.199,0.016,0.047,0.235,0.245,0.152,0.249,0.170,-0.700,1.000,100.000,33.000,0.000
mode longSmall,2,5.000,200.000,208.000,4.000,19.200,19.240,130.000,322.000,0.208,0.006,0.017,0.082,0.225,0.191,0.223,0.195,4.000,0.000,100.000,22.000,0.000
mode longSmall,2,6.000,200.000,215.000,7.300,18.240,18.250,130.000,303.000,0.215,0.008,0.025,0.114,0.239,0.190,0.237,0.198,7.300,0.000,100.000,26.000,1.000
mode longSmall,2,8.000,200.000,207.000,3.500,17.440,17.440,130.000,275.000,0.207,0.021,0.062,0.298,0.269,0.145,0.283,0.171,3.500,6.000,100.000,34.000,0.000
mode longSmall,3,5.000,200.000,208.000,4.100,19.170,19.240,130.000,322.000,0.208,0.002,0.007,0.034,0.215,0.201,0.213,0.202,4.100,0.000,100.000,22.000,0.000
mode longSmall,3,6.000,200.000,202.000,0.800,18.250,18.250,130.000,303.000,0.202,0.007,0.021,0.104,0.222,0.181,0.222,0.189,0.800,0.000,100.000,26.000,0.000
mode longSmall,3,8.000,200.000,202.000,0.800,17.420,17.440,130.000,275.000,0.202,0.015,0.046,0.228,0.248,0.156,0.238,0.163,0.800,0.000,100.000,34.000,0.000
mode longSmall,0,10.000,200.000,192.000,-4.000,18.940,19.060,130.000,322.000,0.192,0.006,0.017,0.087,0.209,0.175,0.219,0.175,-4.000,0.000,100.000,42.000,0.000
mode longSmall,3,10.000,200.000,206.000,2.800,19.010,19.060,130.000,322.000,0.206,0.004,0.012,0.057,0.217,0.194,0.218,0.192,2.800,0.000,100.000,42.000,0.000
mode longSmall,0,15.000,200.000,197.000,-1.600,19.040,19.120,130.000,322.000,0.197,0.008,0.024,0.119,0.220,0.173,0.214,0.183,-1.600,0.000,100.000,61.000,0.000
mode longSmall,3,15.000,200.000,201.000,0.700,19.070,19.120,130.000,322.000,0.201,0.007,0.021,0.106,0.223,0.180,0.214,0.187,0.700,0.000,100.000,61.000,0.000
