Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode small,0,5.000,200.000,186.000,-6.800,19.290,19.280,130.000,287.000,0.186,0.006,0.018,0.095,0.204,0.169,0.198,0.175,-6.800,0.000,100.000,22.000,1.000
mode small,0,6.000,200.000,188.000,-6.100,18.350,18.370,130.000,271.000,0.188,0.015,0.046,0.245,0.234,0.142,0.232,0.165,-6.100,0.000,100.000,25.000,1.000
mode small,0,8.000,200.000,194.000,-3.200,17.520,17.550,130.000,247.000,0.194,0.020,0.060,0.311,0.254,0.133,0.240,0.154,-3.200,6.000,100.000,32.000,0.000
mode small,1,5.000,200.000,192.000,-3.800,19.150,19.280,130.000,287.000,0.192,0.002,0.007,0.038,0.200,0.185,0.198,0.187,-3.800,0.000,100.000,21.000,0.000
mode small,1,6.000,200.000,192.000,-4.100,18.370,18.370,130.000,271.000,0.192,0.008,0.024,0.125,0.216,0.168,0.220,0.176,-4.100,0.000,100.000,26.000,0.000
mode small,1,8.000,200.000,195.000,-2.600,17.570,17.550,130.000,247.000,0.195,0.011,0.033,0.168,0.228,0.162,0.249,0.178,-2.600,1.000,100.000,34.000,0.000
mode small,2,5.000,200.000,207.000,3.600,19.210,19.280,130.000,287.000,0.207,0.005,0.016,0.076,0.223,0.191,0.218,0.191,3.600,0.000,100.000,22.000,0.000
mode small,2,6.000,200.000,215.000,7.500,18.350,18.370,130.000,271.000,0.215,0.008,0.023,0.107,0.238,0.192,0.235,0.190,7.500,0.000,100.000,26.000,1.000
mode small,2,8.000,200.000,206.000,3.000,17.540,17.550,130.000,247.000,0.206,0.011,0.034,0.166,0.240,0.172,0.234,0.172,3.000,0.000,100.000,34.000,0.000
mode small,3,5.000,200.000,209.000,4.400,19.180,19.280,130.000,287.000,0.209,0.002,0.006,0.029,0.215,0.203,0.215,0.204,4.400,0.000,100.000,22.000,0.000
mode small,3,6.000,200.000,206.000,2.800,18.400,18.370,130.000,271.000,0.206,0.012,0.037,0.179,0.242,0.169,0.229,0.181,2.800,0.000,100.000,26.000,0.000
mode small,3,8.000,200.000,203.000,1.600,17.550,17.550,130.000,247.000,0.203,0.015,0.045,0.223,0.249,0.158,0.238,0.164,1.600,0.000,100.000,34.000,0.000
mode small,0,10.000,200.000,190.000,-5.100,19.120,19.270,130.000,287.000,0.190,0.004,0.013,0.069,0.203,0.177,0.205,0.176,-5.100,0.000,100.000,42.000,1.000
mode small,3,10.000,200.000,208.000,4.100,19.200,19.270,130.000,287.000,0.208,0.004,0.011,0.051,0.219,0.197,0.217,0.198,4.100,0.000,100.000,42.000,0.000
mode small,0,15.000,200.000,196.000,-1.900,19.180,19.300,130.000,287.000,0.196,0.009,0.027,0.139,0.223,0.169,0.215,0.178,-1.900,0.000,100.000,62.000,0.000
mode small,3,15.000,200.000,203.000,1.700,19.240,19.300,130.000,287.000,0.203,0.008,0.025,0.125,0.229,0.178,0.220,0.187,1.700,0.000,100.000,61.000,0.000
mode small,0,20.000,200.000,200.000,0.100,19.310,19.350,130.000,287.000,0.200,0.009,0.028,0.138,0.228,0.173,0.216,0.176,0.100,0.000,100.000,81.000,0.000
mode small,0,25.000,200.000,202.000,0.800,18.260,18.210,130.000,268.000,0.202,0.012,0.036,0.180,0.238,0.165,0.234,0.173,0.800,0.000,100.000,100.000,0.000
mode small,0,30.000,200.000,200.000,0.200,17.690,17.740,130.000,252.000,0.200,0.022,0.065,0.324,0.265,0.136,0.268,0.144,0.200,5.000,100.000,120.000,0.000
mode small,0,35.000,200.000,202.000,0.900,17.560,17.450,130.000,240.000,0.202,0.026,0.077,0.380,0.278,0.125,0.263,0.141,0.900,13.000,100.000,137.000,0.000
mode small,0,40.000,200.000,199.000,-0.400,17.890,17.950,130.000,231.000,0.199,0.011,0.032,0.161,0.231,0.167,0.227,0.175,-0.400,0.000,100.000,157.000,0.000
