Mode,Frequency,PMs,PMm,EMBm,EMBs,Prepulse,Pulse,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,Error,OOB,Size
mode longMedium,5.000,2000.000,1242.800,25.350,39.210,130.000,450.000,1.243,0.062,0.185,0.149,1.428,1.058,1.359,1.123,-0.379,20.000,20.000,14.000
mode longMedium,5.000,2000.000,1340.250,27.060,39.210,130.000,453.000,1.340,0.070,0.210,0.157,1.551,1.130,1.567,1.265,-0.330,20.000,20.000,15.000
mode longMedium,5.000,2000.000,2070.900,39.670,39.210,130.000,473.000,2.071,0.076,0.227,0.110,2.298,1.844,2.174,1.907,0.035,0.000,20.000,15.000
mode longMedium,8.000,800.000,414.200,9.540,20.250,130.000,320.000,0.414,0.033,0.100,0.241,0.514,0.315,0.486,0.357,-0.482,20.000,20.000,22.000
mode longMedium,8.000,800.000,484.650,10.930,20.250,130.000,323.000,0.485,0.046,0.139,0.288,0.624,0.345,0.570,0.409,-0.394,20.000,20.000,22.000
mode longMedium,8.000,800.000,753.050,15.890,20.250,130.000,336.000,0.753,0.034,0.101,0.134,0.854,0.652,0.811,0.684,-0.059,0.000,20.000,22.000
mode longMedium,8.000,1500.000,1162.750,23.720,31.680,130.000,353.000,1.163,0.040,0.121,0.104,1.284,1.042,1.232,1.098,-0.225,15.000,20.000,22.000
mode longMedium,8.000,1500.000,1233.550,25.090,31.680,130.000,356.000,1.234,0.040,0.119,0.096,1.352,1.115,1.334,1.183,-0.178,5.000,20.000,22.000
mode longMedium,8.000,2000.000,1756.500,34.270,40.640,130.000,378.000,1.757,0.025,0.074,0.042,1.830,1.683,1.805,1.711,-0.122,0.000,20.000,22.000
mode longMedium,10.000,800.000,655.150,14.090,20.870,130.000,306.000,0.655,0.028,0.084,0.129,0.740,0.571,0.712,0.598,-0.181,5.000,20.000,27.000
mode longMedium,10.000,1500.000,1359.750,27.290,32.110,130.000,345.000,1.360,0.008,0.023,0.017,1.383,1.337,1.374,1.341,-0.093,0.000,20.000,27.000
mode longMedium,10.000,2000.000,1836.500,36.500,41.450,130.000,372.000,1.837,0.015,0.044,0.024,1.881,1.792,1.867,1.805,-0.082,0.000,20.000,27.000
mode longMedium,18.000,800.000,728.050,16.250,19.990,130.000,303.000,0.728,0.010,0.031,0.043,0.759,0.697,0.751,0.709,-0.090,0.000,20.000,46.000
mode longMedium,18.000,1500.000,1429.727,29.230,30.100,130.000,343.000,1.430,0.027,0.081,0.057,1.511,1.349,1.490,1.398,-0.047,0.000,11.000,17.000
mode longMedium,18.000,2000.000,2077.727,40.860,35.590,130.000,379.000,2.078,0.045,0.135,0.065,2.213,1.942,2.162,2.031,0.039,0.000,11.000,17.000
mode longLarge,5.000,2500.000,1981.250,37.000,47.420,130.000,545.000,1.981,0.044,0.132,0.067,2.113,1.849,2.040,1.835,-0.208,12.000,20.000,15.000
mode longLarge,5.000,2500.000,2095.650,39.000,47.420,130.000,548.000,2.096,0.087,0.262,0.125,2.357,1.834,2.197,1.864,-0.162,2.000,20.000,15.000
mode longLarge,5.000,3000.000,2521.800,46.060,56.150,130.000,565.000,2.522,0.062,0.187,0.074,2.709,2.335,2.643,2.437,-0.159,0.000,20.000,14.000
mode longLarge,5.000,3500.000,3017.200,54.390,61.410,130.000,585.000,3.017,0.075,0.224,0.074,3.241,2.794,3.176,2.883,-0.138,0.000,20.000,14.000
mode longLarge,7.000,2500.000,2258.600,42.120,47.900,130.000,485.000,2.259,0.023,0.069,0.030,2.327,2.190,2.311,2.226,-0.097,0.000,20.000,20.000
mode longLarge,7.000,3000.000,2757.600,50.980,55.180,130.000,512.000,2.758,0.014,0.042,0.015,2.799,2.716,2.787,2.737,-0.081,0.000,20.000,19.000
mode longLarge,7.000,3500.000,3138.900,57.550,62.180,130.000,535.000,3.139,0.012,0.036,0.011,3.175,3.103,3.166,3.121,-0.103,0.000,20.000,19.000
mode longLarge,9.000,2500.000,2213.300,42.680,59.160,130.000,468.000,2.213,0.013,0.039,0.018,2.252,2.174,2.241,2.189,-0.115,0.000,20.000,25.000
mode longLarge,9.000,3000.000,2677.500,51.440,57.390,130.000,495.000,2.677,0.020,0.059,0.022,2.737,2.618,2.727,2.645,-0.108,0.000,20.000,25.000
mode longLarge,9.000,3500.000,3162.050,60.100,61.100,130.000,525.000,3.162,0.018,0.055,0.017,3.217,3.107,3.193,3.129,-0.097,0.000,20.000,25.000
mode dust,5.000,800.000,334.200,6.250,13.900,130.000,718.000,0.334,0.016,0.047,0.142,0.382,0.287,0.365,0.303,-0.582,20.000,20.000,15.000
mode dust,5.000,800.000,382.000,6.650,13.900,130.000,721.000,0.382,0.011,0.033,0.086,0.415,0.349,0.407,0.362,-0.522,20.000,20.000,14.000
mode dust,5.000,800.000,754.200,11.000,13.900,130.000,747.000,0.754,0.025,0.076,0.101,0.831,0.678,0.813,0.689,-0.057,0.000,20.000,14.000
mode dust,5.000,1200.000,790.550,11.610,18.540,130.000,750.000,0.791,0.034,0.102,0.129,0.893,0.688,0.860,0.741,-0.341,20.000,20.000,14.000
mode dust,5.000,1200.000,860.500,12.330,18.540,130.000,753.000,0.861,0.023,0.070,0.082,0.931,0.790,0.915,0.826,-0.283,20.000,20.000,14.000
mode dust,5.000,1200.000,1063.250,14.890,18.540,130.000,768.000,1.063,0.018,0.053,0.049,1.116,1.011,1.103,1.024,-0.114,0.000,20.000,14.000
mode dust,5.000,1800.000,1446.350,19.880,22.310,130.000,771.000,1.446,0.022,0.066,0.046,1.513,1.380,1.485,1.408,-0.196,8.000,20.000,14.000
mode dust,5.000,2200.000,1872.800,24.690,29.850,130.000,800.000,1.873,0.016,0.047,0.025,1.920,1.825,1.894,1.842,-0.149,0.000,20.000,14.000
mode dust,5.000,2800.000,2439.400,27.530,31.820,130.000,925.000,2.439,0.024,0.073,0.030,2.512,2.366,2.484,2.393,-0.129,0.000,20.000,14.000
mode dust,5.000,3200.000,2787.750,30.840,35.760,130.000,954.000,2.788,0.029,0.086,0.031,2.874,2.702,2.854,2.742,-0.129,0.000,20.000,14.000
mode dust,5.000,3300.000,2883.300,31.910,37.200,130.000,960.000,2.883,0.028,0.085,0.029,2.968,2.798,2.926,2.821,-0.126,0.000,20.000,15.000
mode dust,5.000,3700.000,3299.000,35.950,40.080,130.000,990.000,3.299,0.033,0.099,0.030,3.398,3.200,3.362,3.243,-0.108,0.000,20.000,14.000
mode highEnergy,5.000,800.000,303.500,6.950,13.710,130.000,530.000,0.303,0.016,0.048,0.157,0.351,0.256,0.327,0.275,-0.621,20.000,20.000,14.000
mode highEnergy,5.000,800.000,331.400,7.380,13.710,130.000,533.000,0.331,0.018,0.053,0.160,0.384,0.278,0.360,0.300,-0.586,20.000,20.000,14.000
mode highEnergy,5.000,800.000,1226.250,19.820,13.710,130.000,583.000,1.226,0.040,0.120,0.098,1.346,1.107,1.289,1.123,0.533,20.000,20.000,14.000
mode highEnergy,5.000,800.000,746.500,13.060,13.710,130.000,559.000,0.746,0.027,0.080,0.107,0.827,0.666,0.803,0.697,-0.067,0.000,20.000,14.000
mode highEnergy,5.000,1200.000,670.800,12.180,23.270,130.000,555.000,0.671,0.034,0.103,0.154,0.774,0.568,0.719,0.598,-0.441,20.000,20.000,14.000
mode highEnergy,5.000,1200.000,737.700,13.000,23.270,130.000,558.000,0.738,0.034,0.102,0.138,0.840,0.636,0.791,0.655,-0.385,20.000,20.000,14.000
mode highEnergy,5.000,1200.000,1152.700,18.750,23.270,130.000,579.000,1.153,0.044,0.132,0.114,1.285,1.021,1.215,1.049,-0.039,0.000,20.000,14.000
mode highEnergy,5.000,1800.000,1413.900,22.650,28.840,130.000,590.000,1.414,0.034,0.101,0.071,1.515,1.313,1.480,1.317,-0.215,18.000,20.000,15.000
mode highEnergy,5.000,1800.000,1472.050,23.380,28.840,130.000,593.000,1.472,0.035,0.104,0.071,1.576,1.368,1.542,1.386,-0.182,2.000,20.000,13.000
mode highEnergy,5.000,2200.000,1792.000,27.970,36.840,130.000,610.000,1.792,0.034,0.101,0.056,1.893,1.691,1.860,1.743,-0.185,4.000,20.000,14.000
mode highEnergy,5.000,2800.000,2448.450,38.200,41.330,130.000,620.000,2.448,0.042,0.127,0.052,2.575,2.321,2.509,2.333,-0.126,0.000,20.000,15.000
mode highEnergy,5.000,3200.000,2848.350,43.640,48.330,130.000,640.000,2.848,0.028,0.085,0.030,2.933,2.763,2.896,2.787,-0.110,0.000,20.000,14.000
mode highEnergy,5.000,3300.000,2995.000,45.730,49.420,130.000,648.000,2.995,0.027,0.082,0.027,3.077,2.913,3.042,2.935,-0.092,0.000,20.000,15.000
mode highEnergy,5.000,3700.000,3384.850,51.000,52.580,130.000,670.000,3.385,0.018,0.055,0.016,3.440,3.330,3.421,3.352,-0.085,0.000,20.000,14.000
