Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode longSmall,0,5.000,200.000,172.000,-14.100,18.220,26.140,130.000,317.000,0.172,0.007,0.020,0.117,0.192,0.152,0.180,0.160,-14.100,0.000,20.000,15.000,1.000
mode longSmall,0,5.000,400.000,330.000,-17.500,30.930,41.130,130.000,341.000,0.330,0.006,0.017,0.052,0.347,0.313,0.340,0.318,-17.500,1.000,20.000,14.000,1.000
mode longSmall,0,5.000,600.000,605.000,0.800,52.620,58.260,130.000,375.000,0.605,0.011,0.032,0.054,0.637,0.572,0.625,0.583,0.800,0.000,20.000,14.000,0.000
mode longSmall,0,10.000,200.000,238.000,19.100,20.110,24.870,130.000,258.000,0.238,0.013,0.040,0.170,0.279,0.198,0.272,0.214,19.100,11.000,20.000,27.000,1.000
mode longSmall,0,10.000,400.000,408.000,2.000,32.140,39.850,130.000,268.000,0.408,0.020,0.060,0.146,0.468,0.349,0.464,0.382,2.000,0.000,20.000,27.000,0.000
mode longSmall,0,10.000,600.000,597.000,-0.500,45.790,59.410,130.000,277.000,0.597,0.024,0.073,0.122,0.670,0.524,0.640,0.560,-0.500,0.000,20.000,27.000,0.000
mode longSmall,0,15.000,200.000,190.000,-5.100,16.930,24.580,130.000,236.000,0.190,0.004,0.012,0.063,0.202,0.178,0.195,0.180,-5.100,0.000,20.000,39.000,1.000
mode longSmall,0,15.000,400.000,357.000,-10.600,29.490,41.320,130.000,248.000,0.357,0.005,0.016,0.044,0.373,0.342,0.365,0.345,-10.600,0.000,20.000,39.000,1.000
mode longSmall,0,15.000,600.000,530.000,-11.600,42.350,55.410,130.000,261.000,0.530,0.006,0.019,0.036,0.549,0.511,0.538,0.516,-11.600,0.000,20.000,39.000,1.000
mode longSmall,0,20.000,200.000,186.000,-6.800,17.220,22.560,130.000,239.000,0.186,0.003,0.008,0.040,0.194,0.179,0.191,0.183,-6.800,0.000,20.000,50.000,1.000
mode longSmall,0,20.000,400.000,340.000,-14.900,28.890,41.320,130.000,251.000,0.340,0.007,0.022,0.065,0.363,0.318,0.360,0.327,-14.900,0.000,20.000,51.000,1.000
mode longSmall,0,20.000,600.000,543.000,-9.500,44.480,55.410,130.000,264.000,0.543,0.006,0.017,0.031,0.560,0.526,0.553,0.528,-9.500,0.000,20.000,50.000,1.000
mode longMedium,0,5.000,800.000,836.000,4.500,18.880,20.000,130.000,430.000,0.836,0.013,0.040,0.048,0.876,0.796,0.863,0.816,4.500,0.000,20.000,15.000,0.000
mode longMedium,0,5.000,1500.000,1418.000,-5.500,28.560,31.470,130.000,456.000,1.418,0.055,0.164,0.116,1.582,1.254,1.495,1.314,-5.500,0.000,20.000,14.000,1.000
mode longMedium,0,5.000,2000.000,2071.000,3.500,39.670,39.210,130.000,473.000,2.071,0.076,0.227,0.110,2.298,1.844,2.174,1.907,3.500,0.000,20.000,15.000,0.000
mode longMedium,0,8.000,800.000,753.000,-5.900,15.890,20.250,130.000,336.000,0.753,0.034,0.101,0.134,0.854,0.652,0.811,0.684,-5.900,0.000,20.000,22.000,1.000
mode longMedium,0,8.000,1500.000,1234.000,-17.800,25.090,31.680,130.000,356.000,1.234,0.040,0.119,0.096,1.352,1.115,1.334,1.183,-17.800,5.000,20.000,22.000,1.000
mode longMedium,0,8.000,2000.000,1757.000,-12.200,34.270,40.640,130.000,378.000,1.757,0.025,0.074,0.042,1.830,1.683,1.805,1.711,-12.200,0.000,20.000,22.000,1.000
mode longMedium,0,10.000,800.000,655.000,-18.100,14.090,20.870,130.000,306.000,0.655,0.028,0.084,0.129,0.740,0.571,0.712,0.598,-18.100,5.000,20.000,27.000,1.000
mode longMedium,0,10.000,1500.000,1360.000,-9.300,27.290,32.110,130.000,345.000,1.360,0.008,0.023,0.017,1.383,1.337,1.374,1.341,-9.300,0.000,20.000,27.000,1.000
mode longMedium,0,10.000,2000.000,1837.000,-8.200,36.500,41.450,130.000,372.000,1.837,0.015,0.044,0.024,1.881,1.792,1.867,1.805,-8.200,0.000,20.000,27.000,1.000
mode longMedium,0,18.000,800.000,728.000,-9.000,16.250,19.990,130.000,303.000,0.728,0.010,0.031,0.043,0.759,0.697,0.751,0.709,-9.000,0.000,20.000,46.000,1.000
mode longMedium,0,18.000,1500.000,1430.000,-4.700,29.230,30.100,130.000,343.000,1.430,0.027,0.081,0.057,1.511,1.349,1.490,1.398,-4.700,0.000,11.000,17.000,0.000
mode longMedium,0,18.000,2000.000,2078.000,3.900,40.860,35.590,130.000,379.000,2.078,0.045,0.135,0.065,2.213,1.942,2.162,2.031,3.900,0.000,11.000,17.000,0.000
mode longLarge,0,5.000,2500.000,2096.000,-16.200,39.000,47.420,130.000,548.000,2.096,0.087,0.262,0.125,2.357,1.834,2.197,1.864,-16.200,2.000,20.000,15.000,1.000
mode longLarge,0,5.000,3000.000,2522.000,-15.900,46.060,56.150,130.000,565.000,2.522,0.062,0.187,0.074,2.709,2.335,2.643,2.437,-15.900,0.000,20.000,14.000,1.000
mode longLarge,0,5.000,3500.000,3017.000,-13.800,54.390,61.410,130.000,585.000,3.017,0.075,0.224,0.074,3.241,2.794,3.176,2.883,-13.800,0.000,20.000,14.000,1.000
mode longLarge,0,7.000,2500.000,2259.000,-9.700,42.120,47.900,130.000,485.000,2.259,0.023,0.069,0.030,2.327,2.190,2.311,2.226,-9.700,0.000,20.000,20.000,1.000
mode longLarge,0,7.000,3000.000,2758.000,-8.100,50.980,55.180,130.000,512.000,2.758,0.014,0.042,0.015,2.799,2.716,2.787,2.737,-8.100,0.000,20.000,19.000,1.000
mode longLarge,0,7.000,3500.000,3139.000,-10.300,57.550,62.180,130.000,535.000,3.139,0.012,0.036,0.011,3.175,3.103,3.166,3.121,-10.300,0.000,20.000,19.000,1.000
mode longLarge,0,9.000,2500.000,2213.000,-11.500,42.680,59.160,130.000,468.000,2.213,0.013,0.039,0.018,2.252,2.174,2.241,2.189,-11.500,0.000,20.000,25.000,1.000
