Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode longMedium,2,8.000,1000.000,1013.000,1.300,20.740,20.730,130.000,346.000,1.013,0.021,0.062,0.061,1.074,0.951,1.071,0.957,1.300,0.000,100.000,34.000,0.000
mode longMedium,3,5.000,1000.000,1067.000,6.700,21.390,21.370,130.000,438.000,1.067,0.025,0.074,0.069,1.141,0.993,1.155,1.017,6.700,0.000,100.000,22.000,1.000
mode longMedium,3,6.000,1000.000,1049.000,4.900,21.020,21.020,130.000,398.000,1.049,0.048,0.143,0.137,1.193,0.906,1.210,0.932,4.900,1.000,100.000,26.000,0.000
mode longMedium,3,8.000,1000.000,1012.000,1.200,20.740,20.730,130.000,346.000,1.012,0.010,0.031,0.031,1.043,0.981,1.041,0.984,1.200,0.000,100.000,34.000,0.000
mode longMedium,0,10.000,1000.000,1011.000,1.100,21.540,21.530,130.000,438.000,1.011,0.056,0.167,0.165,1.178,0.844,1.163,0.917,1.100,0.000,100.000,41.000,0.000
mode longMedium,3,10.000,1000.000,1066.000,6.600,21.520,21.530,130.000,438.000,1.066,0.036,0.107,0.100,1.173,0.959,1.165,0.994,6.600,0.000,100.000,42.000,1.000
mode longMedium,0,15.000,1000.000,1028.000,2.800,21.460,21.480,130.000,438.000,1.028,0.050,0.149,0.145,1.177,0.879,1.123,0.940,2.800,0.000,100.000,62.000,0.000
mode longMedium,3,15.000,1000.000,1046.000,4.600,21.520,21.480,130.000,438.000,1.046,0.045,0.135,0.129,1.180,0.911,1.155,0.937,4.600,0.000,100.000,58.000,0.000
mode longMedium,0,20.000,1000.000,1040.000,4.000,21.480,21.470,130.000,438.000,1.040,0.047,0.140,0.135,1.180,0.900,1.146,0.925,4.000,0.000,100.000,75.000,0.000
mode longMedium,0,25.000,1000.000,1016.000,1.600,21.070,20.940,130.000,389.000,1.016,0.059,0.177,0.175,1.194,0.839,1.153,0.776,1.600,1.000,100.000,98.000,0.000
mode longMedium,0,30.000,1000.000,993.000,-0.700,20.890,20.860,130.000,356.000,0.993,0.026,0.077,0.078,1.071,0.916,1.056,0.922,-0.700,0.000,100.000,120.000,0.000
mode longMedium,0,35.000,1000.000,987.000,-1.300,20.720,20.720,130.000,335.000,0.987,0.026,0.079,0.080,1.066,0.908,1.046,0.930,-1.300,0.000,100.000,137.000,0.000
