Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode large,0,5.000,2500.000,2438.000,-2.500,47.740,47.760,130.000,477.000,2.438,0.060,0.181,0.074,2.619,2.257,2.581,2.301,-2.500,0.000,100.000,22.000,0.000
mode large,0,6.000,2500.000,2446.000,-2.200,47.720,47.740,130.000,440.000,2.446,0.045,0.135,0.055,2.581,2.310,2.573,2.306,-2.200,0.000,100.000,25.000,0.000
mode large,0,8.000,2500.000,2454.000,-1.900,48.440,48.470,130.000,403.000,2.454,0.038,0.114,0.047,2.568,2.339,2.526,2.373,-1.900,0.000,100.000,34.000,0.000
mode large,1,5.000,2500.000,2483.000,-0.700,47.770,47.760,130.000,477.000,2.483,0.039,0.118,0.048,2.601,2.365,2.573,2.380,-0.700,0.000,100.000,22.000,0.000
mode large,1,6.000,2500.000,2484.000,-0.600,47.740,47.740,130.000,440.000,2.484,0.020,0.061,0.025,2.545,2.422,2.534,2.435,-0.600,0.000,100.000,26.000,0.000
mode large,1,8.000,2500.000,2518.000,0.700,48.440,48.470,130.000,403.000,2.518,0.015,0.045,0.018,2.563,2.473,2.556,2.487,0.700,0.000,100.000,34.000,0.000
mode large,2,5.000,2500.000,2548.000,1.900,47.740,47.760,130.000,477.000,2.548,0.032,0.096,0.038,2.645,2.452,2.626,2.487,1.900,0.000,100.000,22.000,0.000
mode large,2,6.000,2500.000,2587.000,3.500,47.740,47.740,130.000,440.000,2.587,0.020,0.061,0.023,2.647,2.526,2.628,2.546,3.500,0.000,100.000,26.000,0.000
mode large,2,8.000,2500.000,2630.000,5.200,48.450,48.470,130.000,403.000,2.630,0.013,0.038,0.014,2.668,2.592,2.655,2.603,5.200,0.000,100.000,34.000,1.000
mode large,3,5.000,2500.000,2548.000,1.900,47.730,47.760,130.000,477.000,2.548,0.041,0.122,0.048,2.670,2.427,2.633,2.447,1.900,0.000,100.000,22.000,0.000
mode large,3,6.000,2500.000,2536.000,1.400,47.730,47.740,130.000,440.000,2.536,0.020,0.059,0.023,2.595,2.476,2.583,2.492,1.400,0.000,100.000,26.000,0.000
mode large,3,8.000,2500.000,2565.000,2.600,48.450,48.470,130.000,403.000,2.565,0.021,0.064,0.025,2.630,2.501,2.621,2.521,2.600,0.000,100.000,34.000,0.000
mode large,0,10.000,2500.000,2460.000,-1.600,47.750,47.760,130.000,477.000,2.460,0.051,0.154,0.063,2.614,2.305,2.616,2.276,-1.600,0.000,100.000,42.000,0.000
mode large,3,10.000,2500.000,2539.000,1.600,47.750,47.760,130.000,477.000,2.539,0.035,0.104,0.041,2.644,2.435,2.611,2.420,1.600,0.000,100.000,41.000,0.000
mode large,0,15.000,2500.000,2465.000,-1.400,47.760,47.760,130.000,477.000,2.465,0.054,0.162,0.066,2.626,2.303,2.613,2.350,-1.400,0.000,100.000,59.000,0.000
mode large,3,15.000,2500.000,2494.000,-0.200,47.780,47.760,130.000,477.000,2.494,0.038,0.114,0.046,2.609,2.380,2.581,2.412,-0.200,0.000,100.000,51.000,0.000
mode large,0,20.000,2500.000,2465.000,-1.400,47.820,47.760,130.000,477.000,2.465,0.059,0.176,0.071,2.641,2.290,2.578,2.259,-1.400,0.000,100.000,80.000,0.000
mode large,0,25.000,2500.000,2454.000,-1.800,47.770,47.770,130.000,432.000,2.454,0.051,0.152,0.062,2.606,2.302,2.551,2.321,-1.800,0.000,100.000,100.000,0.000
mode large,0,30.000,2500.000,2470.000,-1.200,48.170,48.190,130.000,408.000,2.470,0.063,0.190,0.077,2.660,2.280,2.581,2.338,-1.200,0.000,100.000,121.000,0.000
mode large,0,35.000,2500.000,2496.000,-0.200,49.110,49.000,130.000,403.000,2.496,0.066,0.197,0.079,2.692,2.299,2.628,2.363,-0.200,0.000,100.000,137.000,0.000
mode large,0,40.000,2500.000,2551.000,2.100,50.420,50.220,130.000,418.000,2.551,0.081,0.243,0.095,2.795,2.308,2.697,2.393,2.100,0.000,100.000,158.000,0.000
mode large,0,5.000,3000.000,2941.000,-2.000,56.290,56.320,130.000,495.000,2.941,0.052,0.157,0.053,3.098,2.784,3.059,2.792,-2.000,0.000,100.000,22.000,0.000
mode large,0,6.000,3000.000,2999.000,-0.000,56.380,56.380,130.000,461.000,2.999,0.024,0.073,0.024,3.072,2.926,3.052,2.926,-0.000,0.000,100.000,26.000,0.000
mode large,0,8.000,3000.000,2984.000,-0.500,57.480,57.510,130.000,428.000,2.984,0.031,0.094,0.031,3.077,2.890,3.074,2.921,-0.500,0.000,100.000,34.000,0.000
mode large,1,5.000,3000.000,3000.000,0.000,56.320,56.320,130.000,495.000,3.000,0.026,0.078,0.026,3.078,2.922,3.072,2.945,0.000,0.000,100.000,22.000,0.000
mode large,1,6.000,3000.000,3005.000,0.200,56.390,56.380,130.000,461.000,3.005,0.026,0.077,0.026,3.082,2.928,3.064,2.953,0.200,0.000,100.000,26.000,0.000
mode large,1,8.000,3000.000,3042.000,1.400,57.500,57.510,130.000,428.000,3.042,0.018,0.055,0.018,3.097,2.987,3.087,2.992,1.400,0.000,100.000,33.000,0.000
mode large,2,5.000,3000.000,3090.000,3.000,56.290,56.320,130.000,495.000,3.090,0.022,0.067,0.022,3.157,3.022,3.141,3.035,3.000,0.000,100.000,22.000,0.000
mode large,2,6.000,3000.000,3120.000,4.000,56.380,56.380,130.000,461.000,3.120,0.018,0.055,0.018,3.175,3.065,3.156,3.067,4.000,0.000,100.000,26.000,0.000
mode large,2,8.000,3000.000,3173.000,5.800,57.500,57.510,130.000,428.000,3.173,0.017,0.051,0.016,3.224,3.122,3.211,3.114,5.800,0.000,100.000,34.000,1.000
mode large,3,5.000,3000.000,3056.000,1.900,56.310,56.320,130.000,495.000,3.056,0.020,0.059,0.019,3.116,2.997,3.104,3.012,1.900,0.000,100.000,22.000,0.000
mode large,3,6.000,3000.000,3076.000,2.500,56.380,56.380,130.000,461.000,3.076,0.018,0.055,0.018,3.131,3.021,3.116,3.017,2.500,0.000,100.000,26.000,0.000
mode large,3,8.000,3000.000,3127.000,4.200,57.500,57.510,130.000,428.000,3.127,0.016,0.048,0.015,3.175,3.079,3.164,3.092,4.200,0.000,100.000,34.000,0.000
mode large,0,10.000,3000.000,2928.000,-2.400,56.350,56.320,130.000,495.000,2.928,0.027,0.080,0.027,3.008,2.847,2.990,2.829,-2.400,0.000,100.000,42.000,0.000
mode large,3,10.000,3000.000,3023.000,0.800,56.340,56.320,130.000,495.000,3.023,0.027,0.082,0.027,3.105,2.942,3.097,2.918,0.800,0.000,100.000,41.000,0.000
mode large,0,15.000,3000.000,2953.000,-1.600,56.320,56.320,130.000,495.000,2.953,0.061,0.182,0.062,3.135,2.771,3.072,2.759,-1.600,0.000,100.000,60.000,0.000
mode large,3,15.000,3000.000,2985.000,-0.500,56.380,56.320,130.000,495.000,2.985,0.044,0.131,0.044,3.116,2.854,3.062,2.881,-0.500,0.000,100.000,61.000,0.000
mode large,0,20.000,3000.000,2933.000,-2.200,56.370,56.320,130.000,495.000,2.933,0.060,0.180,0.061,3.112,2.753,3.064,2.750,-2.200,0.000,100.000,81.000,0.000
mode large,0,25.000,3000.000,2949.000,-1.700,56.500,56.450,130.000,454.000,2.949,0.061,0.184,0.062,3.132,2.765,3.049,2.829,-1.700,0.000,100.000,95.000,0.000
mode large,0,30.000,3000.000,2963.000,-1.200,57.140,57.100,130.000,432.000,2.963,0.071,0.214,0.072,3.176,2.749,3.077,2.811,-1.200,0.000,100.000,120.000,0.000
mode large,0,5.000,3500.000,3468.000,-0.900,64.870,64.910,130.000,514.000,3.468,0.053,0.159,0.046,3.627,3.309,3.612,3.349,-0.900,0.000,100.000,22.000,0.000
mode large,0,6.000,3500.000,3479.000,-0.600,64.930,64.930,130.000,484.000,3.479,0.031,0.092,0.026,3.571,3.387,3.550,3.406,-0.600,0.000,100.000,26.000,0.000
mode large,0,8.000,3500.000,3464.000,-1.000,66.220,66.230,130.000,454.000,3.464,0.028,0.083,0.024,3.547,3.381,3.525,3.384,-1.000,0.000,100.000,34.000,0.000
mode large,1,5.000,3500.000,3519.000,0.600,64.920,64.910,130.000,514.000,3.519,0.027,0.081,0.023,3.601,3.438,3.590,3.463,0.600,0.000,100.000,22.000,0.000
mode large,1,6.000,3500.000,3506.000,0.200,64.950,64.930,130.000,484.000,3.506,0.031,0.092,0.026,3.598,3.415,3.573,3.431,0.200,0.000,100.000,26.000,0.000
mode large,1,8.000,3500.000,3557.000,1.600,66.220,66.230,130.000,454.000,3.557,0.020,0.061,0.017,3.618,3.496,3.610,3.493,1.600,0.000,100.000,34.000,0.000
mode large,2,5.000,3500.000,3670.000,4.900,64.890,64.910,130.000,514.000,3.670,0.022,0.067,0.018,3.737,3.603,3.741,3.607,4.900,0.000,100.000,22.000,0.000
mode large,2,6.000,3500.000,3682.000,5.200,64.940,64.930,130.000,484.000,3.682,0.016,0.049,0.013,3.731,3.632,3.729,3.644,5.200,0.000,100.000,26.000,1.000
mode large,2,8.000,3500.000,3757.000,7.300,66.230,66.230,130.000,454.000,3.757,0.016,0.048,0.013,3.805,3.709,3.793,3.719,7.300,0.000,100.000,34.000,1.000
mode large,3,5.000,3500.000,3611.000,3.200,64.890,64.910,130.000,514.000,3.611,0.023,0.068,0.019,3.679,3.543,3.677,3.548,3.200,0.000,100.000,22.000,0.000
mode large,3,6.000,3500.000,3623.000,3.500,64.930,64.930,130.000,484.000,3.623,0.023,0.069,0.019,3.692,3.554,3.704,3.582,3.500,0.000,100.000,26.000,0.000
mode large,3,8.000,3500.000,3664.000,4.700,66.220,66.230,130.000,454.000,3.664,0.013,0.039,0.011,3.703,3.625,3.699,3.635,4.700,0.000,100.000,34.000,0.000
mode large,0,10.000,3500.000,3450.000,-1.400,64.900,64.910,130.000,514.000,3.450,0.045,0.134,0.039,3.584,3.317,3.543,3.305,-1.400,0.000,100.000,42.000,0.000
mode large,3,10.000,3500.000,3571.000,2.000,64.890,64.910,130.000,514.000,3.571,0.034,0.103,0.029,3.674,3.468,3.644,3.506,2.000,0.000,100.000,42.000,0.000
mode large,0,15.000,3500.000,3477.000,-0.700,64.950,64.910,130.000,514.000,3.477,0.081,0.242,0.070,3.719,3.235,3.622,3.290,-0.700,0.000,100.000,61.000,0.000
mode large,3,15.000,3500.000,3495.000,-0.100,64.960,64.910,130.000,514.000,3.495,0.063,0.188,0.054,3.683,3.308,3.607,3.367,-0.100,0.000,100.000,62.000,0.000
mode large,0,20.000,3500.000,3463.000,-1.100,64.960,64.910,130.000,514.000,3.463,0.073,0.219,0.063,3.682,3.244,3.590,3.258,-1.100,0.000,100.000,73.000,0.000
mode large,0,25.000,3500.000,3434.000,-1.900,65.080,65.000,130.000,478.000,3.434,0.080,0.240,0.070,3.674,3.194,3.568,3.283,-1.900,0.000,100.000,99.000,0.000
