Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode medium,0,5.000,800.000,821.000,2.600,18.380,18.440,130.000,365.000,0.821,0.022,0.067,0.081,0.888,0.755,0.880,0.766,2.600,0.000,100.000,22.000,0.000
mode medium,0,6.000,800.000,816.000,2.000,17.580,17.610,130.000,333.000,0.816,0.059,0.177,0.217,0.993,0.639,1.024,0.709,2.000,2.000,100.000,25.000,0.000
mode medium,0,8.000,800.000,774.000,-3.300,16.780,16.780,130.000,291.000,0.774,0.022,0.066,0.086,0.840,0.708,0.816,0.707,-3.300,0.000,100.000,34.000,0.000
mode medium,1,5.000,800.000,833.000,4.100,18.450,18.440,130.000,365.000,0.833,0.019,0.057,0.069,0.890,0.776,0.883,0.791,4.100,0.000,100.000,22.000,0.000
mode medium,1,6.000,800.000,824.000,3.100,17.600,17.610,130.000,333.000,0.824,0.056,0.169,0.205,0.993,0.655,1.009,0.662,3.100,1.000,100.000,26.000,0.000
mode medium,1,8.000,800.000,787.000,-1.700,16.790,16.780,130.000,291.000,0.787,0.025,0.074,0.094,0.860,0.713,0.851,0.722,-1.700,0.000,100.000,34.000,0.000
mode medium,2,5.000,800.000,896.000,12.000,18.410,18.440,130.000,365.000,0.896,0.036,0.108,0.121,1.004,0.788,1.014,0.838,12.000,6.000,100.000,22.000,1.000
mode medium,2,6.000,800.000,852.000,6.500,17.600,17.610,130.000,333.000,0.852,0.040,0.119,0.139,0.971,0.733,0.945,0.684,6.500,0.000,100.000,26.000,1.000
mode medium,2,8.000,800.000,807.000,0.800,16.770,16.780,130.000,291.000,0.807,0.018,0.053,0.065,0.859,0.754,0.851,0.771,0.800,0.000,100.000,34.000,0.000
mode medium,3,5.000,800.000,868.000,8.500,18.390,18.440,130.000,365.000,0.868,0.013,0.040,0.046,0.908,0.828,0.903,0.836,8.500,0.000,100.000,22.000,1.000
mode medium,3,6.000,800.000,858.000,7.200,17.610,17.610,130.000,333.000,0.858,0.029,0.086,0.100,0.944,0.772,0.922,0.798,7.200,0.000,100.000,26.000,1.000
mode medium,3,8.000,800.000,794.000,-0.700,16.770,16.780,130.000,291.000,0.794,0.019,0.056,0.070,0.850,0.739,0.848,0.749,-0.700,0.000,100.000,34.000,0.000
mode medium,0,10.000,800.000,825.000,3.100,18.440,18.440,130.000,365.000,0.825,0.023,0.068,0.082,0.892,0.757,0.880,0.771,3.100,0.000,100.000,42.000,0.000
mode medium,3,10.000,800.000,873.000,9.100,18.360,18.440,130.000,365.000,0.873,0.026,0.079,0.091,0.952,0.793,0.982,0.823,9.100,1.000,100.000,42.000,1.000
mode medium,0,15.000,800.000,842.000,5.200,18.430,18.440,130.000,365.000,0.842,0.035,0.106,0.126,0.948,0.736,0.977,0.784,5.200,1.000,100.000,61.000,1.000
mode medium,3,15.000,800.000,854.000,6.800,18.420,18.440,130.000,365.000,0.854,0.034,0.101,0.118,0.955,0.754,0.945,0.791,6.800,0.000,100.000,61.000,1.000
mode medium,0,20.000,800.000,844.000,5.500,18.460,18.440,130.000,365.000,0.844,0.037,0.112,0.133,0.956,0.732,0.937,0.774,5.500,0.000,100.000,81.000,1.000
mode medium,0,25.000,800.000,823.000,2.900,17.480,17.440,130.000,326.000,0.823,0.060,0.180,0.218,1.003,0.644,0.965,0.647,2.900,1.000,100.000,100.000,0.000
mode medium,0,30.000,800.000,796.000,-0.500,16.930,16.900,130.000,299.000,0.796,0.032,0.097,0.122,0.893,0.698,0.851,0.679,-0.500,0.000,100.000,121.000,0.000
mode medium,0,35.000,800.000,780.000,-2.400,16.700,16.700,130.000,282.000,0.780,0.022,0.067,0.086,0.848,0.713,0.836,0.697,-2.400,0.000,100.000,137.000,0.000
mode medium,0,40.000,800.000,783.000,-2.100,16.770,16.780,130.000,271.000,0.783,0.018,0.054,0.069,0.837,0.729,0.846,0.744,-2.100,0.000,100.000,157.000,0.000
mode medium,0,50.000,800.000,808.000,1.000,17.360,17.370,130.000,267.000,0.808,0.020,0.060,0.075,0.869,0.748,0.846,0.761,1.000,0.000,100.000,196.000,0.000
mode medium,0,60.000,800.000,830.000,3.800,17.930,17.930,130.000,271.000,0.830,0.027,0.081,0.098,0.911,0.749,0.885,0.744,3.800,0.000,100.000,231.000,0.000
mode medium,0,70.000,800.000,813.000,1.600,17.740,17.750,130.000,268.000,0.813,0.030,0.091,0.112,0.904,0.722,0.878,0.734,1.600,0.000,100.000,279.000,0.000
mode medium,0,5.000,1000.000,993.000,-0.700,21.870,21.860,130.000,376.000,0.993,0.027,0.081,0.081,1.074,0.912,1.071,0.935,-0.700,0.000,100.000,22.000,0.000
