Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode small,0,5.000,200.000,187.000,-6.700,19.290,19.400,130.000,287.000,0.187,0.003,0.008,0.043,0.195,0.179,0.194,0.181,-6.700,0.000,100.000,22.000,1.000
mode small,0,6.000,200.000,189.000,-5.400,18.480,18.500,130.000,271.000,0.189,0.014,0.043,0.227,0.232,0.146,0.229,0.170,-5.400,0.000,100.000,26.000,1.000
mode small,0,8.000,200.000,194.000,-2.900,17.570,17.580,130.000,247.000,0.194,0.019,0.057,0.294,0.251,0.137,0.246,0.158,-2.900,3.000,100.000,34.000,0.000
mode small,1,5.000,200.000,191.000,-4.400,19.290,19.400,130.000,287.000,0.191,0.002,0.007,0.038,0.199,0.184,0.197,0.185,-4.400,0.000,100.000,22.000,0.000
mode small,1,6.000,200.000,189.000,-5.300,18.480,18.500,130.000,271.000,0.189,0.007,0.021,0.112,0.211,0.168,0.208,0.174,-5.300,0.000,100.000,26.000,1.000
mode small,1,8.000,200.000,195.000,-2.300,17.550,17.580,130.000,247.000,0.195,0.008,0.023,0.118,0.218,0.172,0.219,0.173,-2.300,0.000,100.000,34.000,0.000
mode small,2,5.000,200.000,208.000,4.200,19.280,19.400,130.000,287.000,0.208,0.004,0.013,0.063,0.222,0.195,0.218,0.198,4.200,0.000,100.000,22.000,0.000
mode small,2,6.000,200.000,217.000,8.400,18.520,18.500,130.000,271.000,0.217,0.009,0.027,0.122,0.243,0.190,0.240,0.185,8.400,0.000,100.000,26.000,1.000
mode small,2,8.000,200.000,205.000,2.700,17.470,17.580,130.000,247.000,0.205,0.012,0.037,0.183,0.243,0.168,0.228,0.164,2.700,0.000,100.000,34.000,0.000
mode small,3,5.000,200.000,210.000,5.000,19.260,19.400,130.000,287.000,0.210,0.002,0.005,0.025,0.215,0.205,0.214,0.205,5.000,0.000,100.000,22.000,0.000
mode small,3,6.000,200.000,206.000,3.000,18.520,18.500,130.000,271.000,0.206,0.012,0.035,0.168,0.241,0.171,0.232,0.178,3.000,0.000,100.000,26.000,0.000
mode small,3,8.000,200.000,204.000,2.100,17.600,17.580,130.000,247.000,0.204,0.013,0.039,0.190,0.243,0.165,0.229,0.168,2.100,0.000,100.000,34.000,0.000
mode small,0,10.000,200.000,190.000,-4.800,19.330,19.500,130.000,287.000,0.190,0.005,0.014,0.072,0.204,0.177,0.205,0.179,-4.800,0.000,100.000,42.000,0.000
mode small,3,10.000,200.000,209.000,4.600,19.330,19.500,130.000,287.000,0.209,0.004,0.013,0.060,0.222,0.196,0.220,0.198,4.600,0.000,100.000,42.000,0.000
mode small,0,15.000,200.000,195.000,-2.500,19.220,19.350,130.000,287.000,0.195,0.010,0.031,0.159,0.226,0.164,0.217,0.175,-2.500,0.000,100.000,61.000,0.000
mode small,3,15.000,200.000,203.000,1.700,19.260,19.350,130.000,287.000,0.203,0.008,0.024,0.118,0.227,0.179,0.221,0.186,1.700,0.000,100.000,62.000,0.000
mode small,0,20.000,200.000,199.000,-0.400,19.320,19.470,130.000,287.000,0.199,0.010,0.031,0.154,0.230,0.169,0.218,0.180,-0.400,0.000,100.000,81.000,0.000
mode small,0,25.000,200.000,202.000,0.800,18.390,18.300,130.000,268.000,0.202,0.013,0.039,0.192,0.240,0.163,0.229,0.154,0.800,1.000,100.000,100.000,0.000
mode small,0,30.000,200.000,205.000,2.600,17.910,17.940,130.000,252.000,0.205,0.023,0.068,0.330,0.273,0.138,0.249,0.136,2.600,6.000,100.000,121.000,0.000
mode small,0,35.000,200.000,203.000,1.400,17.620,17.760,130.000,240.000,0.203,0.025,0.075,0.371,0.278,0.128,0.275,0.136,1.400,10.000,100.000,137.000,0.000
mode small,0,40.000,200.000,200.000,-0.200,17.810,17.910,130.000,231.000,0.200,0.014,0.042,0.210,0.241,0.158,0.238,0.147,-0.200,1.000,100.000,157.000,0.000
mode small,0,50.000,200.000,200.000,-0.200,17.860,17.920,130.000,221.000,0.200,0.005,0.014,0.069,0.213,0.186,0.212,0.189,-0.200,0.000,100.000,197.000,0.000
mode small,0,60.000,200.000,199.000,-0.400,17.990,18.020,130.000,217.000,0.199,0.008,0.023,0.114,0.222,0.177,0.216,0.177,-0.400,0.000,100.000,230.000,0.000
mode small,0,70.000,200.000,200.000,0.200,18.200,18.250,130.000,218.000,0.200,0.013,0.038,0.189,0.238,0.162,0.218,0.165,0.200,0.000,100.000,278.000,0.000
mode small,0,80.000,200.000,200.000,-0.000,18.280,18.310,130.000,221.000,0.200,0.016,0.048,0.239,0.248,0.152,0.233,0.165,-0.000,0.000,100.000,323.000,0.000
mode small,0,5.000,300.000,298.000,-0.600,27.840,27.880,130.000,302.000,0.298,0.007,0.022,0.075,0.321,0.276,0.313,0.281,-0.600,0.000,100.000,22.000,0.000
mode small,0,6.000,300.000,275.000,-8.400,26.120,26.080,130.000,283.000,0.275,0.015,0.044,0.161,0.319,0.231,0.316,0.250,-8.400,0.000,100.000,26.000,1.000
mode small,0,8.000,300.000,287.000,-4.400,24.790,24.870,130.000,254.000,0.287,0.042,0.125,0.436,0.412,0.162,0.389,0.208,-4.400,22.000,100.000,34.000,0.000
mode small,1,5.000,300.000,289.000,-3.600,27.870,27.880,130.000,302.000,0.289,0.005,0.015,0.050,0.304,0.275,0.304,0.278,-3.600,0.000,100.000,22.000,0.000
mode small,1,6.000,300.000,304.000,1.400,26.080,26.080,130.000,283.000,0.304,0.012,0.036,0.119,0.340,0.268,0.339,0.272,1.400,0.000,100.000,26.000,0.000
mode small,1,8.000,300.000,302.000,0.600,24.950,24.870,130.000,254.000,0.302,0.034,0.101,0.334,0.402,0.201,0.391,0.224,0.600,9.000,100.000,34.000,0.000
mode small,2,5.000,300.000,308.000,2.700,27.790,27.880,130.000,302.000,0.308,0.008,0.024,0.078,0.332,0.284,0.325,0.293,2.700,0.000,100.000,22.000,0.000
mode small,2,6.000,300.000,321.000,7.100,26.100,26.080,130.000,283.000,0.321,0.009,0.026,0.080,0.347,0.295,0.348,0.306,7.100,0.000,100.000,26.000,1.000
mode small,2,8.000,300.000,313.000,4.400,24.760,24.870,130.000,254.000,0.313,0.042,0.127,0.404,0.440,0.187,0.407,0.241,4.400,15.000,100.000,34.000,0.000
mode small,3,5.000,300.000,310.000,3.500,27.800,27.880,130.000,302.000,0.310,0.005,0.016,0.050,0.326,0.295,0.325,0.297,3.500,0.000,100.000,22.000,0.000
mode small,3,6.000,300.000,308.000,2.700,26.080,26.080,130.000,283.000,0.308,0.008,0.025,0.081,0.333,0.283,0.322,0.287,2.700,0.000,100.000,26.000,0.000
mode small,3,8.000,300.000,305.000,1.500,24.880,24.870,130.000,254.000,0.305,0.014,0.041,0.134,0.345,0.264,0.361,0.275,1.500,1.000,100.000,34.000,0.000
mode small,0,10.000,300.000,296.000,-1.400,27.990,28.040,130.000,302.000,0.296,0.011,0.034,0.115,0.330,0.262,0.323,0.270,-1.400,0.000,100.000,42.000,0.000
mode small,3,10.000,300.000,311.000,3.500,27.920,28.040,130.000,302.000,0.311,0.008,0.023,0.075,0.334,0.287,0.330,0.294,3.500,0.000,100.000,42.000,0.000
mode small,0,15.000,300.000,300.000,-0.200,27.990,27.950,130.000,302.000,0.300,0.012,0.035,0.117,0.334,0.265,0.327,0.275,-0.200,0.000,100.000,61.000,0.000
mode small,3,15.000,300.000,304.000,1.200,27.980,27.950,130.000,302.000,0.304,0.010,0.030,0.099,0.334,0.273,0.327,0.278,1.200,0.000,100.000,62.000,0.000
mode small,0,20.000,300.000,301.000,0.300,27.960,28.000,130.000,302.000,0.301,0.011,0.034,0.113,0.335,0.267,0.327,0.276,0.300,0.000,100.000,81.000,0.000
mode small,0,25.000,300.000,301.000,0.300,26.160,26.230,130.000,278.000,0.301,0.018,0.053,0.176,0.354,0.248,0.341,0.256,0.300,0.000,100.000,101.000,0.000
mode small,0,30.000,300.000,306.000,1.800,25.610,25.510,130.000,260.000,0.306,0.024,0.071,0.233,0.377,0.234,0.377,0.255,1.800,4.000,100.000,120.000,0.000
mode small,0,35.000,300.000,301.000,0.200,25.340,25.480,130.000,246.000,0.301,0.025,0.075,0.250,0.376,0.226,0.367,0.245,0.200,1.000,100.000,136.000,0.000
mode small,0,40.000,300.000,301.000,0.300,25.650,25.710,130.000,236.000,0.301,0.016,0.049,0.164,0.350,0.252,0.352,0.248,0.300,0.000,100.000,158.000,0.000
mode small,0,50.000,300.000,300.000,0.100,25.700,25.750,130.000,226.000,0.300,0.008,0.024,0.079,0.324,0.277,0.318,0.284,0.100,0.000,100.000,196.000,0.000
mode small,0,60.000,300.000,300.000,-0.200,25.920,25.960,130.000,224.000,0.300,0.011,0.032,0.108,0.332,0.267,0.323,0.272,-0.200,0.000,100.000,229.000,0.000
mode small,0,70.000,300.000,300.000,0.000,26.300,26.280,130.000,226.000,0.300,0.014,0.043,0.143,0.343,0.257,0.318,0.263,0.000,0.000,100.000,279.000,0.000
mode small,0,80.000,300.000,300.000,-0.100,26.300,26.370,130.000,227.000,0.300,0.017,0.051,0.172,0.351,0.248,0.330,0.248,-0.100,0.000,100.000,323.000,0.000
mode small,0,5.000,400.000,386.000,-3.600,34.740,34.680,130.000,315.000,0.386,0.010,0.030,0.077,0.416,0.356,0.417,0.357,-3.600,0.000,100.000,22.000,0.000
mode small,0,6.000,400.000,383.000,-4.300,33.170,33.170,130.000,293.000,0.383,0.018,0.053,0.139,0.436,0.329,0.427,0.345,-4.300,0.000,100.000,26.000,0.000
mode small,0,8.000,400.000,390.000,-2.400,31.800,31.690,130.000,260.000,0.390,0.040,0.119,0.304,0.509,0.272,0.479,0.300,-2.400,4.000,100.000,34.000,0.000
mode small,1,5.000,400.000,384.000,-4.000,34.680,34.680,130.000,315.000,0.384,0.007,0.021,0.055,0.405,0.363,0.399,0.365,-4.000,0.000,100.000,22.000,0.000
mode small,1,6.000,400.000,394.000,-1.600,33.180,33.170,130.000,293.000,0.394,0.023,0.070,0.179,0.464,0.323,0.444,0.342,-1.600,0.000,100.000,25.000,0.000
mode small,1,8.000,400.000,403.000,0.800,31.870,31.690,130.000,260.000,0.403,0.038,0.115,0.284,0.518,0.288,0.486,0.295,0.800,5.000,100.000,34.000,0.000
mode small,2,5.000,400.000,421.000,5.200,34.540,34.680,130.000,315.000,0.421,0.008,0.024,0.056,0.444,0.397,0.441,0.402,5.200,0.000,100.000,22.000,1.000
mode small,2,6.000,400.000,424.000,6.000,33.180,33.170,130.000,293.000,0.424,0.015,0.046,0.109,0.470,0.378,0.454,0.392,6.000,0.000,100.000,26.000,1.000
mode small,2,8.000,400.000,420.000,5.000,31.790,31.690,130.000,260.000,0.420,0.044,0.131,0.312,0.551,0.289,0.538,0.300,5.000,9.000,100.000,34.000,0.000
mode small,3,5.000,400.000,415.000,3.600,34.620,34.680,130.000,315.000,0.415,0.008,0.025,0.060,0.439,0.390,0.436,0.397,3.600,0.000,100.000,22.000,0.000
mode small,3,6.000,400.000,408.000,1.900,33.210,33.170,130.000,293.000,0.408,0.012,0.035,0.087,0.443,0.372,0.429,0.375,1.900,0.000,100.000,25.000,0.000
mode small,3,8.000,400.000,410.000,2.500,31.850,31.690,130.000,260.000,0.410,0.042,0.125,0.305,0.535,0.285,0.511,0.335,2.500,6.000,100.000,34.000,0.000
mode small,0,10.000,400.000,383.000,-4.300,34.790,34.880,130.000,315.000,0.383,0.015,0.046,0.121,0.429,0.336,0.429,0.347,-4.300,0.000,100.000,42.000,0.000
mode small,3,10.000,400.000,418.000,4.500,34.710,34.880,130.000,315.000,0.418,0.009,0.027,0.065,0.445,0.391,0.439,0.402,4.500,0.000,100.000,42.000,0.000
mode small,0,15.000,400.000,399.000,-0.300,34.910,34.890,130.000,315.000,0.399,0.022,0.067,0.167,0.465,0.332,0.446,0.355,-0.300,0.000,100.000,62.000,0.000
mode small,3,15.000,400.000,408.000,2.100,34.840,34.890,130.000,315.000,0.408,0.020,0.059,0.145,0.467,0.349,0.444,0.350,2.100,0.000,100.000,61.000,0.000
mode small,0,20.000,400.000,402.000,0.500,34.750,34.750,130.000,315.000,0.402,0.021,0.064,0.158,0.466,0.338,0.446,0.352,0.500,0.000,100.000,81.000,0.000
mode small,0,25.000,400.000,402.000,0.500,33.150,32.990,130.000,288.000,0.402,0.030,0.089,0.221,0.491,0.313,0.479,0.322,0.500,0.000,100.000,99.000,0.000
mode small,0,30.000,400.000,402.000,0.500,32.470,32.490,130.000,267.000,0.402,0.041,0.122,0.303,0.524,0.280,0.506,0.322,0.500,6.000,100.000,121.000,0.000
mode small,0,35.000,400.000,401.000,0.300,32.760,32.780,130.000,252.000,0.401,0.023,0.070,0.174,0.471,0.331,0.469,0.350,0.300,0.000,100.000,137.000,0.000
mode small,0,40.000,400.000,400.000,-0.100,32.770,32.780,130.000,241.000,0.400,0.013,0.040,0.099,0.439,0.360,0.436,0.360,-0.100,0.000,100.000,159.000,0.000
mode small,0,50.000,400.000,400.000,-0.100,32.910,32.910,130.000,231.000,0.400,0.009,0.026,0.065,0.426,0.374,0.422,0.379,-0.100,0.000,100.000,197.000,0.000
mode small,0,60.000,400.000,401.000,0.300,33.270,33.310,130.000,231.000,0.401,0.014,0.043,0.108,0.444,0.358,0.439,0.362,0.300,0.000,100.000,231.000,0.000
mode small,0,70.000,400.000,400.000,-0.100,33.470,33.560,130.000,234.000,0.400,0.017,0.050,0.124,0.449,0.350,0.432,0.357,-0.100,0.000,100.000,279.000,0.000
mode small,0,80.000,400.000,398.000,-0.500,33.460,33.520,130.000,234.000,0.398,0.020,0.061,0.154,0.459,0.337,0.436,0.350,-0.500,0.000,100.000,324.000,0.000
mode small,0,5.000,500.000,468.000,-6.400,42.100,42.100,130.000,327.000,0.468,0.013,0.039,0.083,0.506,0.429,0.513,0.436,-6.400,0.000,100.000,22.000,1.000
mode small,0,6.000,500.000,480.000,-3.900,40.060,39.970,130.000,302.000,0.480,0.021,0.063,0.132,0.544,0.417,0.533,0.427,-3.900,0.000,100.000,26.000,0.000
mode small,0,8.000,500.000,487.000,-2.600,39.250,39.170,130.000,267.000,0.487,0.045,0.134,0.274,0.620,0.353,0.595,0.394,-2.600,1.000,100.000,34.000,0.000
mode small,1,5.000,500.000,492.000,-1.500,42.070,42.100,130.000,327.000,0.492,0.010,0.030,0.061,0.522,0.462,0.518,0.469,-1.500,0.000,100.000,22.000,0.000
mode small,1,6.000,500.000,482.000,-3.600,40.150,39.970,130.000,302.000,0.482,0.036,0.107,0.223,0.590,0.375,0.560,0.402,-3.600,0.000,100.000,26.000,0.000
mode small,1,8.000,500.000,499.000,-0.200,39.230,39.170,130.000,267.000,0.499,0.023,0.070,0.140,0.569,0.429,0.548,0.436,-0.200,0.000,100.000,34.000,0.000
mode small,2,5.000,500.000,539.000,7.800,42.070,42.100,130.000,327.000,0.539,0.011,0.034,0.064,0.574,0.505,0.563,0.513,7.800,0.000,100.000,22.000,1.000
mode small,2,6.000,500.000,528.000,5.600,40.040,39.970,130.000,302.000,0.528,0.024,0.073,0.138,0.601,0.455,0.593,0.439,5.600,0.000,100.000,26.000,1.000
mode small,2,8.000,500.000,518.000,3.600,39.190,39.170,130.000,267.000,0.518,0.035,0.105,0.202,0.622,0.413,0.583,0.427,3.600,0.000,100.000,34.000,0.000
mode small,3,5.000,500.000,508.000,1.600,42.020,42.100,130.000,327.000,0.508,0.009,0.026,0.052,0.534,0.482,0.536,0.481,1.600,0.000,100.000,22.000,0.000
mode small,3,6.000,500.000,520.000,4.000,40.040,39.970,130.000,302.000,0.520,0.014,0.041,0.079,0.561,0.479,0.551,0.484,4.000,0.000,100.000,26.000,0.000
mode small,3,8.000,500.000,509.000,1.800,39.240,39.170,130.000,267.000,0.509,0.039,0.118,0.231,0.627,0.391,0.605,0.407,1.800,1.000,100.000,34.000,0.000
mode small,0,10.000,500.000,477.000,-4.600,41.720,41.740,130.000,327.000,0.477,0.014,0.043,0.091,0.520,0.434,0.516,0.434,-4.600,0.000,100.000,42.000,0.000
mode small,3,10.000,500.000,523.000,4.500,41.730,41.740,130.000,327.000,0.523,0.015,0.044,0.085,0.567,0.478,0.551,0.489,4.500,0.000,100.000,42.000,0.000
mode small,0,15.000,500.000,496.000,-0.900,41.650,41.650,130.000,327.000,0.496,0.028,0.083,0.167,0.579,0.413,0.551,0.449,-0.900,0.000,100.000,61.000,0.000
mode small,3,15.000,500.000,507.000,1.400,41.750,41.650,130.000,327.000,0.507,0.021,0.062,0.122,0.569,0.445,0.548,0.466,1.400,0.000,100.000,61.000,0.000
mode small,0,20.000,500.000,499.000,-0.200,41.810,41.710,130.000,327.000,0.499,0.023,0.070,0.141,0.569,0.429,0.541,0.446,-0.200,0.000,100.000,80.000,0.000
mode small,0,25.000,500.000,504.000,0.800,40.660,40.620,130.000,297.000,0.504,0.035,0.104,0.207,0.609,0.400,0.588,0.402,0.800,0.000,100.000,100.000,0.000
mode small,0,30.000,500.000,504.000,0.800,39.690,39.640,130.000,274.000,0.504,0.060,0.180,0.357,0.684,0.324,0.645,0.362,0.800,11.000,100.000,120.000,0.000
mode small,0,35.000,500.000,499.000,-0.200,40.330,40.460,130.000,258.000,0.499,0.022,0.065,0.130,0.564,0.434,0.551,0.424,-0.200,0.000,100.000,136.000,0.000
mode small,0,40.000,500.000,500.000,-0.000,40.250,40.340,130.000,247.000,0.500,0.012,0.036,0.072,0.536,0.464,0.538,0.474,-0.000,0.000,100.000,156.000,0.000
mode small,0,50.000,500.000,500.000,-0.100,40.420,40.460,130.000,237.000,0.500,0.009,0.026,0.052,0.526,0.473,0.523,0.474,-0.100,0.000,100.000,196.000,0.000
mode small,0,60.000,500.000,499.000,-0.200,40.700,40.740,130.000,237.000,0.499,0.018,0.055,0.110,0.554,0.444,0.543,0.464,-0.200,0.000,100.000,229.000,0.000
mode small,0,70.000,500.000,498.000,-0.300,41.000,41.100,130.000,241.000,0.498,0.021,0.062,0.124,0.560,0.436,0.536,0.444,-0.300,0.000,100.000,278.000,0.000
mode small,0,80.000,500.000,496.000,-0.800,40.840,41.020,130.000,240.000,0.496,0.020,0.060,0.121,0.556,0.436,0.528,0.439,-0.800,0.000,100.000,324.000,0.000
mode small,0,5.000,600.000,559.000,-6.900,49.110,49.000,130.000,337.000,0.559,0.015,0.045,0.080,0.603,0.514,0.603,0.506,-6.900,0.000,97.000,4.000,1.000
mode small,0,6.000,600.000,579.000,-3.600,47.380,47.290,130.000,311.000,0.579,0.040,0.119,0.206,0.698,0.460,0.665,0.476,-3.600,1.000,100.000,26.000,0.000
mode small,0,8.000,600.000,585.000,-2.500,46.540,46.630,130.000,274.000,0.585,0.048,0.145,0.248,0.730,0.440,0.672,0.469,-2.500,3.000,100.000,34.000,0.000
mode small,1,5.000,600.000,596.000,-0.600,48.980,49.000,130.000,337.000,0.596,0.010,0.030,0.051,0.626,0.566,0.622,0.570,-0.600,0.000,100.000,22.000,0.000
mode small,1,6.000,600.000,580.000,-3.300,47.350,47.290,130.000,311.000,0.580,0.034,0.103,0.178,0.683,0.477,0.662,0.501,-3.300,0.000,100.000,25.000,0.000
mode small,1,8.000,600.000,599.000,-0.200,46.670,46.630,130.000,274.000,0.599,0.012,0.035,0.058,0.634,0.564,0.622,0.570,-0.200,0.000,100.000,34.000,0.000
mode small,2,5.000,600.000,635.000,5.800,48.990,49.000,130.000,337.000,0.635,0.012,0.036,0.057,0.671,0.599,0.660,0.598,5.800,0.000,100.000,22.000,1.000
mode small,2,6.000,600.000,632.000,5.300,47.370,47.290,130.000,311.000,0.632,0.034,0.101,0.160,0.733,0.531,0.714,0.560,5.300,0.000,100.000,26.000,1.000
mode small,2,8.000,600.000,614.000,2.400,46.610,46.630,130.000,274.000,0.614,0.024,0.072,0.117,0.686,0.542,0.657,0.541,2.400,0.000,100.000,34.000,0.000
mode small,3,5.000,600.000,613.000,2.200,48.880,49.000,130.000,337.000,0.613,0.009,0.026,0.043,0.639,0.587,0.645,0.595,2.200,0.000,100.000,22.000,0.000
mode small,3,6.000,600.000,621.000,3.400,47.310,47.290,130.000,311.000,0.621,0.024,0.073,0.117,0.693,0.548,0.694,0.575,3.400,0.000,100.000,26.000,0.000
mode small,3,8.000,600.000,605.000,0.800,46.650,46.630,130.000,274.000,0.605,0.042,0.126,0.209,0.731,0.479,0.727,0.516,0.800,1.000,100.000,34.000,0.000
mode small,0,10.000,600.000,587.000,-2.200,48.560,48.590,130.000,337.000,0.587,0.019,0.056,0.095,0.642,0.531,0.627,0.546,-2.200,0.000,100.000,42.000,0.000
mode small,3,10.000,600.000,619.000,3.100,48.510,48.590,130.000,337.000,0.619,0.013,0.039,0.063,0.657,0.580,0.655,0.588,3.100,0.000,100.000,42.000,0.000
mode small,0,15.000,600.000,597.000,-0.600,48.630,48.540,130.000,337.000,0.597,0.025,0.076,0.127,0.672,0.521,0.637,0.541,-0.600,0.000,100.000,62.000,0.000
mode small,3,15.000,600.000,NaN,NaN,48.630,48.540,130.000,337.000,NaN,-0.000,-0.000,NaN,NaN,NaN,0.000,0.000,NaN,0.000,0.000,0.000,1.000
