Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode small,0,20.000,500.000,501.000,0.200,42.140,42.070,130.000,327.000,0.501,0.025,0.074,0.147,0.575,0.428,0.548,0.456,0.200,0.000,100.000,81.000,0.000
mode small,0,25.000,500.000,503.000,0.500,40.530,40.410,130.000,297.000,0.503,0.037,0.110,0.219,0.613,0.392,0.595,0.417,0.500,0.000,100.000,100.000,0.000
mode small,0,30.000,500.000,503.000,0.600,39.620,39.610,130.000,274.000,0.503,0.051,0.154,0.306,0.657,0.349,0.625,0.399,0.600,4.000,100.000,120.000,0.000
mode small,0,35.000,500.000,500.000,-0.100,40.540,40.630,130.000,258.000,0.500,0.022,0.067,0.134,0.567,0.433,0.548,0.436,-0.100,0.000,100.000,137.000,0.000
mode small,0,40.000,500.000,499.000,-0.200,40.330,40.370,130.000,247.000,0.499,0.015,0.045,0.090,0.544,0.454,0.543,0.459,-0.200,0.000,100.000,158.000,0.000
mode small,0,50.000,500.000,499.000,-0.100,40.500,40.510,130.000,237.000,0.499,0.010,0.029,0.059,0.529,0.470,0.528,0.474,-0.100,0.000,100.000,197.000,0.000
mode small,0,60.000,500.000,498.000,-0.500,40.590,40.610,130.000,237.000,0.498,0.017,0.051,0.102,0.549,0.447,0.536,0.466,-0.500,0.000,100.000,231.000,0.000
mode small,0,70.000,500.000,497.000,-0.500,40.910,40.980,130.000,241.000,0.497,0.020,0.060,0.122,0.558,0.437,0.536,0.436,-0.500,0.000,100.000,279.000,0.000
mode small,0,80.000,500.000,499.000,-0.200,41.050,41.190,130.000,240.000,0.499,0.023,0.069,0.138,0.568,0.430,0.536,0.432,-0.200,0.000,100.000,324.000,0.000
mode small,0,5.000,600.000,559.000,-6.800,48.960,48.910,130.000,337.000,0.559,0.017,0.050,0.089,0.609,0.509,0.608,0.526,-6.800,0.000,100.000,22.000,1.000
mode small,0,6.000,600.000,576.000,-4.000,47.030,47.040,130.000,311.000,0.576,0.034,0.102,0.177,0.678,0.474,0.640,0.491,-4.000,0.000,100.000,26.000,0.000
mode small,0,8.000,600.000,581.000,-3.100,46.460,46.560,130.000,274.000,0.581,0.043,0.130,0.223,0.711,0.452,0.687,0.489,-3.100,0.000,100.000,34.000,0.000
mode small,1,5.000,600.000,597.000,-0.400,48.870,48.910,130.000,337.000,0.597,0.015,0.045,0.076,0.643,0.552,0.627,0.546,-0.400,0.000,100.000,22.000,0.000
mode small,1,6.000,600.000,575.000,-4.100,47.130,47.040,130.000,311.000,0.575,0.050,0.151,0.262,0.726,0.425,0.722,0.471,-4.100,2.000,100.000,26.000,0.000
mode small,1,8.000,600.000,600.000,-0.100,46.610,46.560,130.000,274.000,0.600,0.015,0.045,0.076,0.645,0.554,0.635,0.558,-0.100,0.000,100.000,34.000,0.000
mode small,2,5.000,600.000,631.000,5.200,48.850,48.910,130.000,337.000,0.631,0.012,0.035,0.056,0.666,0.596,0.660,0.595,5.200,0.000,100.000,22.000,1.000
mode small,2,6.000,600.000,631.000,5.200,47.130,47.040,130.000,311.000,0.631,0.037,0.112,0.177,0.743,0.519,0.744,0.565,5.200,1.000,100.000,26.000,1.000
mode small,2,8.000,600.000,613.000,2.100,46.540,46.560,130.000,274.000,0.613,0.027,0.082,0.134,0.695,0.530,0.672,0.511,2.100,0.000,100.000,34.000,0.000
mode small,3,5.000,600.000,610.000,1.700,48.850,48.910,130.000,337.000,0.610,0.009,0.026,0.043,0.636,0.584,0.627,0.590,1.700,0.000,100.000,21.000,0.000
mode small,3,6.000,600.000,616.000,2.700,47.110,47.040,130.000,311.000,0.616,0.021,0.062,0.101,0.678,0.554,0.687,0.575,2.700,0.000,100.000,26.000,0.000
mode small,3,8.000,600.000,600.000,-0.000,46.530,46.560,130.000,274.000,0.600,0.041,0.124,0.207,0.724,0.476,0.692,0.498,-0.000,0.000,100.000,34.000,0.000
mode small,0,10.000,600.000,581.000,-3.100,48.330,48.360,130.000,337.000,0.581,0.016,0.049,0.085,0.631,0.532,0.625,0.548,-3.100,0.000,100.000,39.000,0.000
mode small,3,10.000,600.000,613.000,2.200,48.310,48.360,130.000,337.000,0.613,0.011,0.034,0.056,0.648,0.579,0.637,0.590,2.200,0.000,100.000,40.000,0.000
mode small,0,15.000,600.000,595.000,-0.800,48.560,48.460,130.000,337.000,0.595,0.023,0.069,0.116,0.664,0.526,0.645,0.551,-0.800,0.000,100.000,49.000,0.000
mode small,3,15.000,600.000,607.000,1.100,48.570,48.460,130.000,337.000,0.607,0.016,0.047,0.078,0.654,0.560,0.637,0.563,1.100,0.000,100.000,52.000,0.000
mode small,0,20.000,600.000,602.000,0.300,49.060,48.910,130.000,337.000,0.602,0.022,0.065,0.107,0.666,0.537,0.645,0.558,0.300,0.000,100.000,76.000,0.000
mode small,0,25.000,600.000,600.000,0.100,47.390,47.340,130.000,305.000,0.600,0.045,0.135,0.224,0.735,0.466,0.704,0.459,0.100,2.000,100.000,76.000,0.000
mode small,0,30.000,600.000,605.000,0.800,47.020,46.780,130.000,281.000,0.605,0.048,0.144,0.238,0.749,0.461,0.709,0.479,0.800,1.000,100.000,117.000,0.000
mode small,0,35.000,600.000,602.000,0.300,47.700,47.630,130.000,264.000,0.602,0.018,0.055,0.092,0.657,0.547,0.647,0.553,0.300,0.000,100.000,137.000,0.000
mode small,0,40.000,600.000,599.000,-0.200,47.220,47.310,130.000,253.000,0.599,0.015,0.044,0.073,0.643,0.555,0.645,0.565,-0.200,0.000,100.000,155.000,0.000
mode small,0,50.000,600.000,601.000,0.200,47.930,47.970,130.000,243.000,0.601,0.012,0.036,0.059,0.637,0.566,0.637,0.568,0.200,0.000,100.000,198.000,0.000
mode small,0,60.000,600.000,601.000,0.200,48.140,48.160,130.000,244.000,0.601,0.019,0.057,0.094,0.658,0.545,0.640,0.565,0.200,0.000,100.000,223.000,0.000
mode small,0,70.000,600.000,600.000,-0.000,48.340,48.370,130.000,247.000,0.600,0.026,0.079,0.132,0.679,0.520,0.650,0.528,-0.000,0.000,100.000,278.000,0.000
