Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode longMedium,0,5.000,800.000,690.000,-13.700,16.030,16.030,130.000,428.000,0.690,0.024,0.072,0.104,0.762,0.618,0.741,0.647,-13.700,0.000,100.000,22.000,1.000
mode longMedium,0,6.000,800.000,724.000,-9.500,16.080,16.090,130.000,389.000,0.724,0.038,0.114,0.157,0.838,0.610,0.841,0.640,-9.500,1.000,100.000,26.000,1.000
mode longMedium,0,8.000,800.000,783.000,-2.100,17.060,17.090,130.000,338.000,0.783,0.052,0.155,0.198,0.938,0.628,0.873,0.595,-2.100,1.000,100.000,34.000,0.000
mode longMedium,1,5.000,800.000,714.000,-10.700,16.020,16.030,130.000,428.000,0.714,0.016,0.048,0.068,0.763,0.666,0.764,0.677,-10.700,0.000,100.000,22.000,1.000
mode longMedium,1,6.000,800.000,734.000,-8.300,16.120,16.090,130.000,389.000,0.734,0.045,0.135,0.184,0.869,0.599,0.860,0.617,-8.300,1.000,100.000,26.000,1.000
mode longMedium,1,8.000,800.000,803.000,0.400,17.090,17.090,130.000,338.000,0.803,0.025,0.074,0.092,0.877,0.729,0.858,0.729,0.400,0.000,100.000,34.000,0.000
mode longMedium,2,5.000,800.000,765.000,-4.400,15.980,16.030,130.000,428.000,0.765,0.014,0.042,0.055,0.807,0.723,0.796,0.739,-4.400,0.000,100.000,22.000,0.000
mode longMedium,2,6.000,800.000,768.000,-4.000,16.090,16.090,130.000,389.000,0.768,0.030,0.091,0.118,0.859,0.677,0.841,0.704,-4.000,0.000,100.000,26.000,0.000
mode longMedium,2,8.000,800.000,824.000,3.000,17.110,17.090,130.000,338.000,0.824,0.015,0.044,0.053,0.868,0.780,0.858,0.791,3.000,0.000,100.000,34.000,0.000
mode longMedium,3,5.000,800.000,755.000,-5.700,16.050,16.030,130.000,428.000,0.755,0.016,0.047,0.062,0.801,0.708,0.803,0.722,-5.700,0.000,100.000,22.000,1.000
mode longMedium,3,6.000,800.000,781.000,-2.400,16.100,16.090,130.000,389.000,0.781,0.022,0.066,0.085,0.847,0.714,0.836,0.727,-2.400,0.000,100.000,26.000,0.000
mode longMedium,3,8.000,800.000,803.000,0.400,17.080,17.090,130.000,338.000,0.803,0.011,0.033,0.041,0.836,0.770,0.833,0.776,0.400,0.000,100.000,34.000,0.000
mode longMedium,0,10.000,800.000,713.000,-10.800,16.030,16.020,130.000,428.000,0.713,0.021,0.062,0.087,0.776,0.651,0.764,0.670,-10.800,0.000,100.000,41.000,1.000
mode longMedium,3,10.000,800.000,754.000,-5.800,16.040,16.020,130.000,428.000,0.754,0.016,0.047,0.062,0.801,0.707,0.798,0.717,-5.800,0.000,100.000,42.000,1.000
mode longMedium,0,15.000,800.000,746.000,-6.800,16.390,16.350,130.000,428.000,0.746,0.030,0.091,0.123,0.837,0.654,0.808,0.687,-6.800,0.000,100.000,61.000,1.000
mode longMedium,3,15.000,800.000,755.000,-5.700,16.380,16.350,130.000,428.000,0.755,0.025,0.075,0.099,0.830,0.679,0.813,0.694,-5.700,0.000,100.000,61.000,1.000
mode longMedium,0,20.000,800.000,753.000,-5.800,16.510,16.490,130.000,428.000,0.753,0.026,0.077,0.102,0.830,0.676,0.821,0.702,-5.800,0.000,100.000,81.000,1.000
mode longMedium,0,25.000,800.000,771.000,-3.600,16.500,16.520,130.000,381.000,0.771,0.058,0.174,0.225,0.945,0.597,0.912,0.573,-3.600,4.000,100.000,100.000,0.000
mode longMedium,0,30.000,800.000,807.000,0.900,17.240,17.250,130.000,348.000,0.807,0.031,0.094,0.116,0.901,0.713,0.885,0.714,0.900,0.000,100.000,120.000,0.000
mode longMedium,0,35.000,800.000,816.000,2.000,17.420,17.410,130.000,326.000,0.816,0.023,0.069,0.084,0.884,0.747,0.860,0.719,2.000,0.000,100.000,137.000,0.000
mode longMedium,0,40.000,800.000,811.000,1.400,17.500,17.510,130.000,314.000,0.811,0.020,0.060,0.074,0.871,0.751,0.875,0.771,1.400,0.000,100.000,158.000,0.000
mode longMedium,0,50.000,800.000,800.000,0.000,17.320,17.320,130.000,308.000,0.800,0.018,0.054,0.067,0.854,0.746,0.846,0.761,0.000,0.000,100.000,198.000,0.000
mode longMedium,0,60.000,800.000,794.000,-0.800,17.340,17.370,130.000,313.000,0.794,0.025,0.074,0.093,0.867,0.720,0.838,0.727,-0.800,0.000,100.000,231.000,0.000
mode longMedium,0,70.000,800.000,789.000,-1.400,17.340,17.390,130.000,310.000,0.789,0.032,0.097,0.124,0.886,0.692,0.841,0.694,-1.400,0.000,100.000,261.000,0.000
mode longMedium,0,5.000,1000.000,917.000,-8.300,20.030,20.030,130.000,438.000,0.917,0.028,0.083,0.090,0.999,0.834,1.009,0.863,-8.300,0.000,100.000,22.000,1.000
mode longMedium,0,6.000,1000.000,946.000,-5.400,20.060,20.090,130.000,398.000,0.946,0.069,0.207,0.219,1.154,0.739,1.143,0.756,-5.400,1.000,100.000,26.000,1.000
mode longMedium,0,8.000,1000.000,978.000,-2.200,20.730,20.750,130.000,346.000,0.978,0.034,0.101,0.103,1.079,0.878,1.091,0.878,-2.200,0.000,100.000,34.000,0.000
mode longMedium,1,5.000,1000.000,937.000,-6.300,19.990,20.030,130.000,438.000,0.937,0.046,0.137,0.147,1.074,0.799,1.071,0.836,-6.300,0.000,100.000,22.000,1.000
mode longMedium,1,6.000,1000.000,956.000,-4.400,20.120,20.090,130.000,398.000,0.956,0.070,0.210,0.220,1.166,0.746,1.123,0.808,-4.400,0.000,100.000,26.000,0.000
mode longMedium,1,8.000,1000.000,996.000,-0.400,20.760,20.750,130.000,346.000,0.996,0.019,0.056,0.056,1.052,0.940,1.034,0.940,-0.400,0.000,100.000,34.000,0.000
mode longMedium,2,5.000,1000.000,1000.000,-0.000,20.000,20.030,130.000,438.000,1.000,0.040,0.121,0.121,1.120,0.879,1.089,0.915,-0.000,0.000,100.000,22.000,0.000
mode longMedium,2,6.000,1000.000,983.000,-1.700,20.090,20.090,130.000,398.000,0.983,0.048,0.143,0.145,1.126,0.841,1.138,0.898,-1.700,0.000,100.000,25.000,0.000
mode longMedium,2,8.000,1000.000,1014.000,1.400,20.720,20.750,130.000,346.000,1.014,0.020,0.060,0.059,1.074,0.954,1.079,0.965,1.400,0.000,100.000,34.000,0.000
mode longMedium,3,5.000,1000.000,980.000,-2.000,20.000,20.030,130.000,438.000,0.980,0.020,0.060,0.061,1.039,0.920,1.019,0.940,-2.000,0.000,100.000,22.000,0.000
mode longMedium,3,6.000,1000.000,1002.000,0.200,20.080,20.090,130.000,398.000,1.002,0.044,0.132,0.132,1.134,0.870,1.113,0.895,0.200,0.000,100.000,26.000,0.000
mode longMedium,3,8.000,1000.000,1014.000,1.400,20.760,20.750,130.000,346.000,1.014,0.014,0.042,0.041,1.056,0.972,1.064,0.984,1.400,0.000,100.000,32.000,0.000
