Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode small,0,5.000,200.000,196.000,-2.000,20.330,20.340,130.000,287.000,0.196,0.005,0.015,0.074,0.211,0.181,0.208,0.183,-2.000,0.000,100.000,22.000,0.000
mode small,0,6.000,200.000,193.000,-3.700,19.420,19.610,130.000,271.000,0.193,0.008,0.025,0.127,0.217,0.168,0.209,0.172,-3.700,0.000,100.000,26.000,0.000
mode small,0,8.000,200.000,206.000,2.900,18.500,18.550,130.000,247.000,0.206,0.027,0.080,0.389,0.286,0.126,0.276,0.152,2.900,13.000,100.000,34.000,0.000
mode small,1,5.000,200.000,203.000,1.300,20.250,20.340,130.000,287.000,0.203,0.005,0.014,0.071,0.217,0.188,0.215,0.183,1.300,0.000,100.000,22.000,0.000
mode small,1,6.000,200.000,210.000,4.800,19.620,19.610,130.000,271.000,0.210,0.007,0.021,0.102,0.231,0.188,0.225,0.190,4.800,0.000,100.000,25.000,0.000
mode small,1,8.000,200.000,208.000,4.100,18.570,18.550,130.000,247.000,0.208,0.018,0.053,0.253,0.261,0.156,0.267,0.173,4.100,5.000,100.000,34.000,0.000
mode small,2,5.000,200.000,217.000,8.600,20.230,20.340,130.000,287.000,0.217,0.006,0.018,0.083,0.235,0.199,0.232,0.203,8.600,0.000,100.000,22.000,1.000
mode small,2,6.000,200.000,233.000,16.600,19.570,19.610,130.000,271.000,0.233,0.007,0.022,0.094,0.255,0.211,0.251,0.209,16.600,16.000,100.000,26.000,1.000
mode small,2,8.000,200.000,224.000,11.800,18.540,18.550,130.000,247.000,0.224,0.021,0.062,0.278,0.286,0.162,0.272,0.169,11.800,21.000,100.000,34.000,1.000
mode small,3,5.000,200.000,212.000,5.900,19.670,20.340,130.000,287.000,0.212,0.009,0.026,0.123,0.238,0.186,0.222,0.184,5.900,0.000,100.000,22.000,1.000
mode small,3,6.000,200.000,217.000,8.300,19.470,19.610,130.000,271.000,0.217,0.009,0.027,0.125,0.244,0.189,0.238,0.187,8.300,0.000,100.000,26.000,1.000
mode small,3,8.000,200.000,216.000,7.800,18.510,18.550,130.000,247.000,0.216,0.013,0.039,0.182,0.255,0.176,0.251,0.180,7.800,2.000,100.000,34.000,1.000
mode small,0,10.000,200.000,200.000,-0.100,20.220,20.340,130.000,287.000,0.200,0.005,0.016,0.081,0.216,0.184,0.212,0.186,-0.100,0.000,100.000,42.000,0.000
mode small,3,10.000,200.000,211.000,5.600,19.620,20.340,130.000,287.000,0.211,0.010,0.029,0.136,0.240,0.183,0.227,0.184,5.600,0.000,100.000,42.000,1.000
mode small,0,15.000,200.000,202.000,0.900,19.880,20.340,130.000,287.000,0.202,0.011,0.034,0.167,0.236,0.168,0.243,0.173,0.900,1.000,90.000,3.000,0.000
mode small,3,15.000,200.000,208.000,4.200,19.780,20.340,130.000,287.000,0.208,0.010,0.031,0.150,0.240,0.177,0.228,0.180,4.200,0.000,100.000,62.000,0.000
mode small,0,20.000,200.000,204.000,1.800,19.670,20.340,130.000,287.000,0.204,0.011,0.032,0.156,0.235,0.172,0.224,0.180,1.800,0.000,100.000,82.000,0.000
mode small,0,25.000,200.000,211.000,5.300,19.230,19.450,130.000,268.000,0.211,0.016,0.049,0.233,0.260,0.161,0.242,0.170,5.300,2.000,100.000,102.000,1.000
