Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode longMedium,0,5.000,800.000,839.000,4.900,18.230,18.290,130.000,428.000,0.839,0.027,0.080,0.096,0.919,0.759,0.910,0.779,4.900,0.000,100.000,22.000,0.000
mode longMedium,0,6.000,800.000,828.000,3.600,17.550,17.570,130.000,389.000,0.828,0.084,0.253,0.305,1.081,0.576,1.017,0.674,3.600,10.000,100.000,25.000,0.000
mode longMedium,0,8.000,800.000,776.000,-3.000,16.820,16.820,130.000,338.000,0.776,0.012,0.035,0.046,0.812,0.741,0.806,0.744,-3.000,0.000,100.000,34.000,0.000
mode longMedium,1,5.000,800.000,845.000,5.700,18.300,18.290,130.000,428.000,0.845,0.019,0.058,0.068,0.903,0.788,0.888,0.781,5.700,0.000,100.000,22.000,1.000
mode longMedium,1,6.000,800.000,838.000,4.800,17.610,17.570,130.000,389.000,0.838,0.060,0.179,0.214,1.017,0.659,0.984,0.687,4.800,3.000,100.000,26.000,0.000
mode longMedium,1,8.000,800.000,794.000,-0.700,16.840,16.820,130.000,338.000,0.794,0.024,0.073,0.091,0.867,0.722,0.883,0.739,-0.700,0.000,100.000,34.000,0.000
mode longMedium,2,5.000,800.000,908.000,13.500,18.280,18.290,130.000,428.000,0.908,0.047,0.142,0.156,1.050,0.767,1.012,0.816,13.500,11.000,100.000,22.000,1.000
mode longMedium,2,6.000,800.000,848.000,6.000,17.560,17.570,130.000,389.000,0.848,0.037,0.112,0.132,0.960,0.737,0.984,0.769,6.000,1.000,100.000,26.000,1.000
mode longMedium,2,8.000,800.000,807.000,0.900,16.820,16.820,130.000,338.000,0.807,0.014,0.043,0.053,0.850,0.765,0.843,0.769,0.900,0.000,100.000,33.000,0.000
mode longMedium,3,5.000,800.000,879.000,9.800,18.260,18.290,130.000,428.000,0.879,0.018,0.055,0.062,0.933,0.824,0.922,0.841,9.800,0.000,100.000,22.000,1.000
mode longMedium,3,6.000,800.000,865.000,8.100,17.550,17.570,130.000,389.000,0.865,0.029,0.088,0.102,0.953,0.777,0.945,0.808,8.100,0.000,100.000,26.000,1.000
mode longMedium,3,8.000,800.000,791.000,-1.100,16.820,16.820,130.000,338.000,0.791,0.014,0.041,0.052,0.832,0.750,0.821,0.756,-1.100,0.000,100.000,34.000,0.000
mode longMedium,0,10.000,800.000,832.000,4.000,18.270,18.290,130.000,428.000,0.832,0.022,0.067,0.080,0.899,0.765,0.883,0.759,4.000,0.000,100.000,42.000,0.000
mode longMedium,3,10.000,800.000,919.000,14.900,18.760,18.290,130.000,428.000,0.919,0.166,0.498,0.542,1.418,0.421,1.713,0.756,14.900,12.000,93.000,3.000,1.000
mode longMedium,0,15.000,800.000,852.000,6.500,18.310,18.290,130.000,428.000,0.852,0.043,0.129,0.151,0.981,0.723,0.987,0.789,6.500,2.000,100.000,58.000,1.000
mode longMedium,3,15.000,800.000,866.000,8.200,18.280,18.290,130.000,428.000,0.866,0.038,0.113,0.131,0.979,0.752,0.970,0.803,8.200,1.000,100.000,59.000,1.000
mode longMedium,0,20.000,800.000,855.000,6.900,18.310,18.290,130.000,428.000,0.855,0.038,0.115,0.135,0.970,0.740,0.955,0.756,6.900,0.000,100.000,76.000,1.000
mode longMedium,0,25.000,800.000,829.000,3.700,17.480,17.430,130.000,381.000,0.829,0.059,0.176,0.213,1.006,0.653,1.017,0.677,3.700,2.000,100.000,97.000,0.000
mode longMedium,0,30.000,800.000,790.000,-1.300,16.920,16.930,130.000,348.000,0.790,0.031,0.093,0.118,0.883,0.697,0.865,0.704,-1.300,0.000,100.000,123.000,0.000
mode longMedium,0,35.000,800.000,779.000,-2.700,16.720,16.730,130.000,326.000,0.779,0.025,0.075,0.096,0.854,0.703,0.843,0.697,-2.700,0.000,100.000,140.000,0.000
mode longMedium,0,40.000,800.000,777.000,-2.900,16.750,16.760,130.000,314.000,0.777,0.019,0.057,0.073,0.833,0.720,0.826,0.724,-2.900,0.000,100.000,162.000,0.000
mode longMedium,0,50.000,800.000,797.000,-0.400,17.220,17.220,130.000,308.000,0.797,0.021,0.062,0.077,0.858,0.735,0.831,0.741,-0.400,0.000,100.000,194.000,0.000
mode longMedium,0,60.000,800.000,810.000,1.200,17.700,17.720,130.000,313.000,0.810,0.027,0.081,0.100,0.891,0.729,0.868,0.739,1.200,0.000,100.000,236.000,0.000
mode longMedium,0,70.000,800.000,808.000,1.000,17.650,17.710,130.000,310.000,0.808,0.032,0.095,0.117,0.902,0.713,0.870,0.722,1.000,0.000,100.000,285.000,0.000
mode longMedium,0,5.000,1000.000,1000.000,-0.000,21.610,21.590,130.000,438.000,1.000,0.041,0.122,0.122,1.122,0.878,1.146,0.888,-0.000,0.000,100.000,22.000,0.000
mode longMedium,0,6.000,1000.000,1006.000,0.600,21.170,21.210,130.000,398.000,1.006,0.085,0.254,0.253,1.260,0.752,1.222,0.776,0.600,2.000,100.000,26.000,0.000
mode longMedium,0,8.000,1000.000,978.000,-2.200,20.690,20.710,130.000,346.000,0.978,0.029,0.088,0.090,1.066,0.889,1.089,0.917,-2.200,0.000,100.000,33.000,0.000
mode longMedium,1,5.000,1000.000,1020.000,2.000,21.600,21.590,130.000,438.000,1.020,0.039,0.116,0.113,1.135,0.904,1.133,0.912,2.000,0.000,100.000,22.000,0.000
mode longMedium,1,6.000,1000.000,1020.000,2.000,21.230,21.210,130.000,398.000,1.020,0.070,0.211,0.206,1.231,0.809,1.173,0.860,2.000,0.000,100.000,26.000,0.000
mode longMedium,1,8.000,1000.000,991.000,-0.900,20.710,20.710,130.000,346.000,0.991,0.019,0.057,0.057,1.048,0.935,1.027,0.942,-0.900,0.000,100.000,34.000,0.000
mode longMedium,2,5.000,1000.000,1091.000,9.100,21.610,21.590,130.000,438.000,1.091,0.037,0.112,0.103,1.204,0.979,1.175,1.007,9.100,0.000,100.000,22.000,1.000
mode longMedium,2,6.000,1000.000,1048.000,4.800,21.220,21.210,130.000,398.000,1.048,0.047,0.142,0.135,1.190,0.906,1.138,0.917,4.800,0.000,100.000,26.000,0.000
mode longMedium,2,8.000,1000.000,1011.000,1.100,20.710,20.710,130.000,346.000,1.011,0.018,0.053,0.053,1.065,0.958,1.061,0.967,1.100,0.000,100.000,34.000,0.000
mode longMedium,3,5.000,1000.000,1080.000,8.000,21.600,21.590,130.000,438.000,1.080,0.026,0.077,0.071,1.158,1.003,1.133,1.029,8.000,0.000,100.000,22.000,1.000
mode longMedium,3,6.000,1000.000,1061.000,6.100,21.180,21.210,130.000,398.000,1.061,0.051,0.154,0.145,1.215,0.907,1.230,0.917,6.100,1.000,100.000,26.000,1.000
mode longMedium,3,8.000,1000.000,1015.000,1.500,20.710,20.710,130.000,346.000,1.015,0.012,0.035,0.034,1.050,0.980,1.039,0.974,1.500,0.000,100.000,34.000,0.000
mode longMedium,0,10.000,1000.000,1013.000,1.300,21.570,21.590,130.000,438.000,1.013,0.055,0.166,0.164,1.179,0.847,1.188,0.895,1.300,0.000,100.000,41.000,0.000
mode longMedium,3,10.000,1000.000,1075.000,7.500,21.620,21.590,130.000,438.000,1.075,0.031,0.093,0.087,1.168,0.982,1.180,1.007,7.500,0.000,100.000,42.000,1.000
mode longMedium,0,15.000,1000.000,1035.000,3.500,21.590,21.590,130.000,438.000,1.035,0.060,0.181,0.174,1.216,0.854,1.257,0.917,3.500,1.000,100.000,62.000,0.000
mode longMedium,3,15.000,1000.000,1053.000,5.300,21.620,21.590,130.000,438.000,1.053,0.050,0.150,0.142,1.203,0.903,1.163,0.855,5.300,0.000,100.000,59.000,1.000
mode longMedium,0,20.000,1000.000,1049.000,4.900,21.650,21.590,130.000,438.000,1.049,0.047,0.142,0.136,1.192,0.907,1.173,0.912,4.900,0.000,100.000,82.000,0.000
mode longMedium,0,25.000,1000.000,1022.000,2.200,21.160,21.130,130.000,389.000,1.022,0.060,0.180,0.176,1.202,0.843,1.163,0.798,2.200,1.000,100.000,102.000,0.000
mode longMedium,0,30.000,1000.000,991.000,-0.900,20.820,20.810,130.000,356.000,0.991,0.025,0.075,0.075,1.065,0.916,1.061,0.935,-0.900,0.000,100.000,123.000,0.000
mode longMedium,0,35.000,1000.000,982.000,-1.800,20.610,20.600,130.000,335.000,0.982,0.025,0.076,0.077,1.057,0.906,1.036,0.917,-1.800,0.000,100.000,140.000,0.000
mode longMedium,0,40.000,1000.000,968.000,-3.200,20.510,20.490,130.000,325.000,0.968,0.024,0.071,0.074,1.039,0.897,1.027,0.920,-3.200,0.000,100.000,161.000,0.000
mode longMedium,0,50.000,1000.000,961.000,-3.900,20.540,20.530,130.000,324.000,0.961,0.029,0.086,0.089,1.047,0.876,1.029,0.900,-3.900,0.000,100.000,202.000,0.000
mode longMedium,0,60.000,1000.000,967.000,-3.300,20.810,20.810,130.000,331.000,0.967,0.029,0.088,0.091,1.055,0.879,1.034,0.870,-3.300,0.000,100.000,237.000,0.000
mode longMedium,0,5.000,1200.000,1200.000,-0.000,24.920,24.910,130.000,447.000,1.200,0.069,0.208,0.174,1.408,0.991,1.344,1.036,-0.000,0.000,100.000,22.000,0.000
mode longMedium,0,6.000,1200.000,1189.000,-0.900,24.700,24.760,130.000,406.000,1.189,0.091,0.273,0.230,1.463,0.916,1.384,1.004,-0.900,0.000,100.000,26.000,0.000
mode longMedium,0,8.000,1200.000,1182.000,-1.500,24.440,24.470,130.000,355.000,1.182,0.024,0.072,0.061,1.254,1.110,1.242,1.133,-1.500,0.000,100.000,34.000,0.000
mode longMedium,1,5.000,1200.000,1204.000,0.300,24.930,24.910,130.000,447.000,1.204,0.045,0.136,0.113,1.339,1.068,1.322,1.108,0.300,0.000,100.000,22.000,0.000
mode longMedium,1,6.000,1200.000,1210.000,0.900,24.760,24.760,130.000,406.000,1.210,0.046,0.137,0.113,1.347,1.074,1.304,1.098,0.900,0.000,100.000,26.000,0.000
mode longMedium,1,8.000,1200.000,1182.000,-1.500,24.480,24.470,130.000,355.000,1.182,0.019,0.056,0.047,1.239,1.126,1.225,1.138,-1.500,0.000,100.000,34.000,0.000
mode longMedium,2,5.000,1200.000,1264.000,5.300,24.910,24.910,130.000,447.000,1.264,0.034,0.103,0.081,1.366,1.161,1.379,1.188,5.300,0.000,100.000,22.000,1.000
mode longMedium,2,6.000,1200.000,1250.000,4.100,24.740,24.760,130.000,406.000,1.250,0.039,0.117,0.094,1.367,1.133,1.341,1.150,4.100,0.000,100.000,26.000,0.000
mode longMedium,2,8.000,1200.000,1229.000,2.400,24.450,24.470,130.000,355.000,1.229,0.024,0.071,0.058,1.301,1.158,1.279,1.175,2.400,0.000,100.000,34.000,0.000
mode longMedium,3,5.000,1200.000,1274.000,6.200,24.910,24.910,130.000,447.000,1.274,0.022,0.066,0.052,1.340,1.208,1.319,1.227,6.200,0.000,100.000,22.000,1.000
mode longMedium,3,6.000,1200.000,1238.000,3.200,24.750,24.760,130.000,406.000,1.238,0.057,0.172,0.139,1.410,1.066,1.361,1.076,3.200,0.000,100.000,26.000,0.000
mode longMedium,3,8.000,1200.000,1220.000,1.700,24.480,24.470,130.000,355.000,1.220,0.011,0.034,0.028,1.254,1.186,1.252,1.198,1.700,0.000,100.000,34.000,0.000
mode longMedium,0,10.000,1200.000,1204.000,0.300,24.970,24.910,130.000,447.000,1.204,0.067,0.201,0.167,1.405,1.003,1.408,1.041,0.300,0.000,100.000,42.000,0.000
mode longMedium,3,10.000,1200.000,1262.000,5.100,24.920,24.910,130.000,447.000,1.262,0.031,0.092,0.073,1.353,1.170,1.349,1.200,5.100,0.000,100.000,42.000,1.000
mode longMedium,0,15.000,1200.000,1225.000,2.100,24.940,24.910,130.000,447.000,1.225,0.058,0.175,0.143,1.401,1.050,1.388,1.049,2.100,0.000,100.000,61.000,0.000
mode longMedium,3,15.000,1200.000,1247.000,3.900,24.950,24.910,130.000,447.000,1.247,0.047,0.141,0.113,1.387,1.106,1.341,1.113,3.900,0.000,100.000,57.000,0.000
mode longMedium,0,20.000,1200.000,1236.000,3.000,25.000,24.910,130.000,447.000,1.236,0.056,0.169,0.137,1.405,1.067,1.371,1.084,3.000,0.000,100.000,81.000,0.000
mode longMedium,0,25.000,1200.000,1196.000,-0.400,24.680,24.720,130.000,397.000,1.196,0.048,0.143,0.120,1.339,1.052,1.312,1.076,-0.400,0.000,100.000,89.000,0.000
mode longMedium,0,30.000,1200.000,1181.000,-1.600,24.570,24.540,130.000,364.000,1.181,0.028,0.085,0.072,1.266,1.096,1.232,1.106,-1.600,0.000,100.000,121.000,0.000
mode longMedium,0,35.000,1200.000,1179.000,-1.800,24.380,24.380,130.000,345.000,1.179,0.026,0.077,0.066,1.256,1.101,1.252,1.123,-1.800,0.000,100.000,137.000,0.000
mode longMedium,0,40.000,1200.000,1162.000,-3.200,24.230,24.250,130.000,336.000,1.162,0.027,0.082,0.071,1.245,1.080,1.220,1.096,-3.200,0.000,100.000,159.000,0.000
mode longMedium,0,50.000,1200.000,1147.000,-4.500,24.130,24.150,130.000,339.000,1.147,0.035,0.105,0.091,1.251,1.042,1.225,1.074,-4.500,0.000,100.000,194.000,0.000
mode longMedium,0,60.000,1200.000,1172.000,-2.300,24.700,24.330,130.000,348.000,1.172,0.044,0.131,0.112,1.303,1.040,1.265,1.061,-2.300,0.000,100.000,219.000,0.000
mode longMedium,0,5.000,1500.000,1490.000,-0.600,29.890,29.940,130.000,459.000,1.490,0.102,0.306,0.206,1.797,1.184,1.763,1.267,-0.600,0.000,100.000,22.000,0.000
mode longMedium,0,6.000,1500.000,1462.000,-2.500,29.850,29.880,130.000,416.000,1.462,0.065,0.194,0.133,1.656,1.268,1.579,1.289,-2.500,0.000,100.000,26.000,0.000
mode longMedium,0,8.000,1500.000,1483.000,-1.200,29.850,29.880,130.000,367.000,1.483,0.018,0.053,0.036,1.536,1.430,1.525,1.441,-1.200,0.000,100.000,34.000,0.000
mode longMedium,1,5.000,1500.000,1488.000,-0.800,29.970,29.940,130.000,459.000,1.488,0.055,0.166,0.112,1.654,1.322,1.639,1.329,-0.800,0.000,100.000,22.000,0.000
mode longMedium,1,6.000,1500.000,1479.000,-1.400,29.890,29.880,130.000,416.000,1.479,0.025,0.076,0.051,1.555,1.403,1.537,1.398,-1.400,0.000,100.000,26.000,0.000
mode longMedium,1,8.000,1500.000,1469.000,-2.000,29.880,29.880,130.000,367.000,1.469,0.021,0.063,0.043,1.532,1.407,1.535,1.433,-2.000,0.000,100.000,34.000,0.000
mode longMedium,2,5.000,1500.000,1548.000,3.200,29.940,29.940,130.000,459.000,1.548,0.029,0.087,0.056,1.635,1.461,1.614,1.463,3.200,0.000,100.000,22.000,0.000
mode longMedium,2,6.000,1500.000,1513.000,0.900,29.860,29.880,130.000,416.000,1.513,0.034,0.103,0.068,1.616,1.411,1.584,1.438,0.900,0.000,100.000,26.000,0.000
mode longMedium,2,8.000,1500.000,1540.000,2.700,29.880,29.880,130.000,367.000,1.540,0.027,0.080,0.052,1.621,1.460,1.592,1.480,2.700,0.000,100.000,34.000,0.000
mode longMedium,3,5.000,1500.000,1569.000,4.600,29.940,29.940,130.000,459.000,1.569,0.051,0.154,0.098,1.724,1.415,1.693,1.460,4.600,0.000,100.000,22.000,0.000
mode longMedium,3,6.000,1500.000,1512.000,0.800,29.890,29.880,130.000,416.000,1.512,0.027,0.080,0.053,1.592,1.432,1.584,1.411,0.800,0.000,100.000,26.000,0.000
mode longMedium,3,8.000,1500.000,1521.000,1.400,29.890,29.880,130.000,367.000,1.521,0.012,0.035,0.023,1.556,1.486,1.557,1.480,1.400,0.000,100.000,33.000,0.000
mode longMedium,0,10.000,1500.000,1489.000,-0.800,30.000,29.940,130.000,459.000,1.489,0.066,0.197,0.132,1.686,1.291,1.644,1.277,-0.800,0.000,100.000,38.000,0.000
mode longMedium,3,10.000,1500.000,1549.000,3.200,29.940,29.940,130.000,459.000,1.549,0.048,0.144,0.093,1.693,1.405,1.669,1.431,3.200,0.000,100.000,41.000,0.000
mode longMedium,0,15.000,1500.000,1510.000,0.700,29.980,29.940,130.000,459.000,1.510,0.063,0.190,0.126,1.700,1.320,1.649,1.309,0.700,0.000,100.000,60.000,0.000
mode longMedium,3,15.000,1500.000,1538.000,2.600,30.000,29.940,130.000,459.000,1.538,0.050,0.149,0.097,1.688,1.389,1.664,1.386,2.600,0.000,100.000,62.000,0.000
mode longMedium,0,20.000,1500.000,1509.000,0.600,30.010,29.940,130.000,459.000,1.509,0.081,0.243,0.161,1.752,1.266,1.696,1.245,0.600,0.000,100.000,79.000,0.000
mode longMedium,0,25.000,1500.000,1468.000,-2.100,29.920,29.880,130.000,408.000,1.468,0.033,0.099,0.068,1.567,1.369,1.535,1.379,-2.100,0.000,100.000,96.000,0.000
mode longMedium,0,30.000,1500.000,1476.000,-1.600,29.860,29.870,130.000,376.000,1.476,0.040,0.121,0.082,1.597,1.355,1.557,1.366,-1.600,0.000,100.000,121.000,0.000
mode longMedium,0,35.000,1500.000,1474.000,-1.700,29.880,29.900,130.000,359.000,1.474,0.040,0.119,0.081,1.593,1.355,1.550,1.374,-1.700,0.000,100.000,137.000,0.000
mode longMedium,0,40.000,1500.000,1464.000,-2.400,30.000,29.980,130.000,353.000,1.464,0.035,0.104,0.071,1.569,1.360,1.530,1.379,-2.400,0.000,100.000,158.000,0.000
mode longMedium,0,50.000,1500.000,1464.000,-2.400,30.210,30.180,130.000,361.000,1.464,0.046,0.138,0.094,1.602,1.326,1.540,1.349,-2.400,0.000,100.000,197.000,0.000
mode longMedium,0,5.000,1800.000,1775.000,-1.400,35.040,35.030,130.000,468.000,1.775,0.081,0.244,0.138,2.019,1.531,1.959,1.597,-1.400,0.000,100.000,22.000,0.000
mode longMedium,0,6.000,1800.000,1730.000,-3.900,34.780,34.780,130.000,426.000,1.730,0.050,0.151,0.087,1.882,1.579,1.842,1.560,-3.900,0.000,100.000,26.000,0.000
mode longMedium,0,8.000,1800.000,1753.000,-2.600,34.980,34.990,130.000,380.000,1.753,0.022,0.066,0.037,1.819,1.688,1.812,1.703,-2.600,0.000,100.000,34.000,0.000
mode longMedium,1,5.000,1800.000,1780.000,-1.100,35.110,35.030,130.000,468.000,1.780,0.054,0.161,0.090,1.941,1.619,1.907,1.629,-1.100,0.000,100.000,22.000,0.000
mode longMedium,1,6.000,1800.000,1761.000,-2.200,34.800,34.780,130.000,426.000,1.761,0.025,0.075,0.042,1.836,1.686,1.815,1.711,-2.200,0.000,100.000,26.000,0.000
mode longMedium,1,8.000,1800.000,1751.000,-2.700,34.990,34.990,130.000,380.000,1.751,0.016,0.047,0.027,1.798,1.704,1.785,1.708,-2.700,0.000,100.000,34.000,0.000
mode longMedium,2,5.000,1800.000,1840.000,2.200,35.030,35.030,130.000,468.000,1.840,0.036,0.108,0.059,1.949,1.732,1.944,1.758,2.200,0.000,100.000,22.000,0.000
mode longMedium,2,6.000,1800.000,1783.000,-1.000,34.780,34.780,130.000,426.000,1.783,0.026,0.078,0.044,1.860,1.705,1.837,1.711,-1.000,0.000,100.000,26.000,0.000
mode longMedium,2,8.000,1800.000,1822.000,1.200,34.980,34.990,130.000,380.000,1.822,0.021,0.064,0.035,1.887,1.758,1.862,1.758,1.200,0.000,100.000,34.000,0.000
mode longMedium,3,5.000,1800.000,1846.000,2.600,35.040,35.030,130.000,468.000,1.846,0.063,0.189,0.103,2.035,1.657,1.971,1.681,2.600,0.000,100.000,22.000,0.000
mode longMedium,3,6.000,1800.000,1778.000,-1.200,34.780,34.780,130.000,426.000,1.778,0.029,0.088,0.049,1.866,1.690,1.840,1.723,-1.200,0.000,100.000,26.000,0.000
mode longMedium,3,8.000,1800.000,1803.000,0.100,34.990,34.990,130.000,380.000,1.803,0.021,0.062,0.034,1.865,1.740,1.850,1.753,0.100,0.000,100.000,34.000,0.000
mode longMedium,0,10.000,1800.000,1772.000,-1.600,35.030,35.030,130.000,468.000,1.772,0.063,0.188,0.106,1.960,1.583,1.897,1.555,-1.600,0.000,100.000,42.000,0.000
mode longMedium,3,10.000,1800.000,1845.000,2.500,35.050,35.030,130.000,468.000,1.845,0.055,0.164,0.089,2.009,1.681,1.966,1.641,2.500,0.000,100.000,42.000,0.000
mode longMedium,0,15.000,1800.000,1782.000,-1.000,35.040,35.030,130.000,468.000,1.782,0.065,0.195,0.110,1.978,1.587,1.917,1.597,-1.000,0.000,100.000,60.000,0.000
mode longMedium,3,15.000,1800.000,1808.000,0.400,35.100,35.030,130.000,468.000,1.808,0.057,0.171,0.095,1.979,1.636,1.919,1.681,0.400,0.000,100.000,62.000,0.000
mode longMedium,0,20.000,1800.000,1782.000,-1.000,35.060,35.030,130.000,468.000,1.782,0.061,0.183,0.103,1.965,1.600,1.889,1.626,-1.000,0.000,100.000,81.000,0.000
mode longMedium,0,25.000,1800.000,1738.000,-3.500,34.780,34.760,130.000,418.000,1.738,0.034,0.102,0.059,1.840,1.635,1.825,1.651,-3.500,0.000,100.000,97.000,0.000
mode longMedium,0,30.000,1800.000,1752.000,-2.700,34.890,34.870,130.000,387.000,1.752,0.044,0.131,0.075,1.883,1.620,1.840,1.664,-2.700,0.000,100.000,109.000,0.000
mode longMedium,0,35.000,1800.000,1759.000,-2.300,35.270,35.250,130.000,373.000,1.759,0.048,0.143,0.081,1.902,1.615,1.857,1.654,-2.300,0.000,100.000,138.000,0.000
mode longMedium,0,40.000,1800.000,1771.000,-1.600,35.810,35.790,130.000,370.000,1.771,0.043,0.129,0.073,1.901,1.642,1.847,1.683,-1.600,0.000,100.000,158.000,0.000
mode longMedium,0,50.000,1800.000,1819.000,1.100,36.930,36.920,130.000,383.000,1.819,0.050,0.151,0.083,1.970,1.668,1.917,1.708,1.100,0.000,100.000,196.000,0.000
mode longMedium,0,5.000,2000.000,1960.000,-2.000,38.440,38.450,130.000,472.000,1.960,0.093,0.280,0.143,2.240,1.680,2.132,1.688,-2.000,0.000,100.000,22.000,0.000
mode longMedium,0,6.000,2000.000,1913.000,-4.400,37.870,37.920,130.000,431.000,1.913,0.057,0.172,0.090,2.084,1.741,2.013,1.706,-4.400,0.000,100.000,26.000,0.000
mode longMedium,0,8.000,2000.000,1934.000,-3.300,38.250,38.250,130.000,388.000,1.934,0.015,0.046,0.024,1.980,1.888,1.974,1.904,-3.300,0.000,100.000,34.000,0.000
mode longMedium,1,5.000,2000.000,1973.000,-1.300,38.460,38.450,130.000,472.000,1.973,0.041,0.124,0.063,2.097,1.849,2.068,1.879,-1.300,0.000,100.000,22.000,0.000
mode longMedium,1,6.000,2000.000,1933.000,-3.400,37.910,37.920,130.000,431.000,1.933,0.020,0.060,0.031,1.993,1.872,1.981,1.882,-3.400,0.000,100.000,26.000,0.000
mode longMedium,1,8.000,2000.000,1946.000,-2.700,38.240,38.250,130.000,388.000,1.946,0.017,0.050,0.026,1.996,1.895,1.976,1.909,-2.700,0.000,100.000,34.000,0.000
mode longMedium,2,5.000,2000.000,2038.000,1.900,38.450,38.450,130.000,472.000,2.038,0.037,0.110,0.054,2.148,1.927,2.120,1.939,1.900,0.000,100.000,22.000,0.000
mode longMedium,2,6.000,2000.000,1969.000,-1.500,37.920,37.920,130.000,431.000,1.969,0.015,0.045,0.023,2.014,1.924,2.003,1.929,-1.500,0.000,100.000,26.000,0.000
mode longMedium,2,8.000,2000.000,2025.000,1.200,38.240,38.250,130.000,388.000,2.025,0.021,0.062,0.031,2.087,1.963,2.070,1.976,1.200,0.000,100.000,34.000,0.000
mode longMedium,3,5.000,2000.000,2038.000,1.900,38.480,38.450,130.000,472.000,2.038,0.058,0.175,0.086,2.214,1.863,2.164,1.912,1.900,0.000,100.000,22.000,0.000
mode longMedium,3,6.000,2000.000,1960.000,-2.000,37.910,37.920,130.000,431.000,1.960,0.024,0.071,0.036,2.031,1.889,2.011,1.897,-2.000,0.000,100.000,26.000,0.000
mode longMedium,3,8.000,2000.000,1987.000,-0.700,38.240,38.250,130.000,388.000,1.987,0.022,0.066,0.033,2.053,1.920,2.028,1.912,-0.700,0.000,100.000,34.000,0.000
mode longMedium,0,10.000,2000.000,1958.000,-2.100,38.450,38.450,130.000,472.000,1.958,0.051,0.154,0.079,2.112,1.804,2.078,1.817,-2.100,0.000,100.000,42.000,0.000
mode longMedium,3,10.000,2000.000,2035.000,1.800,38.400,38.450,130.000,472.000,2.035,0.054,0.161,0.079,2.196,1.874,2.152,1.887,1.800,0.000,100.000,40.000,0.000
mode longMedium,0,15.000,2000.000,1965.000,-1.800,38.510,38.450,130.000,472.000,1.965,0.059,0.177,0.090,2.141,1.788,2.088,1.795,-1.800,0.000,100.000,62.000,0.000
mode longMedium,3,15.000,2000.000,1996.000,-0.200,38.490,38.450,130.000,472.000,1.996,0.054,0.162,0.081,2.157,1.834,2.147,1.840,-0.200,0.000,100.000,60.000,0.000
mode longMedium,0,20.000,2000.000,1980.000,-1.000,38.550,38.450,130.000,472.000,1.980,0.062,0.186,0.094,2.166,1.794,2.105,1.750,-1.000,0.000,100.000,76.000,0.000
mode longMedium,0,25.000,2000.000,1910.000,-4.500,37.890,37.870,130.000,423.000,1.910,0.039,0.118,0.062,2.029,1.792,1.971,1.760,-4.500,0.000,100.000,96.000,0.000
mode longMedium,0,30.000,2000.000,1912.000,-4.400,38.050,38.030,130.000,395.000,1.912,0.049,0.147,0.077,2.058,1.765,2.011,1.793,-4.400,0.000,100.000,119.000,0.000
mode longMedium,0,35.000,2000.000,1940.000,-3.000,38.760,38.710,130.000,382.000,1.940,0.046,0.139,0.072,2.079,1.801,2.021,1.830,-3.000,0.000,100.000,137.000,0.000
mode longMedium,0,40.000,2000.000,1982.000,-0.900,39.730,39.710,130.000,381.000,1.982,0.058,0.173,0.087,2.155,1.809,2.090,1.862,-0.900,0.000,100.000,157.000,0.000
mode longMedium,0,50.000,2000.000,2086.000,4.300,41.840,41.810,130.000,398.000,2.086,0.069,0.207,0.099,2.293,1.879,2.207,1.941,4.300,0.000,100.000,187.000,0.000
