Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode small,0,5.000,200.000,188.000,-5.900,19.480,19.540,130.000,287.000,0.188,0.006,0.018,0.095,0.206,0.170,0.201,0.175,-5.900,0.000,100.000,22.000,1.000
mode small,0,6.000,200.000,184.000,-8.100,18.400,18.420,130.000,271.000,0.184,0.009,0.026,0.139,0.209,0.158,0.202,0.163,-8.100,0.000,100.000,26.000,1.000
mode small,0,8.000,200.000,193.000,-3.600,17.420,17.410,130.000,247.000,0.193,0.019,0.056,0.288,0.248,0.137,0.266,0.147,-3.600,5.000,100.000,34.000,0.000
mode small,1,5.000,200.000,200.000,-0.000,19.540,19.540,130.000,287.000,0.200,0.005,0.014,0.071,0.214,0.186,0.217,0.191,-0.000,0.000,100.000,22.000,0.000
mode small,1,6.000,200.000,195.000,-2.400,18.450,18.420,130.000,271.000,0.195,0.012,0.036,0.186,0.231,0.159,0.224,0.161,-2.400,0.000,100.000,26.000,0.000
mode small,1,8.000,200.000,189.000,-5.500,17.420,17.410,130.000,247.000,0.189,0.011,0.033,0.174,0.222,0.156,0.203,0.146,-5.500,3.000,100.000,34.000,1.000
mode small,2,5.000,200.000,211.000,5.400,19.540,19.540,130.000,287.000,0.211,0.006,0.017,0.080,0.228,0.194,0.225,0.195,5.400,0.000,100.000,22.000,1.000
mode small,2,6.000,200.000,216.000,8.100,18.410,18.420,130.000,271.000,0.216,0.008,0.024,0.110,0.240,0.193,0.231,0.199,8.100,0.000,100.000,26.000,1.000
mode small,2,8.000,200.000,209.000,4.700,17.330,17.410,130.000,247.000,0.209,0.023,0.069,0.329,0.278,0.141,0.277,0.141,4.700,8.000,100.000,34.000,0.000
mode small,3,5.000,200.000,207.000,3.300,19.520,19.540,130.000,287.000,0.207,0.004,0.012,0.056,0.218,0.195,0.224,0.201,3.300,0.000,100.000,22.000,0.000
mode small,3,6.000,200.000,202.000,1.100,18.490,18.420,130.000,271.000,0.202,0.007,0.022,0.109,0.224,0.180,0.216,0.184,1.100,0.000,100.000,26.000,0.000
mode small,3,8.000,200.000,200.000,-0.100,17.420,17.410,130.000,247.000,0.200,0.014,0.041,0.206,0.241,0.158,0.229,0.163,-0.100,0.000,100.000,34.000,0.000
mode small,0,10.000,200.000,190.000,-5.100,19.320,19.460,130.000,287.000,0.190,0.006,0.017,0.092,0.207,0.172,0.202,0.178,-5.100,0.000,100.000,42.000,1.000
mode small,3,10.000,200.000,208.000,4.000,19.510,19.460,130.000,287.000,0.208,0.005,0.016,0.078,0.224,0.192,0.221,0.197,4.000,0.000,100.000,42.000,0.000
mode small,0,15.000,200.000,197.000,-1.700,19.350,19.420,130.000,287.000,0.197,0.012,0.035,0.177,0.231,0.162,0.221,0.176,-1.700,0.000,100.000,62.000,0.000
mode small,3,15.000,200.000,204.000,2.200,19.440,19.420,130.000,287.000,0.204,0.007,0.022,0.110,0.227,0.182,0.219,0.188,2.200,0.000,100.000,62.000,0.000
mode small,0,20.000,200.000,200.000,-0.100,19.470,19.340,130.000,287.000,0.200,0.010,0.029,0.147,0.229,0.170,0.220,0.181,-0.100,0.000,100.000,81.000,0.000
mode small,0,25.000,200.000,201.000,0.500,18.380,18.320,130.000,268.000,0.201,0.015,0.045,0.224,0.246,0.156,0.233,0.162,0.500,0.000,100.000,100.000,0.000
mode small,0,30.000,200.000,200.000,-0.000,17.940,17.850,130.000,252.000,0.200,0.022,0.066,0.331,0.266,0.134,0.257,0.125,-0.000,7.000,100.000,122.000,0.000
mode small,0,35.000,200.000,197.000,-1.600,17.510,17.400,130.000,240.000,0.197,0.030,0.089,0.452,0.286,0.108,0.271,0.130,-1.600,17.000,100.000,137.000,0.000
mode small,0,40.000,200.000,199.000,-0.600,17.830,17.950,130.000,231.000,0.199,0.016,0.048,0.239,0.246,0.151,0.234,0.143,-0.600,3.000,100.000,159.000,0.000
mode small,0,50.000,200.000,199.000,-0.700,17.840,17.890,130.000,221.000,0.199,0.006,0.018,0.091,0.217,0.180,0.217,0.180,-0.700,0.000,100.000,198.000,0.000
mode small,0,60.000,200.000,199.000,-0.700,17.940,18.030,130.000,217.000,0.199,0.009,0.026,0.130,0.224,0.173,0.212,0.176,-0.700,0.000,100.000,229.000,0.000
mode small,0,70.000,200.000,198.000,-0.800,18.080,18.190,130.000,218.000,0.198,0.014,0.041,0.204,0.239,0.158,0.219,0.167,-0.800,0.000,100.000,278.000,0.000
mode small,0,80.000,200.000,198.000,-0.800,18.140,18.250,130.000,221.000,0.198,0.015,0.045,0.225,0.243,0.154,0.222,0.159,-0.800,1.000,100.000,323.000,0.000
mode small,0,5.000,300.000,294.000,-1.900,27.890,27.870,130.000,302.000,0.294,0.011,0.032,0.107,0.326,0.263,0.316,0.262,-1.900,0.000,100.000,22.000,0.000
mode small,0,6.000,300.000,273.000,-9.100,25.950,25.960,130.000,283.000,0.273,0.007,0.020,0.073,0.293,0.253,0.289,0.258,-9.100,0.000,100.000,26.000,1.000
mode small,0,8.000,300.000,290.000,-3.400,24.660,24.750,130.000,254.000,0.290,0.035,0.106,0.364,0.395,0.184,0.393,0.218,-3.400,6.000,100.000,34.000,0.000
mode small,1,5.000,300.000,292.000,-2.700,27.790,27.870,130.000,302.000,0.292,0.006,0.019,0.066,0.311,0.273,0.306,0.279,-2.700,0.000,100.000,22.000,0.000
mode small,1,6.000,300.000,291.000,-2.900,25.950,25.960,130.000,283.000,0.291,0.010,0.031,0.108,0.323,0.260,0.321,0.269,-2.900,0.000,100.000,26.000,0.000
mode small,1,8.000,300.000,290.000,-3.300,24.680,24.750,130.000,254.000,0.290,0.035,0.104,0.359,0.394,0.186,0.362,0.228,-3.300,9.000,100.000,34.000,0.000
mode small,2,5.000,300.000,306.000,2.000,27.770,27.870,130.000,302.000,0.306,0.007,0.020,0.067,0.326,0.285,0.323,0.288,2.000,0.000,100.000,22.000,0.000
mode small,2,6.000,300.000,320.000,6.500,25.950,25.960,130.000,283.000,0.320,0.006,0.019,0.060,0.339,0.300,0.336,0.303,6.500,0.000,100.000,26.000,1.000
mode small,2,8.000,300.000,312.000,3.900,24.620,24.750,130.000,254.000,0.312,0.041,0.124,0.399,0.436,0.187,0.414,0.229,3.900,17.000,100.000,34.000,0.000
mode small,3,5.000,300.000,305.000,1.700,27.810,27.870,130.000,302.000,0.305,0.005,0.016,0.054,0.321,0.289,0.318,0.290,1.700,0.000,100.000,22.000,0.000
mode small,3,6.000,300.000,310.000,3.500,25.990,25.960,130.000,283.000,0.310,0.010,0.030,0.096,0.340,0.281,0.345,0.297,3.500,0.000,100.000,26.000,0.000
mode small,3,8.000,300.000,299.000,-0.300,24.770,24.750,130.000,254.000,0.299,0.011,0.034,0.114,0.333,0.265,0.325,0.271,-0.300,0.000,100.000,34.000,0.000
mode small,0,10.000,300.000,288.000,-4.000,27.700,27.810,130.000,302.000,0.288,0.006,0.019,0.067,0.307,0.268,0.312,0.275,-4.000,0.000,100.000,42.000,0.000
mode small,3,10.000,300.000,305.000,1.500,27.800,27.810,130.000,302.000,0.305,0.006,0.018,0.060,0.323,0.286,0.318,0.293,1.500,0.000,100.000,42.000,0.000
mode small,0,15.000,300.000,295.000,-1.700,27.710,27.740,130.000,302.000,0.295,0.011,0.033,0.112,0.328,0.262,0.317,0.278,-1.700,0.000,100.000,61.000,0.000
mode small,3,15.000,300.000,300.000,-0.100,27.780,27.740,130.000,302.000,0.300,0.010,0.031,0.103,0.331,0.269,0.317,0.278,-0.100,0.000,100.000,61.000,0.000
mode small,0,20.000,300.000,296.000,-1.500,27.670,27.660,130.000,302.000,0.296,0.010,0.030,0.100,0.325,0.266,0.315,0.275,-1.500,0.000,100.000,80.000,0.000
mode small,0,25.000,300.000,299.000,-0.200,26.150,26.130,130.000,278.000,0.299,0.021,0.062,0.208,0.361,0.237,0.346,0.250,-0.200,0.000,100.000,101.000,0.000
mode small,0,30.000,300.000,299.000,-0.400,25.430,25.610,130.000,260.000,0.299,0.025,0.076,0.254,0.375,0.223,0.383,0.255,-0.400,4.000,100.000,120.000,0.000
mode small,0,35.000,300.000,301.000,0.200,25.560,25.580,130.000,246.000,0.301,0.025,0.075,0.250,0.376,0.225,0.351,0.203,0.200,1.000,100.000,136.000,0.000
mode small,0,40.000,300.000,300.000,0.100,25.710,25.720,130.000,236.000,0.300,0.012,0.036,0.119,0.336,0.264,0.330,0.258,0.100,0.000,100.000,158.000,0.000
mode small,0,50.000,300.000,300.000,-0.000,25.750,25.740,130.000,226.000,0.300,0.007,0.021,0.070,0.321,0.279,0.323,0.285,-0.000,0.000,100.000,196.000,0.000
mode small,0,60.000,300.000,300.000,0.000,25.960,25.930,130.000,224.000,0.300,0.011,0.032,0.105,0.332,0.269,0.321,0.279,0.000,0.000,100.000,230.000,0.000
mode small,0,70.000,300.000,298.000,-0.500,26.110,26.150,130.000,226.000,0.298,0.013,0.040,0.135,0.339,0.258,0.320,0.263,-0.500,0.000,100.000,278.000,0.000
mode small,0,80.000,300.000,297.000,-0.900,26.120,26.260,130.000,227.000,0.297,0.017,0.051,0.171,0.348,0.247,0.321,0.256,-0.900,0.000,100.000,321.000,0.000
mode small,0,5.000,400.000,378.000,-5.400,34.310,34.290,130.000,315.000,0.378,0.007,0.022,0.058,0.400,0.356,0.402,0.362,-5.400,0.000,100.000,22.000,1.000
mode small,0,6.000,400.000,375.000,-6.100,32.760,32.760,130.000,293.000,0.375,0.012,0.036,0.097,0.412,0.339,0.409,0.352,-6.100,0.000,100.000,26.000,1.000
mode small,0,8.000,400.000,389.000,-2.700,31.740,31.640,130.000,260.000,0.389,0.040,0.119,0.305,0.508,0.270,0.484,0.265,-2.700,4.000,100.000,34.000,0.000
mode small,1,5.000,400.000,384.000,-4.000,34.240,34.290,130.000,315.000,0.384,0.007,0.021,0.056,0.405,0.363,0.402,0.360,-4.000,0.000,100.000,22.000,0.000
mode small,1,6.000,400.000,390.000,-2.400,32.800,32.760,130.000,293.000,0.390,0.017,0.051,0.130,0.441,0.339,0.436,0.347,-2.400,0.000,100.000,26.000,0.000
mode small,1,8.000,400.000,397.000,-0.800,31.770,31.640,130.000,260.000,0.397,0.034,0.103,0.261,0.500,0.293,0.466,0.325,-0.800,0.000,100.000,34.000,0.000
mode small,2,5.000,400.000,412.000,3.000,34.240,34.290,130.000,315.000,0.412,0.007,0.021,0.052,0.433,0.390,0.427,0.392,3.000,0.000,100.000,22.000,0.000
mode small,2,6.000,400.000,414.000,3.400,32.730,32.760,130.000,293.000,0.414,0.016,0.048,0.116,0.462,0.366,0.461,0.379,3.400,0.000,100.000,26.000,0.000
mode small,2,8.000,400.000,417.000,4.400,31.740,31.640,130.000,260.000,0.417,0.044,0.132,0.317,0.550,0.285,0.516,0.290,4.400,12.000,100.000,34.000,0.000
mode small,3,5.000,400.000,406.000,1.500,34.270,34.290,130.000,315.000,0.406,0.006,0.019,0.047,0.425,0.387,0.432,0.389,1.500,0.000,100.000,22.000,0.000
mode small,3,6.000,400.000,402.000,0.500,32.800,32.760,130.000,293.000,0.402,0.007,0.020,0.050,0.422,0.382,0.427,0.384,0.500,0.000,100.000,26.000,0.000
mode small,3,8.000,400.000,400.000,0.100,31.770,31.640,130.000,260.000,0.400,0.040,0.121,0.302,0.521,0.279,0.489,0.320,0.100,3.000,100.000,34.000,0.000
mode small,0,10.000,400.000,378.000,-5.500,34.470,34.520,130.000,315.000,0.378,0.010,0.031,0.081,0.409,0.347,0.399,0.350,-5.500,0.000,100.000,42.000,1.000
mode small,3,10.000,400.000,412.000,2.900,34.470,34.520,130.000,315.000,0.412,0.008,0.025,0.061,0.437,0.387,0.427,0.392,2.900,0.000,100.000,42.000,0.000
mode small,0,15.000,400.000,388.000,-2.900,34.350,34.250,130.000,315.000,0.388,0.019,0.058,0.149,0.446,0.330,0.424,0.352,-2.900,0.000,100.000,60.000,0.000
mode small,3,15.000,400.000,398.000,-0.400,34.270,34.250,130.000,315.000,0.398,0.016,0.048,0.121,0.447,0.350,0.427,0.367,-0.400,0.000,100.000,62.000,0.000
mode small,0,20.000,400.000,396.000,-0.900,34.420,34.310,130.000,315.000,0.396,0.018,0.053,0.133,0.449,0.344,0.427,0.365,-0.900,0.000,100.000,80.000,0.000
mode small,0,25.000,400.000,402.000,0.400,33.160,33.050,130.000,288.000,0.402,0.026,0.078,0.195,0.480,0.323,0.446,0.325,0.400,0.000,100.000,100.000,0.000
mode small,0,30.000,400.000,403.000,0.800,32.740,32.650,130.000,267.000,0.403,0.040,0.119,0.294,0.522,0.285,0.518,0.320,0.800,5.000,100.000,120.000,0.000
mode small,0,35.000,400.000,401.000,0.300,32.860,32.780,130.000,252.000,0.401,0.022,0.065,0.162,0.466,0.336,0.446,0.298,0.300,1.000,100.000,137.000,0.000
mode small,0,40.000,400.000,402.000,0.400,32.950,32.970,130.000,241.000,0.402,0.013,0.040,0.100,0.442,0.361,0.444,0.370,0.400,0.000,100.000,157.000,0.000
mode small,0,50.000,400.000,402.000,0.600,33.080,33.060,130.000,231.000,0.402,0.009,0.028,0.071,0.431,0.374,0.424,0.382,0.600,0.000,100.000,195.000,0.000
mode small,0,60.000,400.000,397.000,-0.700,33.060,33.090,130.000,231.000,0.397,0.015,0.046,0.115,0.443,0.352,0.429,0.362,-0.700,0.000,100.000,230.000,0.000
mode small,0,70.000,400.000,399.000,-0.300,33.480,33.560,130.000,234.000,0.399,0.016,0.047,0.117,0.445,0.352,0.441,0.362,-0.300,0.000,100.000,279.000,0.000
mode small,0,80.000,400.000,399.000,-0.300,33.440,33.500,130.000,234.000,0.399,0.019,0.057,0.143,0.456,0.342,0.434,0.347,-0.300,0.000,100.000,323.000,0.000
mode small,0,5.000,500.000,446.000,-10.800,40.900,40.810,130.000,327.000,0.446,0.012,0.037,0.084,0.483,0.409,0.481,0.414,-10.800,0.000,100.000,22.000,1.000
mode small,0,6.000,500.000,468.000,-6.300,39.490,39.480,130.000,302.000,0.468,0.028,0.084,0.180,0.552,0.384,0.543,0.417,-6.300,0.000,100.000,26.000,1.000
mode small,0,8.000,500.000,482.000,-3.600,39.130,38.990,130.000,267.000,0.482,0.050,0.149,0.309,0.631,0.333,0.605,0.382,-3.600,7.000,100.000,34.000,0.000
mode small,1,5.000,500.000,474.000,-5.300,40.830,40.810,130.000,327.000,0.474,0.013,0.038,0.081,0.512,0.435,0.498,0.449,-5.300,0.000,100.000,22.000,1.000
mode small,1,6.000,500.000,477.000,-4.500,39.520,39.480,130.000,302.000,0.477,0.027,0.080,0.168,0.558,0.397,0.543,0.422,-4.500,0.000,100.000,26.000,0.000
mode small,1,8.000,500.000,497.000,-0.600,39.100,38.990,130.000,267.000,0.497,0.024,0.072,0.144,0.569,0.425,0.546,0.432,-0.600,0.000,100.000,34.000,0.000
mode small,2,5.000,500.000,521.000,4.200,40.800,40.810,130.000,327.000,0.521,0.008,0.024,0.046,0.545,0.497,0.538,0.494,4.200,0.000,100.000,22.000,0.000
mode small,2,6.000,500.000,517.000,3.300,39.550,39.480,130.000,302.000,0.517,0.024,0.071,0.138,0.588,0.445,0.583,0.469,3.300,0.000,100.000,26.000,0.000
mode small,2,8.000,500.000,516.000,3.300,39.060,38.990,130.000,267.000,0.516,0.033,0.098,0.190,0.614,0.418,0.590,0.444,3.300,0.000,100.000,34.000,0.000
mode small,3,5.000,500.000,498.000,-0.400,40.800,40.810,130.000,327.000,0.498,0.010,0.029,0.058,0.527,0.469,0.528,0.476,-0.400,0.000,100.000,22.000,0.000
mode small,3,6.000,500.000,516.000,3.200,39.500,39.480,130.000,302.000,0.516,0.009,0.027,0.053,0.543,0.489,0.536,0.486,3.200,0.000,100.000,26.000,0.000
mode small,3,8.000,500.000,500.000,-0.100,38.990,38.990,130.000,267.000,0.500,0.034,0.103,0.206,0.603,0.396,0.578,0.402,-0.100,0.000,100.000,34.000,0.000
mode small,0,10.000,500.000,471.000,-5.800,41.050,41.110,130.000,327.000,0.471,0.014,0.041,0.088,0.512,0.430,0.503,0.419,-5.800,0.000,100.000,42.000,1.000
mode small,3,10.000,500.000,513.000,2.600,41.100,41.110,130.000,327.000,0.513,0.014,0.043,0.085,0.556,0.470,0.541,0.481,2.600,0.000,100.000,42.000,0.000
mode small,0,15.000,500.000,489.000,-2.200,41.130,41.120,130.000,327.000,0.489,0.028,0.084,0.172,0.573,0.405,0.541,0.439,-2.200,0.000,100.000,62.000,0.000
mode small,3,15.000,500.000,499.000,-0.300,41.170,41.120,130.000,327.000,0.499,0.020,0.060,0.120,0.559,0.439,0.543,0.456,-0.300,0.000,100.000,62.000,0.000
mode small,0,20.000,500.000,499.000,-0.200,41.630,41.550,130.000,327.000,0.499,0.025,0.075,0.151,0.574,0.423,0.546,0.436,-0.200,0.000,100.000,81.000,0.000
mode small,0,25.000,500.000,501.000,0.100,40.700,40.730,130.000,297.000,0.501,0.028,0.084,0.168,0.584,0.417,0.580,0.436,0.100,0.000,100.000,100.000,0.000
mode small,0,30.000,500.000,499.000,-0.100,39.560,39.930,130.000,274.000,0.499,0.057,0.171,0.343,0.671,0.328,0.627,0.387,-0.100,6.000,100.000,121.000,0.000
mode small,0,35.000,500.000,498.000,-0.400,40.290,40.370,130.000,258.000,0.498,0.023,0.070,0.141,0.569,0.428,0.555,0.422,-0.400,0.000,100.000,137.000,0.000
mode small,0,40.000,500.000,503.000,0.600,40.590,40.580,130.000,247.000,0.503,0.012,0.035,0.069,0.537,0.468,0.551,0.471,0.600,0.000,100.000,158.000,0.000
mode small,0,50.000,500.000,501.000,0.200,40.540,40.610,130.000,237.000,0.501,0.009,0.027,0.054,0.528,0.474,0.526,0.479,0.200,0.000,100.000,196.000,0.000
mode small,0,60.000,500.000,500.000,0.000,40.740,40.780,130.000,237.000,0.500,0.018,0.053,0.105,0.553,0.447,0.543,0.459,0.000,0.000,100.000,230.000,0.000
mode small,0,70.000,500.000,496.000,-0.700,40.770,40.880,130.000,241.000,0.496,0.021,0.064,0.129,0.560,0.432,0.541,0.429,-0.700,0.000,100.000,278.000,0.000
mode small,0,80.000,500.000,502.000,0.300,41.190,41.210,130.000,240.000,0.502,0.020,0.061,0.122,0.563,0.440,0.555,0.451,0.300,0.000,100.000,324.000,0.000
mode small,0,5.000,600.000,544.000,-9.400,47.970,47.920,130.000,337.000,0.544,0.011,0.033,0.062,0.577,0.510,0.578,0.513,-9.400,0.000,100.000,22.000,1.000
mode small,0,6.000,600.000,562.000,-6.400,46.350,46.240,130.000,311.000,0.562,0.042,0.126,0.225,0.688,0.435,0.670,0.476,-6.400,2.000,100.000,26.000,1.000
mode small,0,8.000,600.000,582.000,-3.000,46.400,46.560,130.000,274.000,0.582,0.055,0.166,0.285,0.748,0.416,0.702,0.471,-3.000,3.000,100.000,34.000,0.000
mode small,1,5.000,600.000,579.000,-3.500,47.930,47.920,130.000,337.000,0.579,0.014,0.042,0.072,0.621,0.537,0.620,0.548,-3.500,0.000,100.000,22.000,0.000
mode small,1,6.000,600.000,570.000,-4.900,46.390,46.240,130.000,311.000,0.570,0.033,0.099,0.173,0.669,0.472,0.645,0.501,-4.900,0.000,100.000,26.000,0.000
mode small,1,8.000,600.000,596.000,-0.700,46.570,46.560,130.000,274.000,0.596,0.013,0.038,0.064,0.634,0.558,0.630,0.555,-0.700,0.000,100.000,34.000,0.000
mode small,2,5.000,600.000,622.000,3.600,47.870,47.920,130.000,337.000,0.622,0.007,0.020,0.033,0.642,0.601,0.637,0.605,3.600,0.000,100.000,22.000,0.000
mode small,2,6.000,600.000,616.000,2.600,46.310,46.240,130.000,311.000,0.616,0.031,0.092,0.149,0.707,0.524,0.709,0.555,2.600,0.000,100.000,26.000,0.000
mode small,2,8.000,600.000,615.000,2.500,46.530,46.560,130.000,274.000,0.615,0.024,0.072,0.116,0.686,0.543,0.662,0.526,2.500,0.000,100.000,34.000,0.000
mode small,3,5.000,600.000,603.000,0.400,47.910,47.920,130.000,337.000,0.603,0.010,0.029,0.047,0.631,0.574,0.632,0.575,0.400,0.000,100.000,22.000,0.000
mode small,3,6.000,600.000,606.000,1.000,46.280,46.240,130.000,311.000,0.606,0.018,0.055,0.090,0.661,0.551,0.662,0.560,1.000,0.000,100.000,26.000,0.000
mode small,3,8.000,600.000,601.000,0.100,46.520,46.560,130.000,274.000,0.601,0.037,0.110,0.182,0.710,0.491,0.674,0.513,0.100,0.000,100.000,34.000,0.000
mode small,0,10.000,600.000,570.000,-5.000,47.820,47.780,130.000,337.000,0.570,0.021,0.063,0.110,0.633,0.507,0.605,0.496,-5.000,0.000,100.000,42.000,0.000
mode small,3,10.000,600.000,611.000,1.800,47.780,47.780,130.000,337.000,0.611,0.011,0.032,0.053,0.643,0.578,0.632,0.580,1.800,0.000,100.000,42.000,0.000
mode small,0,15.000,600.000,587.000,-2.200,48.100,47.920,130.000,337.000,0.587,0.027,0.082,0.140,0.669,0.505,0.635,0.516,-2.200,0.000,100.000,62.000,0.000
mode small,3,15.000,600.000,602.000,0.300,48.070,47.920,130.000,337.000,0.602,0.018,0.055,0.091,0.657,0.547,0.640,0.553,0.300,0.000,100.000,62.000,0.000
mode small,0,20.000,600.000,594.000,-1.000,48.470,48.220,130.000,337.000,0.594,0.029,0.086,0.145,0.680,0.508,0.660,0.503,-1.000,0.000,100.000,81.000,0.000
mode small,0,25.000,600.000,600.000,-0.000,47.740,47.770,130.000,305.000,0.600,0.044,0.131,0.219,0.731,0.469,0.719,0.491,-0.000,0.000,100.000,100.000,0.000
mode small,0,30.000,600.000,598.000,-0.300,46.870,46.670,130.000,281.000,0.598,0.048,0.144,0.241,0.743,0.454,0.707,0.454,-0.300,2.000,100.000,122.000,0.000
mode small,0,35.000,600.000,601.000,0.100,47.540,47.360,130.000,264.000,0.601,0.025,0.076,0.126,0.676,0.525,0.655,0.516,0.100,0.000,100.000,137.000,0.000
mode small,0,40.000,600.000,605.000,0.800,47.590,47.560,130.000,253.000,0.605,0.016,0.048,0.079,0.653,0.557,0.645,0.560,0.800,0.000,100.000,158.000,0.000
mode small,0,50.000,600.000,600.000,-0.100,47.700,47.780,130.000,243.000,0.600,0.013,0.040,0.067,0.640,0.559,0.640,0.565,-0.100,0.000,100.000,197.000,0.000
mode small,0,60.000,600.000,601.000,0.100,48.000,48.050,130.000,244.000,0.601,0.018,0.055,0.092,0.656,0.546,0.642,0.555,0.100,0.000,100.000,229.000,0.000
mode small,0,70.000,600.000,600.000,-0.100,48.230,48.180,130.000,247.000,0.600,0.024,0.071,0.118,0.671,0.529,0.642,0.543,-0.100,0.000,100.000,279.000,0.000
