Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode small,0,5.000,200.000,187.000,-6.300,19.340,19.400,130.000,287.000,0.187,0.006,0.017,0.092,0.205,0.170,0.199,0.174,-6.300,0.000,100.000,22.000,1.000
mode small,0,6.000,200.000,189.000,-5.300,18.500,18.500,130.000,271.000,0.189,0.009,0.027,0.144,0.217,0.162,0.212,0.167,-5.300,0.000,100.000,26.000,1.000
mode small,0,8.000,200.000,195.000,-2.400,17.480,17.580,130.000,247.000,0.195,0.025,0.075,0.387,0.271,0.120,0.263,0.133,-2.400,13.000,100.000,34.000,0.000
mode small,1,5.000,200.000,193.000,-3.700,19.260,19.400,130.000,287.000,0.193,0.002,0.007,0.036,0.200,0.186,0.198,0.186,-3.700,0.000,100.000,22.000,0.000
mode small,1,6.000,200.000,193.000,-3.700,18.590,18.500,130.000,271.000,0.193,0.007,0.021,0.108,0.213,0.172,0.208,0.177,-3.700,0.000,100.000,26.000,0.000
mode small,1,8.000,200.000,198.000,-0.800,17.590,17.580,130.000,247.000,0.198,0.012,0.037,0.185,0.235,0.162,0.247,0.179,-0.800,1.000,100.000,34.000,0.000
mode small,2,5.000,200.000,208.000,4.200,19.360,19.400,130.000,287.000,0.208,0.005,0.016,0.078,0.225,0.192,0.222,0.194,4.200,0.000,100.000,22.000,0.000
mode small,2,6.000,200.000,217.000,8.600,18.500,18.500,130.000,271.000,0.217,0.009,0.026,0.120,0.243,0.191,0.237,0.201,8.600,0.000,100.000,26.000,1.000
mode small,2,8.000,200.000,203.000,1.700,17.570,17.580,130.000,247.000,0.203,0.014,0.043,0.212,0.247,0.160,0.246,0.174,1.700,3.000,100.000,34.000,0.000
mode small,3,5.000,200.000,208.000,4.100,19.350,19.400,130.000,287.000,0.208,0.002,0.006,0.030,0.214,0.202,0.212,0.203,4.100,0.000,100.000,22.000,0.000
mode small,3,6.000,200.000,205.000,2.400,18.550,18.500,130.000,271.000,0.205,0.012,0.035,0.171,0.240,0.170,0.234,0.182,2.400,0.000,100.000,26.000,0.000
mode small,3,8.000,200.000,204.000,1.800,17.580,17.580,130.000,247.000,0.204,0.015,0.044,0.216,0.248,0.160,0.230,0.164,1.800,0.000,100.000,34.000,0.000
mode small,0,10.000,200.000,191.000,-4.400,19.420,19.500,130.000,287.000,0.191,0.005,0.015,0.077,0.206,0.177,0.201,0.180,-4.400,0.000,100.000,42.000,0.000
mode small,3,10.000,200.000,210.000,4.900,19.410,19.500,130.000,287.000,0.210,0.004,0.012,0.056,0.222,0.198,0.220,0.199,4.900,0.000,100.000,42.000,0.000
mode small,0,15.000,200.000,196.000,-2.100,19.320,19.350,130.000,287.000,0.196,0.010,0.031,0.161,0.227,0.164,0.219,0.178,-2.100,0.000,100.000,61.000,0.000
mode small,3,15.000,200.000,204.000,1.900,19.310,19.350,130.000,287.000,0.204,0.008,0.024,0.118,0.228,0.180,0.216,0.188,1.900,0.000,100.000,62.000,0.000
mode small,0,20.000,200.000,200.000,0.100,19.430,19.470,130.000,287.000,0.200,0.011,0.032,0.158,0.232,0.168,0.216,0.179,0.100,0.000,100.000,81.000,0.000
mode small,0,25.000,200.000,203.000,1.500,18.430,18.300,130.000,268.000,0.203,0.013,0.039,0.191,0.242,0.164,0.226,0.151,1.500,1.000,100.000,101.000,0.000
mode small,0,30.000,200.000,203.000,1.400,17.950,17.940,130.000,252.000,0.203,0.022,0.067,0.329,0.269,0.136,0.260,0.142,1.400,9.000,100.000,120.000,0.000
mode small,0,35.000,200.000,207.000,3.400,17.880,17.760,130.000,240.000,0.207,0.028,0.084,0.406,0.291,0.123,0.287,0.135,3.400,14.000,100.000,137.000,0.000
mode small,0,40.000,200.000,198.000,-0.800,17.800,17.910,130.000,231.000,0.198,0.012,0.037,0.189,0.236,0.161,0.239,0.166,-0.800,0.000,100.000,158.000,0.000
mode small,0,50.000,200.000,200.000,-0.200,17.880,17.920,130.000,221.000,0.200,0.005,0.015,0.076,0.215,0.185,0.214,0.190,-0.200,0.000,100.000,197.000,0.000
mode small,0,60.000,200.000,199.000,-0.500,17.970,18.020,130.000,217.000,0.199,0.009,0.028,0.141,0.227,0.171,0.217,0.177,-0.500,0.000,100.000,232.000,0.000
mode small,0,70.000,200.000,200.000,0.000,18.200,18.250,130.000,218.000,0.200,0.011,0.033,0.165,0.233,0.167,0.218,0.171,0.000,0.000,100.000,278.000,0.000
mode small,0,80.000,200.000,200.000,-0.000,18.230,18.310,130.000,221.000,0.200,0.014,0.043,0.217,0.243,0.157,0.234,0.158,-0.000,2.000,100.000,324.000,0.000
mode small,0,5.000,300.000,296.000,-1.200,27.880,27.880,130.000,302.000,0.296,0.008,0.025,0.086,0.322,0.271,0.313,0.281,-1.200,0.000,100.000,22.000,0.000
mode small,0,6.000,300.000,277.000,-7.700,26.090,26.080,130.000,283.000,0.277,0.014,0.041,0.148,0.318,0.236,0.311,0.245,-7.700,0.000,100.000,26.000,1.000
mode small,0,8.000,300.000,288.000,-3.900,24.840,24.870,130.000,254.000,0.288,0.039,0.118,0.408,0.406,0.171,0.391,0.211,-3.900,16.000,100.000,34.000,0.000
mode small,1,5.000,300.000,290.000,-3.300,27.840,27.880,130.000,302.000,0.290,0.005,0.014,0.048,0.304,0.276,0.300,0.276,-3.300,0.000,100.000,22.000,0.000
mode small,1,6.000,300.000,304.000,1.500,26.120,26.080,130.000,283.000,0.304,0.012,0.035,0.116,0.340,0.269,0.340,0.283,1.500,0.000,100.000,26.000,0.000
mode small,1,8.000,300.000,300.000,-0.100,24.830,24.870,130.000,254.000,0.300,0.037,0.111,0.370,0.411,0.189,0.411,0.227,-0.100,13.000,100.000,34.000,0.000
mode small,2,5.000,300.000,309.000,2.900,27.780,27.880,130.000,302.000,0.309,0.008,0.024,0.076,0.332,0.285,0.328,0.289,2.900,0.000,100.000,22.000,0.000
mode small,2,6.000,300.000,320.000,6.800,26.100,26.080,130.000,283.000,0.320,0.008,0.023,0.071,0.343,0.298,0.346,0.307,6.800,0.000,100.000,26.000,1.000
mode small,2,8.000,300.000,311.000,3.600,24.890,24.870,130.000,254.000,0.311,0.046,0.138,0.445,0.449,0.172,0.437,0.231,3.600,23.000,100.000,34.000,0.000
mode small,3,5.000,300.000,311.000,3.600,27.810,27.880,130.000,302.000,0.311,0.006,0.017,0.053,0.327,0.294,0.325,0.296,3.600,0.000,100.000,22.000,0.000
mode small,3,6.000,300.000,309.000,3.100,26.150,26.080,130.000,283.000,0.309,0.007,0.021,0.069,0.331,0.288,0.326,0.296,3.100,0.000,100.000,26.000,0.000
mode small,3,8.000,300.000,304.000,1.400,24.890,24.870,130.000,254.000,0.304,0.010,0.031,0.101,0.335,0.273,0.332,0.276,1.400,0.000,100.000,34.000,0.000
mode small,0,10.000,300.000,298.000,-0.700,28.020,28.040,130.000,302.000,0.298,0.011,0.032,0.109,0.330,0.265,0.326,0.275,-0.700,0.000,100.000,42.000,0.000
